,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,40564000000.0,41369000000.0,39974000000.0,20715000000.0
Current Assets,7696000000.0,8505000000.0,6272000000.0,5277000000.0
Cash Cash Equivalents And Short Term Investments,5074000000.0,5830000000.0,2480000000.0,3445000000.0
Cash And Cash Equivalents,4992000000.0,5540000000.0,2243000000.0,3397000000.0
Other Short Term Investments,82000000.0,290000000.0,237000000.0,48000000.0
Receivables,337000000.0,449000000.0,373000000.0,346000000.0
Accounts Receivable,337000000.0,449000000.0,373000000.0,254000000.0
Other Receivables,,,,92000000.0
Inventory,1787000000.0,1790000000.0,1826000000.0,1327000000.0
Raw Materials,1584000000.0,1539000000.0,1563000000.0,1197000000.0
Work In Process,132000000.0,148000000.0,189000000.0,104000000.0
Finished Goods,71000000.0,103000000.0,74000000.0,26000000.0
Other Inventories,930000000.0,963000000.0,1014000000.0,630000000.0
Assets Held For Sale Current,,0.0,1023000000.0,
Other Current Assets,498000000.0,436000000.0,570000000.0,159000000.0
Total Non Current Assets,32868000000.0,32864000000.0,33702000000.0,15438000000.0
Net PPE,24124000000.0,24281000000.0,25276000000.0,12258000000.0
Gross PPE,40113000000.0,38181000000.0,36966000000.0,27369000000.0
Land And Improvements,260000000.0,195000000.0,193000000.0,222000000.0
Machinery Furniture Equipment,18829000000.0,18410000000.0,17676000000.0,16300000000.0
Construction In Progress,2309000000.0,2474000000.0,2089000000.0,2230000000.0
Accumulated Depreciation,-15989000000.0,-13900000000.0,-11690000000.0,-15111000000.0
Goodwill And Other Intangible Assets,2771000000.0,2771000000.0,2674000000.0,
Goodwill,2771000000.0,2771000000.0,2674000000.0,
Investments And Advances,3243000000.0,3197000000.0,3199000000.0,271000000.0
Non Current Deferred Assets,269000000.0,337000000.0,549000000.0,401000000.0
Non Current Deferred Taxes Assets,269000000.0,337000000.0,549000000.0,401000000.0
Other Non Current Assets,2461000000.0,2278000000.0,2004000000.0,2508000000.0
Total Liabilities Net Minority Interest,18703000000.0,17490000000.0,17557000000.0,9203000000.0
Current Liabilities,2654000000.0,3369000000.0,2385000000.0,1787000000.0
Payables And Accrued Expenses,1372000000.0,1782000000.0,1151000000.0,624000000.0
Payables,1016000000.0,1292000000.0,823000000.0,382000000.0
Accounts Payable,518000000.0,493000000.0,539000000.0,303000000.0
Total Tax Payable,384000000.0,705000000.0,209000000.0,79000000.0
Income Tax Payable,384000000.0,657000000.0,162000000.0,71000000.0
Dueto Related Parties Current,,94000000.0,75000000.0,
Other Payable,114000000.0,,,
Current Accrued Expenses,356000000.0,490000000.0,328000000.0,242000000.0
Interest Payable,,61000000.0,60000000.0,52000000.0
Current Provisions,273000000.0,214000000.0,169000000.0,114000000.0
Pensionand Other Post Retirement Benefit Plans Current,386000000.0,380000000.0,361000000.0,305000000.0
Current Debt And Capital Lease Obligation,193000000.0,674000000.0,128000000.0,653000000.0
Current Debt,87000000.0,551000000.0,,626000000.0
Current Notes Payable,87000000.0,551000000.0,,
Other Current Borrowings,87000000.0,551000000.0,,626000000.0
Current Capital Lease Obligation,106000000.0,123000000.0,128000000.0,27000000.0
Current Deferred Liabilities,,106000000.0,,
Other Current Liabilities,430000000.0,213000000.0,576000000.0,91000000.0
Total Non Current Liabilities Net Minority Interest,16049000000.0,14121000000.0,15172000000.0,7416000000.0
Long Term Provisions,5839000000.0,3818000000.0,3464000000.0,2481000000.0
Long Term Debt And Capital Lease Obligation,6109000000.0,6136000000.0,6781000000.0,3608000000.0
Long Term Debt,5565000000.0,5480000000.0,6138000000.0,3418000000.0
Long Term Capital Lease Obligation,544000000.0,656000000.0,643000000.0,190000000.0
Non Current Deferred Liabilities,2144000000.0,2219000000.0,2653000000.0,701000000.0
Non Current Deferred Taxes Liabilities,2144000000.0,2073000000.0,2407000000.0,612000000.0
Tradeand Other Payables Non Current,328000000.0,382000000.0,445000000.0,17000000.0
Employee Benefits,439000000.0,493000000.0,448000000.0,401000000.0
Preferred Securities Outside Stock Equity,48000000.0,34000000.0,47000000.0,47000000.0
Other Non Current Liabilities,1190000000.0,1073000000.0,1381000000.0,208000000.0
Total Equity Gross Minority Interest,21861000000.0,23879000000.0,22417000000.0,11512000000.0
Stockholders Equity,22022000000.0,23008000000.0,21420000000.0,10502000000.0
Capital Stock,1276000000.0,1287000000.0,1298000000.0,855000000.0
Common Stock,1276000000.0,1287000000.0,1298000000.0,855000000.0
Additional Paid In Capital,17981000000.0,18103000000.0,18216000000.0,9618000000.0
Retained Earnings,3098000000.0,4002000000.0,2291000000.0,383000000.0
Treasury Stock,200000000.0,168000000.0,120000000.0,70000000.0
Gains Losses Not Affecting Retained Earnings,-133000000.0,-216000000.0,-265000000.0,-284000000.0
Minority Interest,-161000000.0,871000000.0,997000000.0,1010000000.0
Total Capitalization,27587000000.0,28488000000.0,27558000000.0,13920000000.0
Common Stock Equity,22022000000.0,23008000000.0,21420000000.0,10502000000.0
Capital Lease Obligations,650000000.0,779000000.0,771000000.0,217000000.0
