,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,183889800000.0,170003900000.0,136828400000.0,132212500000.0
Cash And Cash Equivalents,69588400000.0,64265700000.0,43222300000.0,38926000000.0
Cash Financial,3056800000.0,4389500000.0,4459200000.0,4581600000.0
Other Short Term Investments,13626400000.0,19192300000.0,13436400000.0,15801000000.0
Receivables,1952200000.0,1171600000.0,911300000.0,1736800000.0
Other Receivables,1952200000.0,1171600000.0,911300000.0,1736800000.0
Net PPE,1019900000.0,514900000.0,483300000.0,428200000.0
Gross PPE,1752300000.0,1612600000.0,1467400000.0,1317000000.0
Land And Improvements,11500000.0,14500000.0,14500000.0,15400000.0
Buildings And Improvements,217600000.0,257800000.0,305800000.0,245700000.0
Machinery Furniture Equipment,,,731000000.0,649900000.0
Other Properties,1009600000.0,816400000.0,731000000.0,649900000.0
Leases,513600000.0,523900000.0,416100000.0,406000000.0
Accumulated Depreciation,-732400000.0,-1097700000.0,-984100000.0,-888800000.0
Goodwill And Other Intangible Assets,2480400000.0,707200000.0,696800000.0,669300000.0
Goodwill,706200000.0,707200000.0,696800000.0,669300000.0
Other Intangible Assets,1774200000.0,,,
Investments And Advances,61575300000.0,59813600000.0,51161100000.0,51243100000.0
Trading Securities,300000.0,500000.0,300000.0,300000.0
Available For Sale Securities,32981600000.0,34423300000.0,29994200000.0,27726000000.0
Held To Maturity Securities,14967000000.0,6197500000.0,7730200000.0,7715800000.0
Total Liabilities Net Minority Interest,171873000000.0,158315600000.0,125737400000.0,121704200000.0
Current Debt And Capital Lease Obligation,,,7787400000.0,10664200000.0
Current Debt,,,7787400000.0,10664200000.0
Other Current Borrowings,,,7787400000.0,10664200000.0
Long Term Debt And Capital Lease Obligation,7898100000.0,8601000000.0,10743600000.0,11303000000.0
Long Term Debt,7235000000.0,8601000000.0,10743600000.0,11303000000.0
Long Term Capital Lease Obligation,663100000.0,,,
Derivative Product Liabilities,851700000.0,,,
Total Equity Gross Minority Interest,12016800000.0,11688300000.0,11091000000.0,10508300000.0
Stockholders Equity,12016800000.0,11688300000.0,11091000000.0,10508300000.0
Capital Stock,1293500000.0,1293500000.0,1682000000.0,1290600000.0
Preferred Stock,884900000.0,884900000.0,1273400000.0,882000000.0
Common Stock,408600000.0,408600000.0,408600000.0,408600000.0
Additional Paid In Capital,939300000.0,963600000.0,1013100000.0,1068500000.0
Retained Earnings,13117300000.0,12207700000.0,11656700000.0,10776800000.0
Treasury Stock,3297700000.0,3204500000.0,3066100000.0,2173900000.0
Gains Losses Not Affecting Retained Earnings,-35600000.0,428000000.0,-194700000.0,-453700000.0
Total Capitalization,19251800000.0,20289300000.0,21834600000.0,21811300000.0
Preferred Stock Equity,884900000.0,884900000.0,1273400000.0,882000000.0
Common Stock Equity,11131900000.0,10803400000.0,9817600000.0,9626300000.0
Capital Lease Obligations,663100000.0,,,
Net Tangible Assets,9536400000.0,10981100000.0,10394200000.0,9839000000.0
Invested Capital,18366900000.0,19404400000.0,20561200000.0,20929300000.0
Tangible Book Value,8651500000.0,10096200000.0,9120800000.0,8957000000.0
Total Debt,7898100000.0,8601000000.0,10743600000.0,11303000000.0
Share Issued,245171524.0,245171524.0,245171524.0,245171524.0
Ordinary Shares Number,207761875.0,208289178.0,209709046.0,219012050.0
Preferred Shares Number,16000000.0,16000.0,16000.0,16000.0
Treasury Shares Number,37409649.0,36882346.0,35462478.0,26159474.0
