,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,9626000000.0,8668000000.0,8425500000.0,7587600000.0
Current Assets,3781600000.0,3184100000.0,3020000000.0,3167800000.0
Cash Cash Equivalents And Short Term Investments,1352600000.0,1080700000.0,894200000.0,1069600000.0
Cash And Cash Equivalents,1352600000.0,1080700000.0,894200000.0,1069600000.0
Receivables,809400000.0,676000000.0,705000000.0,686000000.0
Accounts Receivable,809400000.0,676000000.0,705000000.0,686000000.0
Inventory,1379500000.0,1251400000.0,1232400000.0,1225200000.0
Raw Materials,174200000.0,135700000.0,138400000.0,137300000.0
Work In Process,888900000.0,829700000.0,772900000.0,760700000.0
Finished Goods,316400000.0,286000000.0,321100000.0,327200000.0
Other Current Assets,240100000.0,176000000.0,188400000.0,187000000.0
Total Non Current Assets,5844400000.0,5483900000.0,5405500000.0,4419800000.0
Net PPE,2524300000.0,2512300000.0,2591600000.0,2549600000.0
Gross PPE,5864800000.0,5507700000.0,5261000000.0,4926100000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,118500000.0,119700000.0,125200000.0,125500000.0
Buildings And Improvements,968500000.0,850000000.0,860600000.0,820400000.0
Machinery Furniture Equipment,4777800000.0,4538000000.0,4275200000.0,3980200000.0
Accumulated Depreciation,-3340500000.0,-2995400000.0,-2669400000.0,-2376500000.0
Goodwill And Other Intangible Assets,2433200000.0,2132400000.0,2249700000.0,1498900000.0
Goodwill,1937500000.0,1663400000.0,1659200000.0,932500000.0
Other Intangible Assets,495700000.0,469000000.0,590500000.0,566400000.0
Non Current Deferred Assets,366300000.0,429000000.0,307800000.0,266200000.0
Non Current Deferred Taxes Assets,366300000.0,429000000.0,307800000.0,266200000.0
Other Non Current Assets,520600000.0,410200000.0,256400000.0,105100000.0
Total Liabilities Net Minority Interest,5021600000.0,5109900000.0,5101400000.0,4393500000.0
Current Liabilities,1543400000.0,1674500000.0,1818400000.0,1469300000.0
Payables And Accrued Expenses,1152800000.0,909600000.0,835100000.0,1036000000.0
Payables,658700000.0,598400000.0,566100000.0,709900000.0
Accounts Payable,635100000.0,572900000.0,543600000.0,671700000.0
Total Tax Payable,23600000.0,25500000.0,22500000.0,38200000.0
Income Tax Payable,23600000.0,25500000.0,22500000.0,38200000.0
Current Accrued Expenses,494100000.0,311200000.0,269000000.0,326100000.0
Current Provisions,229900000.0,233300000.0,247300000.0,294800000.0
Current Debt And Capital Lease Obligation,160700000.0,531600000.0,736000000.0,138500000.0
Current Debt,160700000.0,531600000.0,736000000.0,138500000.0
Total Non Current Liabilities Net Minority Interest,3478200000.0,3435400000.0,3283000000.0,2924200000.0
Long Term Debt And Capital Lease Obligation,2913900000.0,2959700000.0,2876500000.0,2627600000.0
Long Term Debt,2913900000.0,2959700000.0,2876500000.0,2627600000.0
Non Current Deferred Liabilities,43200000.0,57300000.0,60200000.0,54800000.0
Non Current Deferred Taxes Liabilities,43200000.0,57300000.0,60200000.0,54800000.0
Other Non Current Liabilities,521100000.0,418400000.0,346300000.0,241800000.0
Total Equity Gross Minority Interest,4604400000.0,3558100000.0,3324100000.0,3194100000.0
Stockholders Equity,4585400000.0,3538500000.0,3301700000.0,3171600000.0
Capital Stock,6000000.0,5700000.0,5700000.0,5600000.0
Common Stock,6000000.0,5700000.0,5700000.0,5600000.0
Additional Paid In Capital,4633300000.0,4133100000.0,3809500000.0,3702300000.0
Retained Earnings,2435100000.0,1425500000.0,1191300000.0,979600000.0
Treasury Stock,2448400000.0,1968200000.0,1650500000.0,1478000000.0
Gains Losses Not Affecting Retained Earnings,-40600000.0,-57600000.0,-54300000.0,-37900000.0
Minority Interest,19000000.0,19600000.0,22400000.0,22500000.0
Total Capitalization,7499300000.0,6498200000.0,6178200000.0,5799200000.0
Common Stock Equity,4585400000.0,3538500000.0,3301700000.0,3171600000.0
Net Tangible Assets,2152200000.0,1406100000.0,1052000000.0,1672700000.0
Working Capital,2238200000.0,1509600000.0,1201600000.0,1698500000.0
Invested Capital,7660000000.0,7029800000.0,6914200000.0,5937700000.0
Tangible Book Value,2152200000.0,1406100000.0,1052000000.0,1672700000.0
Total Debt,3074600000.0,3491300000.0,3612500000.0,2766100000.0
Net Debt,1722000000.0,2410600000.0,2718300000.0,1696500000.0
Share Issued,603044079.0,570766439.0,565562607.0,558701620.0
Ordinary Shares Number,432472818.0,411842629.0,411312664.0,413834227.0
Treasury Shares Number,170571261.0,158923810.0,154249943.0,144867393.0
