,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,15257519000.0,15920089000.0,14032891000.0,12718553000.0
Current Assets,713433000.0,2975382000.0,939047000.0,359101000.0
Cash Cash Equivalents And Short Term Investments,158287000.0,44226000.0,144232000.0,110790000.0
Cash And Cash Equivalents,158287000.0,44226000.0,144232000.0,110790000.0
Receivables,464502000.0,237644000.0,249996000.0,111169000.0
Accounts Receivable,48691000.0,42269000.0,59417000.0,48171000.0
Gross Accounts Receivable,50561000.0,46263000.0,63982000.0,53298000.0
Allowance For Doubtful Accounts Receivable,-1870000.0,-3994000.0,-4565000.0,-5127000.0
Loans Receivable,415811000.0,195375000.0,190579000.0,62998000.0
Restricted Cash,53454000.0,67206000.0,40425000.0,29056000.0
Assets Held For Sale Current,37190000.0,2626306000.0,504394000.0,108086000.0
Total Non Current Assets,14544086000.0,12944707000.0,13093844000.0,12359452000.0
Net PPE,233942000.0,192349000.0,172486000.0,
Gross PPE,233942000.0,192349000.0,172486000.0,
Other Properties,233942000.0,192349000.0,172486000.0,
Goodwill And Other Intangible Assets,519760000.0,519917000.0,331693000.0,305079000.0
Other Intangible Assets,519760000.0,519917000.0,331693000.0,305079000.0
Investment Properties,12667429000.0,11119758000.0,11033055000.0,10209450000.0
Investments And Advances,448340000.0,447577000.0,910119000.0,1253906000.0
Long Term Equity Investment,403634000.0,402871000.0,825515000.0,540088000.0
Investmentsin Joint Venturesat Cost,403634000.0,402871000.0,825515000.0,540088000.0
Other Investments,44706000.0,44706000.0,84604000.0,713818000.0
Other Non Current Assets,674615000.0,665106000.0,646491000.0,591017000.0
Total Liabilities Net Minority Interest,8111415000.0,8575517000.0,7365417000.0,6205962000.0
Current Liabilities,1936415000.0,1308718000.0,585522000.0,472811000.0
Payables And Accrued Expenses,755384000.0,763391000.0,456153000.0,391583000.0
Payables,227638000.0,,,
Accounts Payable,227638000.0,,,
Current Accrued Expenses,527746000.0,,,
Interest Payable,59342000.0,,,
Current Debt And Capital Lease Obligation,1165975000.0,129590000.0,93000000.0,80103000.0
Current Debt,1165975000.0,129590000.0,93000000.0,80103000.0
Commercial Paper,1165975000.0,,,
Line Of Credit,1165975000.0,129590000.0,93000000.0,80103000.0
Current Deferred Liabilities,,774316000.0,289680000.0,190683000.0
Current Deferred Revenue,,774316000.0,289680000.0,190683000.0
Other Current Liabilities,15056000.0,415737000.0,36369000.0,1125000.0
Total Non Current Liabilities Net Minority Interest,6175000000.0,7266799000.0,6779895000.0,5733151000.0
Long Term Debt And Capital Lease Obligation,5208561000.0,6348284000.0,6415224000.0,5487805000.0
Long Term Debt,5004014000.0,6168389000.0,6258613000.0,5487805000.0
Long Term Capital Lease Obligation,204547000.0,179895000.0,156611000.0,54663000.0
Non Current Deferred Liabilities,789207000.0,774316000.0,289680000.0,190683000.0
Non Current Deferred Revenue,789207000.0,774316000.0,289680000.0,190683000.0
Preferred Securities Outside Stock Equity,87344000.0,,,
Other Non Current Liabilities,177232000.0,144199000.0,74991000.0,54663000.0
Total Equity Gross Minority Interest,7146104000.0,7344572000.0,6667474000.0,6512591000.0
Stockholders Equity,6515470000.0,6788345000.0,6085058000.0,5944439000.0
Capital Stock,539097000.0,538405000.0,505222000.0,477496000.0
Common Stock,539097000.0,538405000.0,505222000.0,477496000.0
Additional Paid In Capital,10100294000.0,10229857000.0,9183892000.0,8398847000.0
Retained Earnings,-4120774000.0,-3976232000.0,-3601199000.0,-2927196000.0
Gains Losses Not Affecting Retained Earnings,-3147000.0,-3685000.0,-2857000.0,-4708000.0
Minority Interest,630634000.0,556227000.0,582416000.0,568152000.0
Total Capitalization,11519484000.0,12956734000.0,12343671000.0,11432244000.0
Common Stock Equity,6515470000.0,6788345000.0,6085058000.0,5944439000.0
Capital Lease Obligations,204547000.0,179895000.0,156611000.0,54663000.0
Net Tangible Assets,5995710000.0,6268428000.0,5753365000.0,5639360000.0
Working Capital,-1222982000.0,1666664000.0,353525000.0,-113710000.0
Invested Capital,12685459000.0,13086324000.0,12436671000.0,11512347000.0
Tangible Book Value,5995710000.0,6268428000.0,5753365000.0,5639360000.0
Total Debt,6374536000.0,6477874000.0,6508224000.0,5567908000.0
Net Debt,6011702000.0,6253753000.0,6207381000.0,5457118000.0
Share Issued,539096879.0,538405393.0,505221643.0,477496499.0
Ordinary Shares Number,539096879.0,538405393.0,505221643.0,477496499.0
