,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,92377000000.0,92918000000.0,78547000000.0,77648000000.0
Current Assets,21783000000.0,23001000000.0,17645000000.0,21893000000.0
Cash Cash Equivalents And Short Term Investments,5988000000.0,9551000000.0,5738000000.0,8993000000.0
Cash And Cash Equivalents,5596000000.0,8185000000.0,5509000000.0,8721000000.0
Other Short Term Investments,392000000.0,1366000000.0,229000000.0,272000000.0
Receivables,8680000000.0,8404000000.0,7822000000.0,7142000000.0
Accounts Receivable,7172000000.0,6892000000.0,6447000000.0,6079000000.0
Other Receivables,1655000000.0,1713000000.0,1480000000.0,1164000000.0
Receivables Adjustments Allowances,-147000000.0,-201000000.0,-105000000.0,-101000000.0
Inventory,4347000000.0,4172000000.0,3338000000.0,3128000000.0
Raw Materials,1898000000.0,1720000000.0,1395000000.0,1312000000.0
Work In Process,151000000.0,205000000.0,200000000.0,178000000.0
Finished Goods,2298000000.0,2247000000.0,1743000000.0,1638000000.0
Prepaid Assets,980000000.0,874000000.0,747000000.0,633000000.0
Restricted Cash,,,0.0,1997000000.0
Assets Held For Sale Current,1788000000.0,,,
Total Non Current Assets,70594000000.0,69917000000.0,60902000000.0,55755000000.0
Net PPE,24427000000.0,23039000000.0,20853000000.0,17589000000.0
Gross PPE,48848000000.0,48010000000.0,44551000000.0,40164000000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,1123000000.0,1171000000.0,1130000000.0,1078000000.0
Buildings And Improvements,10279000000.0,10214000000.0,9314000000.0,8941000000.0
Machinery Furniture Equipment,31486000000.0,31276000000.0,29390000000.0,27715000000.0
Other Properties,2020000000.0,1670000000.0,1548000000.0,
Construction In Progress,3940000000.0,3679000000.0,3169000000.0,2430000000.0
Accumulated Depreciation,-24421000000.0,-24971000000.0,-23698000000.0,-22575000000.0
Goodwill And Other Intangible Assets,37046000000.0,38072000000.0,31544000000.0,30633000000.0
Goodwill,18381000000.0,18757000000.0,15501000000.0,14808000000.0
Other Intangible Assets,18665000000.0,19315000000.0,16043000000.0,15825000000.0
Investments And Advances,2627000000.0,2792000000.0,2683000000.0,2409000000.0
Long Term Equity Investment,2627000000.0,2792000000.0,2683000000.0,2409000000.0
Investmentsin Associatesat Cost,2627000000.0,2792000000.0,2683000000.0,2409000000.0
Non Current Accounts Receivable,111000000.0,109000000.0,85000000.0,86000000.0
Non Current Note Receivables,111000000.0,109000000.0,85000000.0,86000000.0
Non Current Deferred Assets,4429000000.0,4502000000.0,4506000000.0,4476000000.0
Non Current Deferred Taxes Assets,4310000000.0,4372000000.0,4359000000.0,4364000000.0
Defined Pension Benefit,1260000000.0,910000000.0,846000000.0,269000000.0
Other Non Current Assets,694000000.0,493000000.0,385000000.0,293000000.0
Total Liabilities Net Minority Interest,76226000000.0,79366000000.0,63679000000.0,63046000000.0
Current Liabilities,26220000000.0,23372000000.0,20461000000.0,22138000000.0
Payables And Accrued Expenses,14429000000.0,13218000000.0,12187000000.0,13080000000.0
Payables,11342000000.0,10283000000.0,9422000000.0,10539000000.0
Accounts Payable,9834000000.0,8853000000.0,8013000000.0,7213000000.0
Dividends Payable,1508000000.0,1430000000.0,1351000000.0,1329000000.0
Other Payable,,,58000000.0,1997000000.0
Current Accrued Expenses,3087000000.0,2935000000.0,2765000000.0,2541000000.0
Pensionand Other Post Retirement Benefit Plans Current,2324000000.0,2059000000.0,1835000000.0,1755000000.0
Current Debt And Capital Lease Obligation,4754000000.0,4240000000.0,3362000000.0,4026000000.0
Current Debt,4308000000.0,3780000000.0,2920000000.0,4026000000.0
Commercial Paper,400000000.0,396000000.0,,0.0
Other Current Borrowings,3908000000.0,3384000000.0,2920000000.0,4026000000.0
Current Capital Lease Obligation,446000000.0,460000000.0,442000000.0,
Other Current Liabilities,4713000000.0,3855000000.0,3077000000.0,3277000000.0
Total Non Current Liabilities Net Minority Interest,50006000000.0,55994000000.0,43218000000.0,40908000000.0
Long Term Debt And Capital Lease Obligation,36026000000.0,40370000000.0,29148000000.0,28295000000.0
Long Term Debt,36026000000.0,40370000000.0,29148000000.0,28295000000.0
Non Current Deferred Liabilities,4826000000.0,4284000000.0,4091000000.0,3499000000.0
Non Current Deferred Taxes Liabilities,4826000000.0,4284000000.0,4091000000.0,3499000000.0
Other Non Current Liabilities,9154000000.0,11340000000.0,9979000000.0,9114000000.0
Total Equity Gross Minority Interest,16151000000.0,13552000000.0,14868000000.0,14602000000.0
Stockholders Equity,16043000000.0,13454000000.0,14786000000.0,14518000000.0
Capital Stock,23000000.0,23000000.0,23000000.0,23000000.0
Preferred Stock,,,,0.0
Common Stock,23000000.0,23000000.0,23000000.0,23000000.0
Additional Paid In Capital,4001000000.0,3910000000.0,3886000000.0,3953000000.0
Retained Earnings,65165000000.0,63443000000.0,61946000000.0,59947000000.0
Treasury Stock,38248000000.0,38446000000.0,36769000000.0,34286000000.0
Gains Losses Not Affecting Retained Earnings,-14898000000.0,-15476000000.0,-14300000000.0,-15119000000.0
Minority Interest,108000000.0,98000000.0,82000000.0,84000000.0
Total Capitalization,52069000000.0,53824000000.0,43934000000.0,42813000000.0
Common Stock Equity,16043000000.0,13454000000.0,14786000000.0,14518000000.0
Capital Lease Obligations,446000000.0,460000000.0,442000000.0,
Net Tangible Assets,-21003000000.0,-24618000000.0,-16758000000.0,-16115000000.0
Working Capital,-4437000000.0,-371000000.0,-2816000000.0,-245000000.0
Invested Capital,56377000000.0,57604000000.0,46854000000.0,46839000000.0
Tangible Book Value,-21003000000.0,-24618000000.0,-16758000000.0,-16115000000.0
Total Debt,40780000000.0,44610000000.0,32510000000.0,32321000000.0
Net Debt,34738000000.0,35965000000.0,26559000000.0,23600000000.0
Share Issued,1867000000.0,1867000000.0,1867000000.0,1867000000.0
Ordinary Shares Number,1383000000.0,1380000000.0,1391000000.0,1409000000.0
Treasury Shares Number,484000000.0,487000000.0,476000000.0,458000000.0
