,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,58486220000.0,56065005000.0,40031850000.0,38417664000.0
Current Assets,1972640000.0,2187913000.0,2161282000.0,1314251000.0
Cash Cash Equivalents And Short Term Investments,556117000.0,598086000.0,1088855000.0,343856000.0
Cash And Cash Equivalents,556117000.0,598086000.0,1088855000.0,343856000.0
Receivables,593244000.0,380377000.0,242066000.0,239526000.0
Accounts Receivable,424240000.0,189356000.0,85835000.0,107141000.0
Notes Receivable,35970000.0,44751000.0,35308000.0,35338000.0
Taxes Receivable,133034000.0,146270000.0,120923000.0,97047000.0
Prepaid Assets,153591000.0,138726000.0,109676000.0,108581000.0
Assets Held For Sale Current,669688000.0,1070724000.0,720685000.0,622288000.0
Total Non Current Assets,56513580000.0,53877092000.0,37870568000.0,37103413000.0
Net PPE,577408000.0,610501000.0,593798000.0,112211000.0
Gross PPE,577408000.0,610501000.0,593798000.0,
Other Properties,577408000.0,610501000.0,593798000.0,
Goodwill And Other Intangible Assets,552517000.0,726821000.0,314179000.0,450690000.0
Other Intangible Assets,552517000.0,726821000.0,314179000.0,450690000.0
Investment Properties,45337003000.0,43845172000.0,29786752000.0,29930307000.0
Investments And Advances,8610958000.0,7602014000.0,6237371000.0,5745294000.0
Long Term Equity Investment,8610958000.0,7602014000.0,6237371000.0,5745294000.0
Financial Assets,91047000.0,1667000.0,13266000.0,22731000.0
Non Current Deferred Assets,8926000.0,5592000.0,4595000.0,8767000.0
Non Current Deferred Taxes Assets,8926000.0,5592000.0,4595000.0,8767000.0
Other Non Current Assets,1335721000.0,1085325000.0,920607000.0,833413000.0
Total Liabilities Net Minority Interest,20744010000.0,19740425000.0,13960066000.0,12616776000.0
Current Liabilities,2064252000.0,1609522000.0,1125014000.0,977989000.0
Payables And Accrued Expenses,1375860000.0,1253541000.0,780642000.0,831318000.0
Payables,1375860000.0,1253541000.0,780642000.0,831318000.0
Accounts Payable,1252767000.0,1143372000.0,704954000.0,760515000.0
Total Tax Payable,123093000.0,110169000.0,75688000.0,70803000.0
Income Tax Payable,105537000.0,86210000.0,65652000.0,59766000.0
Current Debt And Capital Lease Obligation,491393000.0,171794000.0,184255000.0,50500000.0
Current Debt,491393000.0,171794000.0,184255000.0,50500000.0
Line Of Credit,491393000.0,171794000.0,184255000.0,50500000.0
Current Deferred Liabilities,186368000.0,167973000.0,118123000.0,96171000.0
Current Deferred Revenue,186368000.0,167973000.0,118123000.0,96171000.0
Other Current Liabilities,10631000.0,16214000.0,41994000.0,
Total Non Current Liabilities Net Minority Interest,18679758000.0,18130903000.0,12835052000.0,11638787000.0
Long Term Debt And Capital Lease Obligation,17672106000.0,17164254000.0,12193256000.0,11039315000.0
Long Term Debt,17223661000.0,16677282000.0,11721622000.0,11039315000.0
Long Term Capital Lease Obligation,448445000.0,486972000.0,471634000.0,
Non Current Deferred Liabilities,,167973000.0,118123000.0,96171000.0
Non Current Deferred Revenue,,167973000.0,118123000.0,96171000.0
Derivative Product Liabilities,9675000.0,36482000.0,23851000.0,8159000.0
Other Non Current Liabilities,997977000.0,930167000.0,617945000.0,591313000.0
Total Equity Gross Minority Interest,37742210000.0,36324580000.0,26071784000.0,25800888000.0
Stockholders Equity,33426873000.0,31971547000.0,22653127000.0,22298093000.0
Capital Stock,71346000.0,71342000.0,75266000.0,75244000.0
Preferred Stock,63948000.0,63948000.0,68948000.0,68948000.0
Common Stock,7398000.0,7394000.0,6318000.0,6296000.0
Additional Paid In Capital,35561608000.0,35488634000.0,25719427000.0,25685987000.0
Retained Earnings,-1327828000.0,-2394690000.0,-2151168000.0,-2378467000.0
Gains Losses Not Affecting Retained Earnings,-878253000.0,-1193739000.0,-990398000.0,-1084671000.0
Minority Interest,4315337000.0,4353033000.0,3418657000.0,3502795000.0
Total Capitalization,50650534000.0,48648829000.0,34374749000.0,33337408000.0
Preferred Stock Equity,63948000.0,63948000.0,68948000.0,68948000.0
Common Stock Equity,33362925000.0,31907599000.0,22584179000.0,22229145000.0
Capital Lease Obligations,448445000.0,486972000.0,471634000.0,
Net Tangible Assets,32874356000.0,31244726000.0,22338948000.0,21847403000.0
Working Capital,-91612000.0,578391000.0,1036268000.0,336262000.0
Invested Capital,51077979000.0,48756675000.0,34490056000.0,33318960000.0
Tangible Book Value,32810408000.0,31180778000.0,22270000000.0,21778455000.0
Total Debt,18163499000.0,17336048000.0,12377511000.0,11089815000.0
Net Debt,17158937000.0,16250990000.0,10817022000.0,10745959000.0
Share Issued,739827000.0,739381000.0,631797000.0,629616000.0
Ordinary Shares Number,739827000.0,739381000.0,631797000.0,629616000.0
Preferred Shares Number,1279000.0,1279000.0,1379000.0,1379000.0
