,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,75803000000.0,70379000000.0,51333000000.0,43332000000.0
Current Assets,52574000000.0,50995000000.0,38495000000.0,32963000000.0
Cash Cash Equivalents And Short Term Investments,9500000000.0,13083000000.0,10761000000.0,9109000000.0
Cash And Cash Equivalents,5197000000.0,4794000000.0,7349000000.0,7575000000.0
Other Short Term Investments,4303000000.0,8289000000.0,3412000000.0,1534000000.0
Receivables,41787000000.0,36764000000.0,26934000000.0,22907000000.0
Accounts Receivable,36941000000.0,33995000000.0,22962000000.0,20375000000.0
Loans Receivable,4846000000.0,2769000000.0,3972000000.0,2532000000.0
Receivables Adjustments Allowances,,,-258000000.0,-172000000.0
Prepaid Assets,1287000000.0,1148000000.0,800000000.0,947000000.0
Total Non Current Assets,23229000000.0,19384000000.0,12838000000.0,10369000000.0
Net PPE,1909000000.0,1807000000.0,1693000000.0,1724000000.0
Gross PPE,7590000000.0,7009000000.0,6416000000.0,5907000000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,380000000.0,307000000.0,430000000.0,408000000.0
Machinery Furniture Equipment,6745000000.0,6209000000.0,5446000000.0,4960000000.0
Construction In Progress,86000000.0,83000000.0,80000000.0,119000000.0
Leases,379000000.0,410000000.0,460000000.0,420000000.0
Accumulated Depreciation,-5681000000.0,-5202000000.0,-4723000000.0,-4183000000.0
Goodwill And Other Intangible Assets,12786000000.0,10183000000.0,6990000000.0,7109000000.0
Goodwill,11454000000.0,9135000000.0,6212000000.0,6284000000.0
Other Intangible Assets,1332000000.0,1048000000.0,778000000.0,825000000.0
Investments And Advances,6797000000.0,6089000000.0,2863000000.0,971000000.0
Other Non Current Assets,1737000000.0,1305000000.0,1292000000.0,565000000.0
Total Liabilities Net Minority Interest,54076000000.0,50316000000.0,34404000000.0,27946000000.0
Current Liabilities,43029000000.0,38447000000.0,26919000000.0,25904000000.0
Payables And Accrued Expenses,42030000000.0,38447000000.0,26919000000.0,23906000000.0
Payables,39274000000.0,35799000000.0,24832000000.0,21904000000.0
Accounts Payable,39038000000.0,35670000000.0,24759000000.0,21843000000.0
Total Tax Payable,236000000.0,129000000.0,73000000.0,61000000.0
Income Tax Payable,236000000.0,129000000.0,73000000.0,61000000.0
Current Accrued Expenses,2756000000.0,2648000000.0,2087000000.0,2002000000.0
Current Debt And Capital Lease Obligation,999000000.0,,,1998000000.0
Current Debt,999000000.0,,,1998000000.0
Current Notes Payable,,,,1998000000.0
Other Current Borrowings,999000000.0,,,
Total Non Current Liabilities Net Minority Interest,11047000000.0,11869000000.0,7485000000.0,2042000000.0
Long Term Debt And Capital Lease Obligation,8049000000.0,8939000000.0,4965000000.0,
Long Term Debt,8049000000.0,8939000000.0,4965000000.0,
Non Current Deferred Liabilities,2998000000.0,2930000000.0,2520000000.0,2042000000.0
Non Current Deferred Taxes Liabilities,2998000000.0,2930000000.0,2520000000.0,2042000000.0
Total Equity Gross Minority Interest,21727000000.0,20063000000.0,16929000000.0,15386000000.0
Stockholders Equity,21727000000.0,20019000000.0,16885000000.0,15386000000.0
Capital Stock,0.0,0.0,0.0,0.0
Preferred Stock,0.0,0.0,0.0,
Common Stock,0.0,0.0,0.0,0.0
Additional Paid In Capital,17208000000.0,16644000000.0,15588000000.0,14939000000.0
Retained Earnings,16535000000.0,12366000000.0,8342000000.0,5880000000.0
Treasury Stock,11880000000.0,8507000000.0,6872000000.0,5511000000.0
Gains Losses Not Affecting Retained Earnings,-136000000.0,-484000000.0,-173000000.0,78000000.0
Minority Interest,0.0,44000000.0,44000000.0,
Total Capitalization,29776000000.0,28958000000.0,21850000000.0,15386000000.0
Common Stock Equity,21727000000.0,20019000000.0,16885000000.0,15386000000.0
Net Tangible Assets,8941000000.0,9836000000.0,9895000000.0,8277000000.0
Working Capital,9545000000.0,12548000000.0,11576000000.0,7059000000.0
Invested Capital,30775000000.0,28958000000.0,21850000000.0,17384000000.0
Tangible Book Value,8941000000.0,9836000000.0,9895000000.0,8277000000.0
Total Debt,9048000000.0,8939000000.0,4965000000.0,1998000000.0
Net Debt,3851000000.0,4145000000.0,,
Share Issued,1300000000.0,1288691809.0,1278000000.0,1265000000.0
Ordinary Shares Number,1168000000.0,1171691809.0,1173000000.0,1174000000.0
Treasury Shares Number,132000000.0,117000000.0,105000000.0,91000000.0
