,2022-03-31,2021-03-31,2020-03-31,2019-03-31
Total Assets,7509072000.0,7221470000.0,6560682000.0,5808024000.0
Current Assets,2449865000.0,2483804000.0,1690502000.0,1684841000.0
Cash Cash Equivalents And Short Term Investments,972592000.0,1397880000.0,714939000.0,711035000.0
Cash And Cash Equivalents,972592000.0,1397880000.0,714939000.0,711035000.0
Receivables,601001000.0,484755000.0,382188000.0,400106000.0
Accounts Receivable,568850000.0,457431000.0,367172000.0,378172000.0
Gross Accounts Receivable,569252000.0,457762000.0,367227000.0,378212000.0
Allowance For Doubtful Accounts Receivable,-402000.0,-331000.0,-55000.0,-40000.0
Other Receivables,32151000.0,27324000.0,15016000.0,21934000.0
Inventory,755748000.0,507787000.0,517198000.0,511793000.0
Raw Materials,236095000.0,134959000.0,112671000.0,118608000.0
Work In Process,357332000.0,283067000.0,291028000.0,272469000.0
Finished Goods,162321000.0,89761000.0,113499000.0,120716000.0
Prepaid Assets,49839000.0,41572000.0,37872000.0,25766000.0
Other Current Assets,70685000.0,51810000.0,38305000.0,36141000.0
Total Non Current Assets,5059207000.0,4737666000.0,4870180000.0,4123183000.0
Net PPE,1253591000.0,1266031000.0,1259203000.0,1366513000.0
Gross PPE,2988199000.0,2827644000.0,2674600000.0,2585020000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,25842000.0,25842000.0,25842000.0,25996000.0
Buildings And Improvements,432305000.0,411180000.0,404075000.0,416209000.0
Machinery Furniture Equipment,2401735000.0,2282059000.0,2145511000.0,2025110000.0
Construction In Progress,128317000.0,108563000.0,99172000.0,117705000.0
Accumulated Depreciation,-1734608000.0,-1561613000.0,-1415397000.0,-1218507000.0
Goodwill And Other Intangible Assets,3450420000.0,3253863000.0,3423166000.0,2582099000.0
Goodwill,2775634000.0,2642708000.0,2614274000.0,2173889000.0
Other Intangible Assets,674786000.0,611155000.0,808892000.0,408210000.0
Investments And Advances,31086000.0,35370000.0,22515000.0,97786000.0
Other Non Current Assets,324110000.0,182402000.0,165296000.0,76785000.0
Total Liabilities Net Minority Interest,2955854000.0,2592045000.0,2268017000.0,1448345000.0
Current Liabilities,675127000.0,681581000.0,539003000.0,435614000.0
Payables And Accrued Expenses,568101000.0,568928000.0,464755000.0,393823000.0
Payables,327915000.0,313868000.0,246954000.0,233307000.0
Accounts Payable,327915000.0,313868000.0,246954000.0,233307000.0
Current Accrued Expenses,240186000.0,255060000.0,217801000.0,160516000.0
Current Debt And Capital Lease Obligation,,5092000.0,6893000.0,
Current Debt,,5092000.0,6893000.0,
Other Current Liabilities,107026000.0,107561000.0,67355000.0,41791000.0
Total Non Current Liabilities Net Minority Interest,2280727000.0,1910464000.0,1729014000.0,1012731000.0
Long Term Debt And Capital Lease Obligation,2047098000.0,1742550000.0,1567231000.0,919270000.0
Long Term Debt,2047098000.0,1742550000.0,1567231000.0,919270000.0
Non Current Deferred Liabilities,,,,333000.0
Non Current Deferred Taxes Liabilities,,,,333000.0
Other Non Current Liabilities,233629000.0,167914000.0,161783000.0,93128000.0
Total Equity Gross Minority Interest,4553218000.0,4629425000.0,4292665000.0,4359679000.0
Stockholders Equity,4553218000.0,4629425000.0,4292665000.0,4359679000.0
Capital Stock,4035849000.0,4244740000.0,4290377000.0,4687455000.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,4035849000.0,4244740000.0,4290377000.0,4687455000.0
Retained Earnings,512137000.0,355036000.0,0.0,-321152000.0
Gains Losses Not Affecting Retained Earnings,5232000.0,29649000.0,2288000.0,-6624000.0
Total Capitalization,6600316000.0,6371975000.0,5859896000.0,5278949000.0
Common Stock Equity,4553218000.0,4629425000.0,4292665000.0,4359679000.0
Net Tangible Assets,1102798000.0,1375562000.0,869499000.0,1777580000.0
Working Capital,1774738000.0,1802223000.0,1151499000.0,1249227000.0
Invested Capital,6600316000.0,6377067000.0,5866789000.0,5278949000.0
Tangible Book Value,1102798000.0,1375562000.0,869499000.0,1777580000.0
Total Debt,2047098000.0,1747642000.0,1574124000.0,919270000.0
Net Debt,1074506000.0,349762000.0,859185000.0,208235000.0
Share Issued,106303000.0,112557000.0,114625000.0,119063000.0
Ordinary Shares Number,106303000.0,112557000.0,114625000.0,119063000.0
