,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,10792563000.0,10936904000.0,11132253000.0,10944663000.0
Current Assets,273692000.0,556017000.0,330464000.0,278065000.0
Cash Cash Equivalents And Short Term Investments,93097000.0,376073000.0,115562000.0,42532000.0
Cash And Cash Equivalents,93097000.0,376073000.0,115562000.0,42532000.0
Receivables,153091000.0,143633000.0,169337000.0,172359000.0
Accounts Receivable,131296000.0,126273000.0,131993000.0,126201000.0
Gross Accounts Receivable,,,131993000.0,131267000.0
Allowance For Doubtful Accounts Receivable,,,0.0,-5066000.0
Notes Receivable,,,,0.0
Other Receivables,21795000.0,17360000.0,37344000.0,56258000.0
Receivables Adjustments Allowances,,,0.0,-10100000.0
Restricted Cash,1930000.0,2377000.0,,2658000.0
Assets Held For Sale Current,25574000.0,33934000.0,45565000.0,60516000.0
Total Non Current Assets,10518871000.0,10380887000.0,10801789000.0,10666598000.0
Net PPE,286227000.0,294387000.0,299884000.0,6127000.0
Gross PPE,286227000.0,294387000.0,299884000.0,6127000.0
Machinery Furniture Equipment,5444000.0,6560000.0,7098000.0,6127000.0
Other Properties,280783000.0,287827000.0,292786000.0,
Goodwill And Other Intangible Assets,379802000.0,362667000.0,550256000.0,701212000.0
Goodwill,167095000.0,173868000.0,307434000.0,314143000.0
Other Intangible Assets,212707000.0,188799000.0,242822000.0,387069000.0
Investment Properties,9320618000.0,9107750000.0,9329132000.0,9327718000.0
Investments And Advances,437703000.0,527847000.0,519876000.0,504288000.0
Long Term Equity Investment,372591000.0,467155000.0,469522000.0,463001000.0
Investmentsin Associatesat Cost,372591000.0,467155000.0,469522000.0,463001000.0
Other Investments,65112000.0,60692000.0,50354000.0,41287000.0
Financial Assets,,0.0,2987000.0,17482000.0
Non Current Deferred Assets,73189000.0,70434000.0,81485000.0,91834000.0
Non Current Prepaid Assets,21332000.0,17802000.0,18169000.0,17937000.0
Other Non Current Assets,266431000.0,261446000.0,390729000.0,
Total Liabilities Net Minority Interest,4682631000.0,4878757000.0,4842292000.0,4494495000.0
Current Liabilities,322271000.0,302361000.0,433705000.0,369807000.0
Payables And Accrued Expenses,322271000.0,302361000.0,213705000.0,224807000.0
Payables,322271000.0,302361000.0,213705000.0,224807000.0
Accounts Payable,322271000.0,302361000.0,213705000.0,224807000.0
Current Debt And Capital Lease Obligation,,264679000.0,220000000.0,145000000.0
Current Debt,,264679000.0,220000000.0,145000000.0
Line Of Credit,0.0,0.0,220000000.0,145000000.0
Current Capital Lease Obligation,,,222918000.0,
Total Non Current Liabilities Net Minority Interest,4360360000.0,4576396000.0,4408587000.0,4124688000.0
Long Term Debt And Capital Lease Obligation,3934732000.0,4143474000.0,3922462000.0,3570212000.0
Long Term Debt,3718944000.0,3923084000.0,3699544000.0,3570212000.0
Long Term Capital Lease Obligation,215788000.0,220390000.0,222918000.0,
Other Non Current Liabilities,425628000.0,432922000.0,486125000.0,554476000.0
Total Equity Gross Minority Interest,6109932000.0,6058147000.0,6289961000.0,6450168000.0
Stockholders Equity,6037371000.0,5984912000.0,6213348000.0,6397970000.0
Capital Stock,1712000.0,1697000.0,1676000.0,1679000.0
Common Stock,1712000.0,1697000.0,1676000.0,1679000.0
Additional Paid In Capital,7883458000.0,7792082000.0,7654930000.0,7672517000.0
Retained Earnings,-1814814000.0,-1765806000.0,-1408062000.0,-1255465000.0
Treasury Stock,22758000.0,24436000.0,23199000.0,19834000.0
Gains Losses Not Affecting Retained Earnings,-10227000.0,-18625000.0,-11997000.0,-927000.0
Minority Interest,72561000.0,73235000.0,76613000.0,52198000.0
Total Capitalization,9756315000.0,9907996000.0,9912892000.0,9968182000.0
Common Stock Equity,6037371000.0,5984912000.0,6213348000.0,6397970000.0
Capital Lease Obligations,215788000.0,220390000.0,222918000.0,
Net Tangible Assets,5657569000.0,5622245000.0,5663092000.0,5696758000.0
Working Capital,-48579000.0,253656000.0,-103241000.0,-91742000.0
Invested Capital,9756315000.0,9907996000.0,10132892000.0,10113182000.0
Tangible Book Value,5657569000.0,5622245000.0,5663092000.0,5696758000.0
Total Debt,3934732000.0,4143474000.0,4142462000.0,3715212000.0
Net Debt,3625847000.0,3547011000.0,3803982000.0,3672680000.0
Share Issued,171213008.0,169680138.0,167571218.0,167904593.0
Ordinary Shares Number,170785107.0,169220310.0,167130644.0,167514430.0
Treasury Shares Number,427901.0,459828.0,440574.0,390163.0
