,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,2952359000.0,2557424000.0,2311408000.0,1903097000.0
Current Assets,2268547000.0,1842738000.0,1628849000.0,1473610000.0
Cash Cash Equivalents And Short Term Investments,619001000.0,574426000.0,270478000.0,276579000.0
Cash And Cash Equivalents,619001000.0,574426000.0,270478000.0,276579000.0
Receivables,984691000.0,714163000.0,832797000.0,794446000.0
Accounts Receivable,984691000.0,714163000.0,832797000.0,794446000.0
Gross Accounts Receivable,1006221000.0,,861553000.0,822124000.0
Allowance For Doubtful Accounts Receivable,-21530000.0,,-28756000.0,-27678000.0
Prepaid Assets,69526000.0,97674000.0,84364000.0,311708000.0
Current Deferred Assets,539683000.0,406634000.0,398442000.0,
Other Current Assets,55646000.0,49841000.0,42768000.0,90877000.0
Total Non Current Assets,683812000.0,714686000.0,682559000.0,429487000.0
Net PPE,322196000.0,372505000.0,369414000.0,125176000.0
Gross PPE,890511000.0,928372000.0,936037000.0,834232000.0
Properties,0.0,0.0,0.0,0.0
Machinery Furniture Equipment,496565000.0,500877000.0,544364000.0,663392000.0
Other Properties,228793000.0,262688000.0,241029000.0,10319000.0
Leases,165153000.0,164807000.0,150644000.0,160521000.0
Accumulated Depreciation,-568315000.0,-555867000.0,-566623000.0,-709056000.0
Goodwill And Other Intangible Assets,226189000.0,228649000.0,212116000.0,213107000.0
Goodwill,222855000.0,223055000.0,210364000.0,209958000.0
Other Intangible Assets,3334000.0,5594000.0,1752000.0,3149000.0
Non Current Deferred Assets,135427000.0,113532000.0,101029000.0,91204000.0
Non Current Deferred Taxes Assets,135427000.0,113532000.0,101029000.0,91204000.0
Total Liabilities Net Minority Interest,1571308000.0,1352135000.0,1167725000.0,839899000.0
Current Liabilities,1358673000.0,1046626000.0,940692000.0,819536000.0
Payables And Accrued Expenses,722790000.0,513666000.0,428213000.0,467557000.0
Payables,273544000.0,202497000.0,147295000.0,204485000.0
Accounts Payable,183796000.0,130770000.0,123841000.0,168031000.0
Total Tax Payable,89748000.0,71727000.0,23454000.0,36454000.0
Income Tax Payable,15631000.0,4015000.0,1623000.0,12536000.0
Current Accrued Expenses,449246000.0,311169000.0,280918000.0,263072000.0
Pensionand Other Post Retirement Benefit Plans Current,16820000.0,18996000.0,440853000.0,351779000.0
Current Debt And Capital Lease Obligation,83787000.0,78843000.0,71626000.0,200000.0
Current Debt,,239000.0,218000.0,200000.0
Current Notes Payable,0.0,239000.0,,
Other Current Borrowings,,,218000.0,
Current Capital Lease Obligation,83787000.0,78604000.0,71408000.0,
Current Deferred Liabilities,535276000.0,435121000.0,,
Total Non Current Liabilities Net Minority Interest,212635000.0,305509000.0,227033000.0,20363000.0
Long Term Debt And Capital Lease Obligation,181291000.0,223869000.0,202200000.0,457000.0
Long Term Debt,,,239000.0,457000.0
Long Term Capital Lease Obligation,181291000.0,223869000.0,201961000.0,
Other Non Current Liabilities,31344000.0,81640000.0,24833000.0,19906000.0
Total Equity Gross Minority Interest,1381051000.0,1205289000.0,1143683000.0,1063198000.0
Stockholders Equity,1381051000.0,1205289000.0,1143683000.0,1063198000.0
Capital Stock,111000.0,113000.0,115000.0,119000.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,111000.0,113000.0,115000.0,119000.0
Additional Paid In Capital,1235903000.0,1179972000.0,1127487000.0,1079188000.0
Retained Earnings,167659000.0,29936000.0,36067000.0,0.0
Gains Losses Not Affecting Retained Earnings,-22622000.0,-4732000.0,-19986000.0,-16109000.0
Total Capitalization,1381051000.0,1205289000.0,1143922000.0,1063655000.0
Common Stock Equity,1381051000.0,1205289000.0,1143683000.0,1063198000.0
Capital Lease Obligations,265078000.0,302473000.0,273369000.0,
Net Tangible Assets,1154862000.0,976640000.0,931567000.0,850091000.0
Working Capital,909874000.0,796112000.0,688157000.0,654074000.0
Invested Capital,1381051000.0,1205528000.0,1144140000.0,1063855000.0
Tangible Book Value,1154862000.0,976640000.0,931567000.0,850091000.0
Total Debt,265078000.0,302712000.0,273826000.0,657000.0
Share Issued,110685989.0,113127501.0,115120404.0,119078491.0
Ordinary Shares Number,110685989.0,113127501.0,115120404.0,119078491.0
