,2022-09-30,2021-09-30,2020-09-30,2019-09-30
Total Assets,27978400000.0,31392600000.0,29374500000.0,19219600000.0
Current Assets,7018700000.0,9756400000.0,7806400000.0,5653900000.0
Cash Cash Equivalents And Short Term Investments,3182900000.0,6617900000.0,4632100000.0,2757100000.0
Cash And Cash Equivalents,2818400000.0,6455700000.0,4350900000.0,2686600000.0
Other Short Term Investments,364500000.0,162200000.0,281200000.0,70500000.0
Receivables,1272600000.0,1133100000.0,1395400000.0,1020300000.0
Accounts Receivable,1175500000.0,940000000.0,883400000.0,879200000.0
Gross Accounts Receivable,1202700000.0,965600000.0,910500000.0,885900000.0
Allowance For Doubtful Accounts Receivable,-27200000.0,-25600000.0,-27100000.0,-6700000.0
Taxes Receivable,27700000.0,20700000.0,356900000.0,141100000.0
Other Receivables,69400000.0,172400000.0,155100000.0,
Inventory,2176600000.0,1603900000.0,1551400000.0,1529400000.0
Raw Materials,1435400000.0,1041100000.0,1034000000.0,964900000.0
Finished Goods,741200000.0,562800000.0,517400000.0,564500000.0
Prepaid Assets,386600000.0,401500000.0,227500000.0,347100000.0
Total Non Current Assets,20959700000.0,21636200000.0,21568100000.0,13565700000.0
Net PPE,14576100000.0,14605500000.0,14375500000.0,6431700000.0
Gross PPE,23625400000.0,23064800000.0,22289400000.0,14273500000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,46100000.0,46200000.0,46000000.0,46800000.0
Buildings And Improvements,555400000.0,587600000.0,586800000.0,691500000.0
Machinery Furniture Equipment,1526100000.0,1392000000.0,1285700000.0,1799000000.0
Other Properties,11872300000.0,12027300000.0,11731000000.0,3429100000.0
Construction In Progress,558700000.0,374100000.0,377300000.0,358500000.0
Leases,9066800000.0,8637600000.0,8262600000.0,7948600000.0
Accumulated Depreciation,-9049300000.0,-8459300000.0,-7913900000.0,-7841800000.0
Goodwill And Other Intangible Assets,3439400000.0,4027200000.0,4149300000.0,4272600000.0
Goodwill,3283500000.0,3677300000.0,3597200000.0,3490800000.0
Other Intangible Assets,155900000.0,349900000.0,552100000.0,781800000.0
Investments And Advances,590300000.0,550200000.0,684800000.0,616000000.0
Long Term Equity Investment,311200000.0,268500000.0,478700000.0,396000000.0
Investmentin Financial Assets,279100000.0,281700000.0,206100000.0,220000000.0
Available For Sale Securities,279100000.0,281700000.0,206100000.0,220000000.0
Non Current Deferred Assets,1799700000.0,1874800000.0,1789900000.0,1765800000.0
Non Current Deferred Taxes Assets,1799700000.0,1874800000.0,1789900000.0,1765800000.0
Other Non Current Assets,554200000.0,578500000.0,568600000.0,479600000.0
Total Liabilities Net Minority Interest,36677100000.0,36707100000.0,37173900000.0,25450600000.0
Current Liabilities,9151800000.0,8151400000.0,7346800000.0,6168700000.0
Payables And Accrued Expenses,4107900000.0,4075800000.0,2708900000.0,4689200000.0
Payables,2383500000.0,2355700000.0,1258800000.0,3143800000.0
Accounts Payable,1441400000.0,1211600000.0,997900000.0,1189700000.0
Total Tax Payable,333800000.0,566000000.0,260900000.0,1468400000.0
Income Tax Payable,139200000.0,348000000.0,98200000.0,1291700000.0
Dividends Payable,608300000.0,578100000.0,0.0,485700000.0
Current Accrued Expenses,1724400000.0,1720100000.0,1450100000.0,1545400000.0
Current Provisions,232300000.0,229300000.0,243900000.0,210500000.0
Current Debt And Capital Lease Obligation,3169700000.0,2250200000.0,2937500000.0,
Current Debt,1924000000.0,998900000.0,1688700000.0,
Other Current Borrowings,1924000000.0,998900000.0,1688700000.0,
Current Capital Lease Obligation,1245700000.0,1251300000.0,1248800000.0,
Current Deferred Liabilities,1641900000.0,1596100000.0,1456500000.0,1269000000.0
Current Deferred Revenue,1641900000.0,1596100000.0,1456500000.0,1269000000.0
Total Non Current Liabilities Net Minority Interest,27525300000.0,28555700000.0,29827100000.0,19281900000.0
Long Term Debt And Capital Lease Obligation,20635100000.0,21354900000.0,22321300000.0,11167000000.0
Long Term Debt,13119900000.0,13616900000.0,14659600000.0,11167000000.0
Long Term Capital Lease Obligation,7515200000.0,7738000000.0,7661700000.0,
Non Current Deferred Liabilities,6279700000.0,6463000000.0,6598500000.0,6744400000.0
Non Current Deferred Revenue,6279700000.0,6463000000.0,6598500000.0,6744400000.0
Other Non Current Liabilities,610500000.0,737800000.0,907300000.0,1370500000.0
Total Equity Gross Minority Interest,-8698700000.0,-5314500000.0,-7799400000.0,-6231000000.0
Stockholders Equity,-8706600000.0,-5321200000.0,-7805100000.0,-6232200000.0
Capital Stock,1100000.0,1200000.0,1200000.0,1200000.0
Common Stock,1100000.0,1200000.0,1200000.0,1200000.0
Additional Paid In Capital,205300000.0,846100000.0,373900000.0,41100000.0
Retained Earnings,-8449800000.0,-6315700000.0,-7815600000.0,-5771200000.0
Gains Losses Not Affecting Retained Earnings,-463200000.0,147200000.0,-364600000.0,-503300000.0
Minority Interest,7900000.0,6700000.0,5700000.0,1200000.0
Total Capitalization,4413300000.0,8295700000.0,6854500000.0,4934800000.0
Common Stock Equity,-8706600000.0,-5321200000.0,-7805100000.0,-6232200000.0
Capital Lease Obligations,8760900000.0,8989300000.0,8910500000.0,
Net Tangible Assets,-12146000000.0,-9348400000.0,-11954400000.0,-10504800000.0
Working Capital,-2133100000.0,1605000000.0,459600000.0,-514800000.0
Invested Capital,6337300000.0,9294600000.0,8543200000.0,4934800000.0
Tangible Book Value,-12146000000.0,-9348400000.0,-11954400000.0,-10504800000.0
Total Debt,23804800000.0,23605100000.0,25258800000.0,11167000000.0
Net Debt,12225500000.0,8160100000.0,11997400000.0,8480400000.0
Share Issued,1147900000.0,1180000000.0,1173300000.0,1184600000.0
Ordinary Shares Number,1147900000.0,1180000000.0,1173300000.0,1184600000.0
