,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,2892060000.0,2437109000.0,1494624000.0,964472000.0
Current Assets,1711291000.0,1719341000.0,932763000.0,678113000.0
Cash Cash Equivalents And Short Term Investments,697817000.0,1030929000.0,320756000.0,316314000.0
Cash And Cash Equivalents,530089000.0,827146000.0,223901000.0,191633000.0
Other Short Term Investments,167728000.0,203783000.0,96855000.0,124681000.0
Receivables,527380000.0,275323000.0,382300000.0,201863000.0
Accounts Receivable,456339000.0,218706000.0,298383000.0,173579000.0
Gross Accounts Receivable,458965000.0,221592000.0,300856000.0,
Allowance For Doubtful Accounts Receivable,-2626000.0,-2886000.0,-2473000.0,
Other Receivables,71041000.0,56617000.0,83917000.0,28284000.0
Inventory,380143000.0,331696000.0,170798000.0,141519000.0
Raw Materials,247386000.0,128363000.0,64714000.0,39380000.0
Work In Process,13863000.0,25461000.0,20752000.0,18115000.0
Finished Goods,118894000.0,177872000.0,85332000.0,84024000.0
Prepaid Assets,42511000.0,28741000.0,14917000.0,11038000.0
Restricted Cash,,2611000.0,27558000.0,1628000.0
Other Current Assets,63440000.0,50041000.0,16434000.0,5751000.0
Total Non Current Assets,1180769000.0,717768000.0,561861000.0,286359000.0
Net PPE,457516000.0,345008000.0,212821000.0,119329000.0
Gross PPE,608016000.0,465582000.0,304516000.0,191143000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,13829000.0,17935000.0,6938000.0,6592000.0
Buildings And Improvements,62519000.0,49855000.0,23670000.0,18196000.0
Machinery Furniture Equipment,257138000.0,229505000.0,191976000.0,136454000.0
Other Properties,88502000.0,71333000.0,58524000.0,18160000.0
Construction In Progress,112037000.0,48344000.0,,
Leases,73991000.0,48610000.0,23408000.0,11741000.0
Accumulated Depreciation,-150500000.0,-120574000.0,-91695000.0,-71814000.0
Goodwill And Other Intangible Assets,188490000.0,208297000.0,203662000.0,73378000.0
Goodwill,129629000.0,140479000.0,129654000.0,34874000.0
Other Intangible Assets,58861000.0,67818000.0,74008000.0,38504000.0
Investments And Advances,482228000.0,147434000.0,119176000.0,74256000.0
Investmentin Financial Assets,482228000.0,147434000.0,119176000.0,74256000.0
Available For Sale Securities,482228000.0,147434000.0,119176000.0,74256000.0
Non Current Deferred Assets,27572000.0,11676000.0,16298000.0,14699000.0
Non Current Deferred Taxes Assets,27572000.0,11676000.0,16298000.0,14699000.0
Other Non Current Assets,24963000.0,5353000.0,9904000.0,4697000.0
Total Liabilities Net Minority Interest,1582021000.0,1351352000.0,682954000.0,393746000.0
Current Liabilities,525181000.0,436099000.0,436714000.0,225718000.0
Payables And Accrued Expenses,388783000.0,288912000.0,240696000.0,150991000.0
Payables,263304000.0,171551000.0,157148000.0,107079000.0
Accounts Payable,252068000.0,162051000.0,157148000.0,107079000.0
Other Payable,11236000.0,9500000.0,,11344000.0
Current Accrued Expenses,125479000.0,117361000.0,83548000.0,43912000.0
Current Provisions,11622000.0,62614000.0,65112000.0,3525000.0
Current Debt And Capital Lease Obligation,12876000.0,27888000.0,25263000.0,16639000.0
Current Debt,148000.0,16894000.0,15673000.0,16639000.0
Other Current Borrowings,148000.0,16894000.0,15673000.0,16639000.0
Current Capital Lease Obligation,12728000.0,10994000.0,9590000.0,
Current Deferred Liabilities,17789000.0,24648000.0,70815000.0,14351000.0
Current Deferred Revenue,17789000.0,24648000.0,70815000.0,14351000.0
Other Current Liabilities,94111000.0,94651000.0,99940000.0,40212000.0
Total Non Current Liabilities Net Minority Interest,1056840000.0,915253000.0,246240000.0,168028000.0
Long Term Provisions,193680000.0,142380000.0,107451000.0,92958000.0
Long Term Debt And Capital Lease Obligation,700955000.0,634717000.0,30386000.0,3510000.0
Long Term Debt,621535000.0,573350000.0,173000.0,3510000.0
Long Term Capital Lease Obligation,79420000.0,61367000.0,30213000.0,
Non Current Deferred Liabilities,151712000.0,123965000.0,94443000.0,62169000.0
Non Current Deferred Taxes Liabilities,156000.0,8593000.0,4461000.0,1499000.0
Non Current Deferred Revenue,151556000.0,115372000.0,89982000.0,60670000.0
Tradeand Other Payables Non Current,5105000.0,5062000.0,5389000.0,7147000.0
Non Current Accrued Expenses,1739000.0,1561000.0,4647000.0,92958000.0
Other Non Current Liabilities,197329000.0,149948000.0,111375000.0,95202000.0
Total Equity Gross Minority Interest,1310039000.0,1085757000.0,811670000.0,570726000.0
Stockholders Equity,1310039000.0,1085757000.0,811670000.0,562408000.0
Capital Stock,5000.0,5000.0,5000.0,5000.0
Common Stock,5000.0,5000.0,5000.0,5000.0
Additional Paid In Capital,687295000.0,603891000.0,475792000.0,371794000.0
Retained Earnings,650058000.0,478004000.0,337682000.0,191133000.0
Gains Losses Not Affecting Retained Earnings,-27319000.0,3857000.0,-1809000.0,-524000.0
Minority Interest,,,0.0,8318000.0
Total Capitalization,1931574000.0,1659107000.0,811843000.0,565918000.0
Common Stock Equity,1310039000.0,1085757000.0,811670000.0,562408000.0
Capital Lease Obligations,92148000.0,72361000.0,39803000.0,
Net Tangible Assets,1121549000.0,877460000.0,608008000.0,489030000.0
Working Capital,1186110000.0,1283242000.0,496049000.0,452395000.0
Invested Capital,1931722000.0,1676001000.0,827516000.0,582557000.0
Tangible Book Value,1121549000.0,877460000.0,608008000.0,489030000.0
Total Debt,713831000.0,662605000.0,55649000.0,20149000.0
Net Debt,91594000.0,,,
Share Issued,52815395.0,51560936.0,49081457.0,46052802.0
Ordinary Shares Number,52815395.0,51560936.0,48898062.0,46052802.0
Treasury Shares Number,,0.0,183395.0,
