,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,20666700000.0,20401600000.0,20496200000.0,19134279000.0
Current Assets,5053700000.0,4591400000.0,4631700000.0,4344487000.0
Cash Cash Equivalents And Short Term Investments,165700000.0,226600000.0,161800000.0,155505000.0
Cash And Cash Equivalents,165700000.0,226600000.0,161800000.0,155505000.0
Receivables,2352400000.0,2078100000.0,2088900000.0,2018768000.0
Accounts Receivable,2352400000.0,2078100000.0,2088900000.0,2018768000.0
Gross Accounts Receivable,2401300000.0,2131600000.0,2125400000.0,
Allowance For Doubtful Accounts Receivable,-48900000.0,-53500000.0,-36500000.0,
Inventory,1927200000.0,1804100000.0,1889600000.0,1815275000.0
Work In Process,548400000.0,376500000.0,380000000.0,388909000.0
Finished Goods,1378800000.0,1427600000.0,1509600000.0,1426366000.0
Other Current Assets,608400000.0,482600000.0,491400000.0,354939000.0
Total Non Current Assets,15613000000.0,15810200000.0,15864500000.0,14789792000.0
Net PPE,3687900000.0,3595600000.0,3520800000.0,1776839000.0
Gross PPE,6485100000.0,6309900000.0,6068000000.0,4040171000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,257700000.0,283500000.0,242100000.0,244608000.0
Buildings And Improvements,1157800000.0,1098000000.0,1044200000.0,979140000.0
Machinery Furniture Equipment,3043600000.0,3026800000.0,2952100000.0,2668492000.0
Other Properties,1820600000.0,1761100000.0,1685600000.0,
Construction In Progress,205400000.0,140500000.0,144000000.0,147931000.0
Accumulated Depreciation,-2797200000.0,-2714300000.0,-2547200000.0,-2263332000.0
Goodwill And Other Intangible Assets,11136100000.0,11520300000.0,11739300000.0,12158281000.0
Goodwill,7134600000.0,7049100000.0,7004800000.0,6956702000.0
Other Intangible Assets,4001500000.0,4471200000.0,4734500000.0,5201579000.0
Non Current Deferred Assets,,53100000.0,43000000.0,270664000.0
Other Non Current Assets,789000000.0,641200000.0,561400000.0,584008000.0
Total Liabilities Net Minority Interest,18229500000.0,16790800000.0,16372900000.0,15403534000.0
Current Liabilities,5719500000.0,4594400000.0,4521900000.0,4297747000.0
Payables And Accrued Expenses,3569100000.0,3429200000.0,2963100000.0,3157606000.0
Payables,2563300000.0,2301300000.0,1962000000.0,1880190000.0
Accounts Payable,2403000000.0,2117800000.0,1876300000.0,1799424000.0
Total Tax Payable,160300000.0,183500000.0,85700000.0,80766000.0
Current Accrued Expenses,1005800000.0,1127900000.0,1001100000.0,1277416000.0
Pensionand Other Post Retirement Benefit Plans Current,716600000.0,752700000.0,552700000.0,504547000.0
Current Debt And Capital Lease Obligation,1433800000.0,412500000.0,1006100000.0,635594000.0
Current Debt,1024100000.0,25200000.0,634500000.0,635594000.0
Commercial Paper,739900000.0,,191900000.0,
Other Current Borrowings,284200000.0,25200000.0,442600000.0,
Current Capital Lease Obligation,409700000.0,387300000.0,371600000.0,
Other Current Liabilities,,2064100000.0,1639500000.0,1862729000.0
Total Non Current Liabilities Net Minority Interest,12510000000.0,12196400000.0,11851000000.0,11105787000.0
Long Term Debt And Capital Lease Obligation,10061600000.0,9701000000.0,9421400000.0,8708057000.0
Long Term Debt,8590900000.0,8266900000.0,8050700000.0,8708057000.0
Long Term Capital Lease Obligation,1470700000.0,1434100000.0,1370700000.0,
Non Current Deferred Liabilities,768200000.0,846100000.0,969900000.0,1130872000.0
Non Current Deferred Taxes Liabilities,768200000.0,846100000.0,969900000.0,1130872000.0
Employee Benefits,259400000.0,275600000.0,263000000.0,257621000.0
Non Current Pension And Other Postretirement Benefit Plans,259400000.0,275600000.0,263000000.0,257621000.0
Other Non Current Liabilities,1420800000.0,1373700000.0,1196700000.0,1009237000.0
Total Equity Gross Minority Interest,2437200000.0,3610800000.0,4123300000.0,3730745000.0
Stockholders Equity,2437200000.0,3610800000.0,4123300000.0,3730745000.0
Capital Stock,90800000.0,89900000.0,119400000.0,118373000.0
Common Stock,90800000.0,89900000.0,119400000.0,118373000.0
Additional Paid In Capital,,,3153000000.0,2896448000.0
Retained Earnings,2121700000.0,844300000.0,7366900000.0,6246548000.0
Treasury Stock,2869900000.0,96500000.0,5836500000.0,4900690000.0
Gains Losses Not Affecting Retained Earnings,-698400000.0,-718300000.0,-679500000.0,-629934000.0
Other Equity Interest,3793000000.0,3491400000.0,3153000000.0,2896448000.0
Total Capitalization,11028100000.0,11877700000.0,12174000000.0,12438802000.0
Common Stock Equity,2437200000.0,3610800000.0,4123300000.0,3730745000.0
Capital Lease Obligations,1880400000.0,1821400000.0,1742300000.0,
Net Tangible Assets,-8698900000.0,-7909500000.0,-7616000000.0,-8427536000.0
Working Capital,-665800000.0,-3000000.0,109800000.0,46740000.0
Invested Capital,12052200000.0,11902900000.0,12808500000.0,13074396000.0
Tangible Book Value,-8698900000.0,-7909500000.0,-7616000000.0,-8427536000.0
Total Debt,11495400000.0,10113500000.0,10427500000.0,9343651000.0
Net Debt,9449300000.0,8065500000.0,8523400000.0,9188146000.0
Share Issued,272457439.0,269815323.0,358301424.0,355115394.0
Ordinary Shares Number,261143805.0,268676631.0,276434517.0,279350286.0
Treasury Shares Number,11313634.0,1138692.0,81866907.0,75765108.0
