,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,12531234000.0,9265562000.0,8275765000.0,7703563000.0
Current Assets,6901023000.0,4258447000.0,4253025000.0,4032657000.0
Cash Cash Equivalents And Short Term Investments,1243868000.0,1368618000.0,1643634000.0,1057003000.0
Cash And Cash Equivalents,1243868000.0,1368618000.0,1381460000.0,828220000.0
Other Short Term Investments,,0.0,262174000.0,228783000.0
Receivables,1916434000.0,971918000.0,844336000.0,1043756000.0
Accounts Receivable,1916434000.0,971918000.0,844336000.0,1043756000.0
Gross Accounts Receivable,1922595000.0,980127000.0,860203000.0,1061251000.0
Allowance For Doubtful Accounts Receivable,-6161000.0,-8209000.0,-15867000.0,-17495000.0
Inventory,3531130000.0,1843548000.0,1689043000.0,1859168000.0
Raw Materials,2422916000.0,1290821000.0,1185129000.0,1247594000.0
Work In Process,402207000.0,162843000.0,154669000.0,195224000.0
Finished Goods,706007000.0,389884000.0,349245000.0,416350000.0
Other Current Assets,209591000.0,74363000.0,76012000.0,72730000.0
Total Non Current Assets,5630211000.0,5007115000.0,4022740000.0,3670906000.0
Net PPE,4751430000.0,4105569000.0,3135886000.0,2945767000.0
Gross PPE,8256544000.0,7331616000.0,6124714000.0,5684970000.0
Land And Improvements,350898000.0,340495000.0,333879000.0,331926000.0
Buildings And Improvements,873131000.0,860641000.0,805381000.0,778701000.0
Machinery Furniture Equipment,5193405000.0,4827791000.0,4594778000.0,4416212000.0
Construction In Progress,1839110000.0,1302689000.0,390676000.0,158131000.0
Accumulated Depreciation,-3505114000.0,-3226047000.0,-2988828000.0,-2739203000.0
Goodwill And Other Intangible Assets,749180000.0,781803000.0,780816000.0,699973000.0
Goodwill,453835000.0,457226000.0,452915000.0,429645000.0
Other Intangible Assets,295345000.0,324577000.0,327901000.0,270328000.0
Other Non Current Assets,129601000.0,119743000.0,106038000.0,25166000.0
Total Liabilities Net Minority Interest,6211063000.0,4917336000.0,4210910000.0,3816334000.0
Current Liabilities,2227369000.0,1258787000.0,1006698000.0,1019137000.0
Payables And Accrued Expenses,2130195000.0,1171893000.0,917342000.0,994903000.0
Payables,1294301000.0,771841000.0,515358000.0,558222000.0
Accounts Payable,1280555000.0,769455000.0,513344000.0,550754000.0
Total Tax Payable,13746000.0,2386000.0,2014000.0,7468000.0
Income Tax Payable,13746000.0,2386000.0,2014000.0,7468000.0
Current Accrued Expenses,835894000.0,400052000.0,401984000.0,436681000.0
Interest Payable,17533000.0,19656000.0,18292000.0,25526000.0
Current Debt And Capital Lease Obligation,97174000.0,86894000.0,89356000.0,24234000.0
Current Debt,97174000.0,86894000.0,89356000.0,24234000.0
Total Non Current Liabilities Net Minority Interest,3983694000.0,3658549000.0,3204212000.0,2797197000.0
Long Term Debt And Capital Lease Obligation,3008702000.0,3015782000.0,2644988000.0,2352489000.0
Long Term Debt,3008702000.0,3015782000.0,2644988000.0,2352489000.0
Non Current Deferred Liabilities,854905000.0,536288000.0,484169000.0,435838000.0
Non Current Deferred Taxes Liabilities,854905000.0,536288000.0,484169000.0,435838000.0
Preferred Securities Outside Stock Equity,,158614000.0,143614000.0,111240000.0
Other Non Current Liabilities,120087000.0,106479000.0,75055000.0,8870000.0
Total Equity Gross Minority Interest,6320171000.0,4348226000.0,4064855000.0,3887229000.0
Stockholders Equity,6304641000.0,4345164000.0,4075834000.0,3935071000.0
Capital Stock,649000.0,648000.0,646000.0,645000.0
Common Stock,649000.0,648000.0,646000.0,645000.0
Additional Paid In Capital,1218933000.0,1207392000.0,1181012000.0,1160048000.0
Retained Earnings,7761417000.0,4758969000.0,4419296000.0,3958320000.0
Treasury Stock,2674267000.0,1623747000.0,1525113000.0,1184243000.0
Gains Losses Not Affecting Retained Earnings,-2091000.0,1902000.0,-7000.0,301000.0
Minority Interest,15530000.0,3062000.0,-10979000.0,-47842000.0
Total Capitalization,9313343000.0,7360946000.0,6720822000.0,6287560000.0
Common Stock Equity,6304641000.0,4345164000.0,4075834000.0,3935071000.0
Net Tangible Assets,5555461000.0,3563361000.0,3295018000.0,3235098000.0
Working Capital,4673654000.0,2999660000.0,3246327000.0,3013520000.0
Invested Capital,9410517000.0,7447840000.0,6810178000.0,6311794000.0
Tangible Book Value,5555461000.0,3563361000.0,3295018000.0,3235098000.0
Total Debt,3105876000.0,3102676000.0,2734344000.0,2376723000.0
Net Debt,1862008000.0,1734058000.0,1352884000.0,1548503000.0
Share Issued,267224622.0,266618566.0,266072787.0,265822402.0
Ordinary Shares Number,194997922.0,210914264.0,214502639.0,225272174.0
Treasury Shares Number,72226700.0,55704302.0,51570148.0,40550228.0
