,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,95748000000.0,95948000000.0,104826000000.0,106792000000.0
Cash And Cash Equivalents,8337000000.0,11524000000.0,12147000000.0,9396000000.0
Other Short Term Investments,5283000000.0,7469000000.0,5911000000.0,6062000000.0
Goodwill And Other Intangible Assets,2273000000.0,2203000000.0,2343000000.0,2161000000.0
Goodwill,1105000000.0,1078000000.0,1078000000.0,1024000000.0
Other Intangible Assets,1168000000.0,1125000000.0,1265000000.0,1137000000.0
Investments And Advances,5283000000.0,7469000000.0,5911000000.0,6062000000.0
Available For Sale Securities,5283000000.0,6627000000.0,4885000000.0,4923000000.0
Total Liabilities Net Minority Interest,82093000000.0,83247000000.0,89738000000.0,92114000000.0
Payables And Accrued Expenses,5316000000.0,4690000000.0,4718000000.0,4099000000.0
Current Accrued Expenses,5316000000.0,4690000000.0,4718000000.0,4099000000.0
Long Term Debt And Capital Lease Obligation,14507000000.0,15775000000.0,19866000000.0,23996000000.0
Long Term Debt,14507000000.0,15775000000.0,19866000000.0,23996000000.0
Total Equity Gross Minority Interest,13655000000.0,12701000000.0,15088000000.0,14678000000.0
Stockholders Equity,13655000000.0,12701000000.0,15088000000.0,14678000000.0
Capital Stock,735000000.0,735000000.0,735000000.0,1000000.0
Preferred Stock,734000000.0,734000000.0,734000000.0,
Common Stock,1000000.0,1000000.0,1000000.0,1000000.0
Additional Paid In Capital,9669000000.0,9570000000.0,9537000000.0,9482000000.0
Retained Earnings,14245000000.0,10621000000.0,12117000000.0,8986000000.0
Treasury Stock,10925000000.0,8174000000.0,7243000000.0,3729000000.0
Gains Losses Not Affecting Retained Earnings,-69000000.0,-51000000.0,-58000000.0,-62000000.0
Unrealized Gain Loss,4000000.0,25000000.0,-1000000.0,-32000000.0
Minimum Pension Liabilities,-47000000.0,-54000000.0,-33000000.0,-5000000.0
Foreign Currency Translation Adjustments,-26000000.0,-22000000.0,-24000000.0,-25000000.0
Total Capitalization,28162000000.0,28476000000.0,34954000000.0,38674000000.0
Preferred Stock Equity,734000000.0,734000000.0,734000000.0,
Common Stock Equity,12921000000.0,11967000000.0,14354000000.0,14678000000.0
Net Tangible Assets,11382000000.0,10498000000.0,12745000000.0,12517000000.0
Invested Capital,27428000000.0,27742000000.0,34220000000.0,38674000000.0
Tangible Book Value,10648000000.0,9764000000.0,12011000000.0,12517000000.0
Total Debt,14507000000.0,15775000000.0,19866000000.0,23996000000.0
Net Debt,6170000000.0,4251000000.0,7719000000.0,14600000000.0
Share Issued,833984684.0,833984684.0,833984684.0,833926086.0
Ordinary Shares Number,526830205.0,584009550.0,615925168.0,718700000.0
Preferred Shares Number,30000000.0,30000000.0,30000000.0,
Treasury Shares Number,307154479.0,249975134.0,218059516.0,115226086.0
