,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Total Assets,2294805000.0,2262957000.0,2027589000.0,1884410000.0
Current Assets,605556000.0,510606000.0,520920000.0,412607000.0
Cash Cash Equivalents And Short Term Investments,247029000.0,231554000.0,270893000.0,166033000.0
Cash And Cash Equivalents,172567000.0,199091000.0,146625000.0,100886000.0
Other Short Term Investments,74462000.0,32463000.0,124268000.0,65147000.0
Receivables,194548000.0,145385000.0,122534000.0,137466000.0
Accounts Receivable,194548000.0,145385000.0,122534000.0,137466000.0
Gross Accounts Receivable,197116000.0,146614000.0,123309000.0,138446000.0
Allowance For Doubtful Accounts Receivable,-2568000.0,-1229000.0,-775000.0,-980000.0
Inventory,141123000.0,116748000.0,103152000.0,91050000.0
Raw Materials,79291000.0,55096000.0,51530000.0,40913000.0
Finished Goods,61832000.0,61652000.0,51622000.0,50137000.0
Other Current Assets,22856000.0,16919000.0,24341000.0,18058000.0
Total Non Current Assets,1689249000.0,1752351000.0,1506669000.0,1471803000.0
Net PPE,288798000.0,281741000.0,248294000.0,154039000.0
Gross PPE,500221000.0,471590000.0,418115000.0,306317000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,8572000.0,8612000.0,8516000.0,7065000.0
Buildings And Improvements,229551000.0,190661000.0,184430000.0,175019000.0
Machinery Furniture Equipment,174813000.0,198483000.0,153704000.0,124233000.0
Other Properties,65556000.0,73834000.0,71465000.0,
Construction In Progress,21729000.0,,,
Accumulated Depreciation,-211423000.0,-189849000.0,-169821000.0,-152278000.0
Goodwill And Other Intangible Assets,1353623000.0,1459035000.0,1244853000.0,1312096000.0
Goodwill,822101000.0,843067000.0,728308000.0,732667000.0
Other Intangible Assets,531522000.0,615968000.0,516545000.0,579429000.0
Non Current Prepaid Assets,,,6234000.0,
Other Non Current Assets,46828000.0,11575000.0,7288000.0,5668000.0
Total Liabilities Net Minority Interest,593794000.0,691723000.0,646397000.0,718821000.0
Current Liabilities,176018000.0,152284000.0,106668000.0,101985000.0
Payables And Accrued Expenses,126941000.0,105296000.0,71584000.0,80401000.0
Payables,47102000.0,38720000.0,31404000.0,25374000.0
Accounts Payable,33865000.0,29384000.0,23090000.0,16210000.0
Total Tax Payable,13237000.0,5336000.0,2376000.0,5764000.0
Income Tax Payable,13237000.0,5336000.0,2376000.0,5764000.0
Other Payable,,4000000.0,5938000.0,3400000.0
Current Accrued Expenses,79839000.0,66576000.0,40180000.0,55027000.0
Current Debt And Capital Lease Obligation,24428000.0,24102000.0,22035000.0,12500000.0
Current Debt,12500000.0,12500000.0,12500000.0,12500000.0
Other Current Borrowings,12500000.0,12500000.0,12500000.0,
Current Capital Lease Obligation,11928000.0,11602000.0,9535000.0,
Current Deferred Liabilities,23406000.0,18995000.0,13049000.0,9084000.0
Current Deferred Revenue,23406000.0,18995000.0,13049000.0,9084000.0
Other Current Liabilities,1243000.0,3891000.0,,
Total Non Current Liabilities Net Minority Interest,417776000.0,539439000.0,539729000.0,616836000.0
Long Term Debt And Capital Lease Obligation,301543000.0,396452000.0,411491000.0,492660000.0
Long Term Debt,243410000.0,328827000.0,344243000.0,492660000.0
Long Term Capital Lease Obligation,58133000.0,67625000.0,67248000.0,
Non Current Deferred Liabilities,98994000.0,93125000.0,101090000.0,89754000.0
Non Current Deferred Taxes Liabilities,98994000.0,93125000.0,101090000.0,89754000.0
Tradeand Other Payables Non Current,5000000.0,25400000.0,199000.0,9200000.0
Other Non Current Liabilities,12239000.0,24462000.0,26949000.0,25222000.0
Total Equity Gross Minority Interest,1701011000.0,1571234000.0,1381192000.0,1165589000.0
Stockholders Equity,1701770000.0,1562971000.0,1381192000.0,1165589000.0
Capital Stock,392000.0,390000.0,385000.0,379000.0
Common Stock,392000.0,390000.0,385000.0,379000.0
Additional Paid In Capital,653657000.0,534411000.0,420536000.0,316797000.0
Retained Earnings,1122921000.0,1085461000.0,1057470000.0,931934000.0
Gains Losses Not Affecting Retained Earnings,-75200000.0,-57291000.0,-97199000.0,-83521000.0
Minority Interest,-759000.0,8263000.0,,
Total Capitalization,1945180000.0,1891798000.0,1725435000.0,1658249000.0
Common Stock Equity,1701770000.0,1562971000.0,1381192000.0,1165589000.0
Capital Lease Obligations,70061000.0,79227000.0,76783000.0,
Net Tangible Assets,348147000.0,103936000.0,136339000.0,-146507000.0
Working Capital,429538000.0,358322000.0,414252000.0,310622000.0
Invested Capital,1957680000.0,1904298000.0,1737935000.0,1670749000.0
Tangible Book Value,348147000.0,103936000.0,136339000.0,-146507000.0
Total Debt,325971000.0,420554000.0,433526000.0,505160000.0
Net Debt,83343000.0,142236000.0,210118000.0,404274000.0
Share Issued,156640000.0,155821936.0,153812184.0,151736160.0
Ordinary Shares Number,156640000.0,155821936.0,153812184.0,151736160.0
