,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,3809425000.0,3652346000.0,2787014000.0,2706606000.0
Current Assets,2576227000.0,2415434000.0,1658884000.0,1732482000.0
Cash Cash Equivalents And Short Term Investments,1366430000.0,1436401000.0,911227000.0,1116848000.0
Cash And Cash Equivalents,1122199000.0,914121000.0,773924000.0,926752000.0
Other Short Term Investments,244231000.0,522280000.0,137303000.0,190096000.0
Receivables,550749000.0,497506000.0,362368000.0,291267000.0
Accounts Receivable,550749000.0,497506000.0,362368000.0,291267000.0
Gross Accounts Receivable,552761000.0,499540000.0,364104000.0,292940000.0
Allowance For Doubtful Accounts Receivable,-2012000.0,-2034000.0,-1736000.0,-1673000.0
Inventory,243330000.0,222189000.0,196691000.0,153541000.0
Raw Materials,155641000.0,114133000.0,118595000.0,89365000.0
Work In Process,37740000.0,25408000.0,32695000.0,31014000.0
Finished Goods,49949000.0,82648000.0,45401000.0,33162000.0
Prepaid Assets,406266000.0,259338000.0,188598000.0,170826000.0
Other Current Assets,9452000.0,,,
Total Non Current Assets,1233198000.0,1236912000.0,1128130000.0,974124000.0
Net PPE,456047000.0,449369000.0,377755000.0,279821000.0
Gross PPE,1308268000.0,1238893000.0,1107424000.0,961462000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,17207000.0,17207000.0,16561000.0,16561000.0
Buildings And Improvements,126468000.0,108221000.0,107282000.0,105935000.0
Machinery Furniture Equipment,1023571000.0,984522000.0,864127000.0,780154000.0
Other Properties,68807000.0,54569000.0,57539000.0,279821000.0
Construction In Progress,8105000.0,13098000.0,2537000.0,6276000.0
Leases,64110000.0,61276000.0,59378000.0,52536000.0
Accumulated Depreciation,-852221000.0,-789524000.0,-729669000.0,-681641000.0
Goodwill And Other Intangible Assets,501659000.0,554798000.0,541911000.0,507332000.0
Goodwill,426024000.0,453859000.0,416431000.0,381850000.0
Other Intangible Assets,75635000.0,100939000.0,125480000.0,125482000.0
Investments And Advances,133858000.0,117980000.0,104490000.0,87731000.0
Investmentin Financial Assets,133858000.0,117980000.0,104490000.0,87731000.0
Trading Securities,,,104490000.0,87731000.0
Available For Sale Securities,133858000.0,117980000.0,104490000.0,87731000.0
Non Current Deferred Assets,102428000.0,87913000.0,75185000.0,70848000.0
Non Current Deferred Taxes Assets,102428000.0,87913000.0,75185000.0,70848000.0
Defined Pension Benefit,15110000.0,17468000.0,18457000.0,16883000.0
