,2022-01-31,2021-01-31,2020-01-31,2019-01-31
Total Assets,53811000000.0,51248000000.0,42779000000.0,41290000000.0
Current Assets,21573000000.0,20756000000.0,12902000000.0,12519000000.0
Cash Cash Equivalents And Short Term Investments,5911000000.0,8511000000.0,2577000000.0,1556000000.0
Cash And Cash Equivalents,926000000.0,867000000.0,767000000.0,787000000.0
Cash Financial,349000000.0,307000000.0,326000000.0,359000000.0
Cash Equivalents,577000000.0,560000000.0,441000000.0,428000000.0
Other Short Term Investments,4985000000.0,7644000000.0,1810000000.0,769000000.0
Receivables,1353000000.0,1135000000.0,962000000.0,1100000000.0
Accounts Receivable,835000000.0,631000000.0,,
Taxes Receivable,,,498000000.0,632000000.0
Other Receivables,518000000.0,504000000.0,464000000.0,468000000.0
Inventory,13902000000.0,10653000000.0,8992000000.0,9497000000.0
Prepaid Assets,170000000.0,171000000.0,154000000.0,157000000.0
Other Current Assets,237000000.0,286000000.0,217000000.0,209000000.0
Total Non Current Assets,32238000000.0,30492000000.0,29877000000.0,28771000000.0
Net PPE,30737000000.0,29106000000.0,28519000000.0,27498000000.0
Gross PPE,51874000000.0,49384000000.0,48183000000.0,46185000000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,6164000000.0,6141000000.0,6036000000.0,6064000000.0
Buildings And Improvements,32985000000.0,31557000000.0,30603000000.0,29240000000.0
Machinery Furniture Equipment,8912000000.0,8679000000.0,8775000000.0,8456000000.0
Other Properties,2556000000.0,2227000000.0,2236000000.0,1965000000.0
Construction In Progress,1257000000.0,780000000.0,533000000.0,460000000.0
Accumulated Depreciation,-21137000000.0,-20278000000.0,-19664000000.0,-18687000000.0
Goodwill And Other Intangible Assets,656000000.0,668000000.0,686000000.0,699000000.0
Goodwill,631000000.0,631000000.0,,633000000.0
Other Intangible Assets,25000000.0,37000000.0,,66000000.0
Investments And Advances,470000000.0,450000000.0,418000000.0,380000000.0
Defined Pension Benefit,,,,11000000.0
Other Non Current Assets,375000000.0,268000000.0,254000000.0,183000000.0
Total Liabilities Net Minority Interest,40984000000.0,36808000000.0,30946000000.0,29993000000.0
Current Liabilities,21747000000.0,20125000000.0,14487000000.0,15014000000.0
Payables And Accrued Expenses,18223000000.0,15890000000.0,11858000000.0,11595000000.0
Payables,16944000000.0,14776000000.0,10854000000.0,10693000000.0
Accounts Payable,15478000000.0,12859000000.0,9920000000.0,9761000000.0
Total Tax Payable,1042000000.0,1576000000.0,601000000.0,601000000.0
Income Tax Payable,,473000000.0,,
Dividends Payable,424000000.0,341000000.0,333000000.0,331000000.0
Current Accrued Expenses,1279000000.0,1114000000.0,1004000000.0,902000000.0
Interest Payable,77000000.0,79000000.0,69000000.0,62000000.0
Pensionand Other Post Retirement Benefit Plans Current,1789000000.0,1846000000.0,1313000000.0,1371000000.0
Current Debt And Capital Lease Obligation,425000000.0,1355000000.0,361000000.0,1218000000.0
Current Debt,171000000.0,1144000000.0,161000000.0,1052000000.0
Other Current Borrowings,171000000.0,1144000000.0,161000000.0,1052000000.0
Current Capital Lease Obligation,254000000.0,211000000.0,200000000.0,166000000.0
Other Current Liabilities,1310000000.0,1034000000.0,955000000.0,830000000.0
Total Non Current Liabilities Net Minority Interest,19237000000.0,16683000000.0,16459000000.0,14979000000.0
Long Term Debt And Capital Lease Obligation,16042000000.0,13754000000.0,13613000000.0,12227000000.0
Long Term Debt,13549000000.0,11536000000.0,11338000000.0,10223000000.0
Long Term Capital Lease Obligation,2493000000.0,2218000000.0,2275000000.0,2004000000.0
Non Current Deferred Liabilities,2617000000.0,2048000000.0,2154000000.0,2014000000.0
Non Current Deferred Taxes Liabilities,1566000000.0,990000000.0,1122000000.0,972000000.0
Non Current Deferred Revenue,479000000.0,509000000.0,539000000.0,570000000.0
Tradeand Other Payables Non Current,139000000.0,436000000.0,180000000.0,312000000.0
Employee Benefits,395000000.0,398000000.0,417000000.0,321000000.0
Non Current Pension And Other Postretirement Benefit Plans,45000000.0,57000000.0,107000000.0,40000000.0
Derivative Product Liabilities,77000000.0,,,
Other Non Current Liabilities,44000000.0,47000000.0,95000000.0,105000000.0
Total Equity Gross Minority Interest,12827000000.0,14440000000.0,11833000000.0,11297000000.0
Stockholders Equity,12827000000.0,14440000000.0,11833000000.0,11297000000.0
Capital Stock,39000000.0,42000000.0,42000000.0,43000000.0
Common Stock,39000000.0,42000000.0,42000000.0,43000000.0
Additional Paid In Capital,6421000000.0,6329000000.0,6226000000.0,6042000000.0
Retained Earnings,6920000000.0,8825000000.0,6433000000.0,6017000000.0
Gains Losses Not Affecting Retained Earnings,-553000000.0,-756000000.0,-868000000.0,-805000000.0
Total Capitalization,26376000000.0,25976000000.0,23171000000.0,21520000000.0
Common Stock Equity,12827000000.0,14440000000.0,11833000000.0,11297000000.0
Capital Lease Obligations,2747000000.0,2429000000.0,2475000000.0,2170000000.0
Net Tangible Assets,12171000000.0,13772000000.0,11147000000.0,10598000000.0
Working Capital,-174000000.0,631000000.0,-1585000000.0,-2495000000.0
Invested Capital,26547000000.0,27120000000.0,23332000000.0,22572000000.0
Tangible Book Value,12171000000.0,13772000000.0,11147000000.0,10598000000.0
Total Debt,16467000000.0,15109000000.0,13974000000.0,13445000000.0
Net Debt,12794000000.0,11813000000.0,10732000000.0,10488000000.0
Share Issued,471274073.0,500877129.0,504198962.0,517761600.0
Ordinary Shares Number,471274073.0,500877129.0,504198962.0,517761600.0
