,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,62131000000.0,52148000000.0,34309000000.0,29739614000.0
Current Assets,27100000000.0,26717000000.0,12103000000.0,8306308000.0
Cash Cash Equivalents And Short Term Investments,17707000000.0,19384000000.0,6268000000.0,3685618000.0
Cash And Cash Equivalents,17576000000.0,19384000000.0,6268000000.0,3685618000.0
Other Short Term Investments,131000000.0,,,
Receivables,1913000000.0,1886000000.0,1324000000.0,949022000.0
Accounts Receivable,1913000000.0,1886000000.0,1324000000.0,949022000.0
Inventory,5757000000.0,4101000000.0,3552000000.0,3113446000.0
Raw Materials,2816000000.0,1508000000.0,1428000000.0,931828000.0
Work In Process,1089000000.0,493000000.0,362000000.0,296991000.0
Finished Goods,1277000000.0,1666000000.0,1356000000.0,1581763000.0
Other Inventories,575000000.0,434000000.0,406000000.0,302864000.0
Prepaid Assets,1723000000.0,1346000000.0,713000000.0,365671000.0
Restricted Cash,,,246000000.0,192551000.0
Total Non Current Assets,35031000000.0,25431000000.0,22206000000.0,21433306000.0
Net PPE,31176000000.0,23375000000.0,20199000000.0,19691231000.0
Gross PPE,39094000000.0,29447000000.0,31925000000.0,22885847000.0
Properties,6913000000.0,6861000000.0,14130000000.0,99380000.0
Land And Improvements,4675000000.0,3662000000.0,3024000000.0,4047006000.0
Machinery Furniture Equipment,15878000000.0,12440000000.0,10209000000.0,8906145000.0
Other Properties,4204000000.0,3369000000.0,2711000000.0,7997275000.0
Construction In Progress,5598000000.0,1694000000.0,764000000.0,875070000.0
Leases,1826000000.0,1421000000.0,1087000000.0,960971000.0
Accumulated Depreciation,-7918000000.0,-6072000000.0,-11726000000.0,-3194616000.0
Goodwill And Other Intangible Assets,1717000000.0,520000000.0,537000000.0,350651000.0
Goodwill,200000000.0,207000000.0,198000000.0,68159000.0
Other Intangible Assets,1517000000.0,313000000.0,339000000.0,282492000.0
Non Current Note Receivables,,,393000000.0,421548000.0
Other Non Current Assets,2138000000.0,1536000000.0,1077000000.0,969876000.0
Total Liabilities Net Minority Interest,30548000000.0,28469000000.0,26199000000.0,23426010000.0
Current Liabilities,19705000000.0,14248000000.0,10667000000.0,9992136000.0
Payables And Accrued Expenses,14817000000.0,8962000000.0,5916000000.0,4874784000.0
Payables,11147000000.0,6828000000.0,4382000000.0,3753114000.0
Accounts Payable,10025000000.0,6051000000.0,3771000000.0,3404451000.0
Total Tax Payable,1122000000.0,777000000.0,611000000.0,348663000.0
Current Accrued Expenses,3670000000.0,2134000000.0,1534000000.0,1121670000.0
Interest Payable,16000000.0,77000000.0,86000000.0,77917000.0
Current Provisions,265000000.0,417000000.0,272000000.0,107800000.0
Current Debt And Capital Lease Obligation,1957000000.0,2418000000.0,2070000000.0,2711199000.0
Current Debt,1088000000.0,1758000000.0,1399000000.0,2221985000.0
Line Of Credit,,,,181827000.0
Other Current Borrowings,1088000000.0,1758000000.0,1399000000.0,2040158000.0
Current Capital Lease Obligation,869000000.0,660000000.0,671000000.0,489214000.0
Current Deferred Liabilities,2372000000.0,2210000000.0,1889000000.0,1422893000.0
Current Deferred Revenue,2372000000.0,2210000000.0,1889000000.0,1422893000.0
Other Current Liabilities,294000000.0,241000000.0,520000000.0,875460000.0
Total Non Current Liabilities Net Minority Interest,10843000000.0,14221000000.0,15532000000.0,13433874000.0
Long Term Provisions,133000000.0,500000000.0,545000000.0,84143000.0
Long Term Debt And Capital Lease Obligation,6916000000.0,10861000000.0,12627000000.0,11116072000.0
Long Term Debt,4254000000.0,8513000000.0,10402000000.0,8410490000.0
Long Term Capital Lease Obligation,2662000000.0,2348000000.0,2225000000.0,2705582000.0
Non Current Deferred Liabilities,2076000000.0,1435000000.0,1207000000.0,1050125000.0
Non Current Deferred Taxes Liabilities,24000000.0,151000000.0,,
Non Current Deferred Revenue,2052000000.0,1284000000.0,1207000000.0,990873000.0
Non Current Accrued Expenses,1398000000.0,989000000.0,745000000.0,547125000.0
Preferred Securities Outside Stock Equity,568000000.0,604000000.0,643000000.0,555964000.0
Other Non Current Liabilities,320000000.0,436000000.0,408000000.0,636409000.0
Total Equity Gross Minority Interest,31583000000.0,23679000000.0,8110000000.0,6313604000.0
Stockholders Equity,30189000000.0,22225000000.0,6618000000.0,4923243000.0
Capital Stock,1000000.0,1000000.0,0.0,173000.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,1000000.0,1000000.0,0.0,173000.0
Additional Paid In Capital,29803000000.0,27260000000.0,12737000000.0,10249120000.0
Retained Earnings,331000000.0,-5399000000.0,-6083000000.0,-5317832000.0
Gains Losses Not Affecting Retained Earnings,54000000.0,363000000.0,-36000000.0,-8218000.0
Minority Interest,1394000000.0,1454000000.0,1492000000.0,1390361000.0
Total Capitalization,34443000000.0,30738000000.0,17020000000.0,13333733000.0
Common Stock Equity,30189000000.0,22225000000.0,6618000000.0,4923243000.0
Capital Lease Obligations,3531000000.0,3008000000.0,2896000000.0,3194796000.0
Net Tangible Assets,28472000000.0,21705000000.0,6081000000.0,4572592000.0
Working Capital,7395000000.0,12469000000.0,1436000000.0,-1685828000.0
Invested Capital,35531000000.0,32496000000.0,18419000000.0,15555718000.0
Tangible Book Value,28472000000.0,21705000000.0,6081000000.0,4572592000.0
Total Debt,8873000000.0,13279000000.0,14697000000.0,13827271000.0
Net Debt,,,5533000000.0,6946857000.0
Share Issued,3099000000.0,2880000000.0,2715931290.0,2589039420.0
Ordinary Shares Number,3099000000.0,2880000000.0,2715931290.0,2589039420.0
