,2022-03-31,2021-03-31,2020-03-31,2019-03-31
Total Assets,6546219000.0,6028218000.0,4948832000.0,4243065000.0
Current Assets,3871088000.0,4220515000.0,3493351000.0,2827835000.0
Cash Cash Equivalents And Short Term Investments,2552107000.0,2731576000.0,2001667000.0,1571010000.0
Cash And Cash Equivalents,1732047000.0,1422884000.0,1357664000.0,826525000.0
Other Short Term Investments,820060000.0,1308692000.0,644003000.0,744485000.0
Receivables,579433000.0,552762000.0,592555000.0,395729000.0
Accounts Receivable,579433000.0,552762000.0,592555000.0,395729000.0
Gross Accounts Receivable,579783000.0,553112000.0,592998000.0,396724000.0
Allowance For Doubtful Accounts Receivable,-350000.0,-350000.0,-443000.0,-995000.0
Inventory,13224000.0,17742000.0,19108000.0,28200000.0
Raw Materials,1826000.0,801000.0,1124000.0,3353000.0
Finished Goods,11398000.0,16941000.0,17984000.0,24847000.0
Prepaid Assets,272724000.0,320646000.0,273503000.0,186688000.0
Restricted Cash,359832000.0,538822000.0,546604000.0,565461000.0
Current Deferred Assets,12374000.0,15524000.0,19598000.0,51867000.0
Other Current Assets,81394000.0,43443000.0,40316000.0,28880000.0
Total Non Current Assets,2675131000.0,1807703000.0,1455481000.0,1415230000.0
Net PPE,459245000.0,314127000.0,286172000.0,127882000.0
Gross PPE,723350000.0,551272000.0,484374000.0,297512000.0
Properties,0.0,0.0,0.0,0.0
Buildings And Improvements,66075000.0,857000.0,,
Machinery Furniture Equipment,282079000.0,250502000.0,217033000.0,198419000.0
Other Properties,217206000.0,164763000.0,154284000.0,
Leases,157990000.0,135150000.0,113057000.0,99093000.0
Accumulated Depreciation,-264105000.0,-237145000.0,-198202000.0,-169630000.0
Goodwill And Other Intangible Assets,1696917000.0,1147789000.0,839532000.0,1058268000.0
Goodwill,674554000.0,535306000.0,386494000.0,381717000.0
Other Intangible Assets,1022363000.0,612483000.0,453038000.0,676551000.0
Non Current Deferred Assets,73801000.0,90206000.0,116676000.0,135760000.0
Non Current Deferred Taxes Assets,73801000.0,90206000.0,116676000.0,134732000.0
Other Non Current Assets,445168000.0,255581000.0,213101000.0,93320000.0
Total Liabilities Net Minority Interest,2736560000.0,2696326000.0,2409588000.0,2202485000.0
Current Liabilities,2104964000.0,2234715000.0,2038539000.0,1951794000.0
Payables And Accrued Expenses,905076000.0,1056281000.0,1064377000.0,950462000.0
Payables,125882000.0,71001000.0,65684000.0,72797000.0
Accounts Payable,125882000.0,71001000.0,65684000.0,72797000.0
Current Accrued Expenses,779194000.0,985280000.0,998693000.0,877665000.0
Pensionand Other Post Retirement Benefit Plans Current,133983000.0,122404000.0,81791000.0,73695000.0
Current Debt And Capital Lease Obligation,38921000.0,31595000.0,25187000.0,
Current Capital Lease Obligation,38921000.0,31595000.0,25187000.0,
Current Deferred Liabilities,943823000.0,928029000.0,777784000.0,843302000.0
Current Deferred Revenue,865270000.0,928029000.0,777784000.0,843302000.0
Other Current Liabilities,83161000.0,96406000.0,89400000.0,84335000.0
Total Non Current Liabilities Net Minority Interest,631596000.0,461611000.0,371049000.0,250691000.0
Long Term Debt And Capital Lease Obligation,211297000.0,159671000.0,152059000.0,
Long Term Capital Lease Obligation,211297000.0,159671000.0,152059000.0,
Non Current Deferred Liabilities,70911000.0,37302000.0,28339000.0,21058000.0
Non Current Deferred Revenue,70911000.0,37302000.0,28339000.0,21058000.0
Other Non Current Liabilities,349388000.0,264638000.0,190651000.0,229633000.0
Total Equity Gross Minority Interest,3809659000.0,3331892000.0,2539244000.0,2040580000.0
Stockholders Equity,3809659000.0,3331892000.0,2539244000.0,2040580000.0
Capital Stock,1390000.0,1376000.0,1359000.0,1346000.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,1390000.0,1376000.0,1359000.0,1346000.0
Additional Paid In Capital,2597205000.0,2288781000.0,2134748000.0,2019369000.0
Retained Earnings,2288993000.0,1870971000.0,1282085000.0,877626000.0
Treasury Stock,1020584000.0,820572000.0,820572000.0,820572000.0
Gains Losses Not Affecting Retained Earnings,-57345000.0,-8664000.0,-58376000.0,-37189000.0
Total Capitalization,3809659000.0,3331892000.0,2539244000.0,2040580000.0
Common Stock Equity,3809659000.0,3331892000.0,2539244000.0,2040580000.0
Capital Lease Obligations,250218000.0,191266000.0,177246000.0,
Net Tangible Assets,2112742000.0,2184103000.0,1699712000.0,982312000.0
Working Capital,1766124000.0,1985800000.0,1454812000.0,876041000.0
Invested Capital,3809659000.0,3331892000.0,2539244000.0,2040580000.0
Tangible Book Value,2112742000.0,2184103000.0,1699712000.0,982312000.0
Total Debt,250218000.0,191266000.0,177246000.0,
Share Issued,139048000.0,137584000.0,135927000.0,134602000.0
Ordinary Shares Number,115367000.0,115163000.0,113506000.0,112181000.0
Treasury Shares Number,23681000.0,22421000.0,22421000.0,22421000.0
