,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,212206000000.0,197289000000.0,173889000000.0,152221000000.0
Current Assets,61758000000.0,53718000000.0,42634000000.0,38692000000.0
Cash Cash Equivalents And Short Term Investments,23907000000.0,19781000000.0,14245000000.0,14324000000.0
Cash And Cash Equivalents,21375000000.0,16921000000.0,10985000000.0,10866000000.0
Other Short Term Investments,2532000000.0,2860000000.0,3260000000.0,3458000000.0
Receivables,28082000000.0,12870000000.0,11822000000.0,18250000000.0
Accounts Receivable,14216000000.0,12870000000.0,11822000000.0,11388000000.0
Gross Accounts Receivable,15170000000.0,12969000000.0,12341000000.0,12100000000.0
Allowance For Doubtful Accounts Receivable,-954000000.0,-99000000.0,-519000000.0,-712000000.0
Other Receivables,13866000000.0,,,6862000000.0
Receivables Adjustments Allowances,,,,-502000000.0
Prepaid Assets,5320000000.0,4457000000.0,3851000000.0,3086000000.0
Other Current Assets,4449000000.0,16610000000.0,12716000000.0,3032000000.0
Total Non Current Assets,150448000000.0,143571000000.0,131255000000.0,113529000000.0
Net PPE,8969000000.0,8626000000.0,8704000000.0,8458000000.0
Gross PPE,14961000000.0,13856000000.0,13699000000.0,12599000000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,502000000.0,533000000.0,589000000.0,566000000.0
Buildings And Improvements,4882000000.0,4759000000.0,4705000000.0,4470000000.0
Machinery Furniture Equipment,9577000000.0,8564000000.0,8405000000.0,7563000000.0
Accumulated Depreciation,-5992000000.0,-5230000000.0,-4995000000.0,-4141000000.0
Goodwill And Other Intangible Assets,85839000000.0,82193000000.0,76008000000.0,68235000000.0
Goodwill,75795000000.0,71337000000.0,65659000000.0,58910000000.0
Other Intangible Assets,10044000000.0,10856000000.0,10349000000.0,9325000000.0
Investments And Advances,43114000000.0,41242000000.0,37209000000.0,32510000000.0
Other Non Current Assets,12526000000.0,11510000000.0,9334000000.0,4326000000.0
Total Liabilities Net Minority Interest,135727000000.0,126750000000.0,111727000000.0,95994000000.0
Current Liabilities,78292000000.0,72420000000.0,61782000000.0,53209000000.0
Payables And Accrued Expenses,49126000000.0,44367000000.0,40695000000.0,36596000000.0
Payables,49126000000.0,44367000000.0,40695000000.0,36596000000.0
Accounts Payable,49126000000.0,44367000000.0,40695000000.0,36596000000.0
Current Debt And Capital Lease Obligation,3620000000.0,4819000000.0,3870000000.0,1973000000.0
Current Debt,3620000000.0,4819000000.0,3870000000.0,1973000000.0
Current Deferred Liabilities,2571000000.0,2842000000.0,2622000000.0,2396000000.0
Current Deferred Revenue,2571000000.0,2842000000.0,2622000000.0,2396000000.0
Other Current Liabilities,22975000000.0,20392000000.0,14595000000.0,12244000000.0
Total Non Current Liabilities Net Minority Interest,57435000000.0,54330000000.0,49945000000.0,42785000000.0
Long Term Debt And Capital Lease Obligation,42383000000.0,38648000000.0,36808000000.0,34581000000.0
Long Term Debt,42383000000.0,38648000000.0,36808000000.0,34581000000.0
Non Current Deferred Liabilities,3265000000.0,3367000000.0,2993000000.0,2474000000.0
Non Current Deferred Taxes Liabilities,3265000000.0,3367000000.0,2993000000.0,2474000000.0
Preferred Securities Outside Stock Equity,1434000000.0,2211000000.0,1726000000.0,1908000000.0
Other Non Current Liabilities,11787000000.0,12315000000.0,10144000000.0,5730000000.0
Total Equity Gross Minority Interest,76479000000.0,70539000000.0,62162000000.0,56227000000.0
Stockholders Equity,71760000000.0,65491000000.0,57616000000.0,51696000000.0
Capital Stock,10000000.0,10000000.0,9000000.0,10000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,10000000.0,10000000.0,9000000.0,10000000.0
Additional Paid In Capital,0.0,0.0,7000000.0,0.0
Retained Earnings,77134000000.0,69295000000.0,61178000000.0,55846000000.0
Gains Losses Not Affecting Retained Earnings,-5384000000.0,-3814000000.0,-3578000000.0,-4160000000.0
Minority Interest,4719000000.0,5048000000.0,4546000000.0,4531000000.0
Total Capitalization,114143000000.0,104139000000.0,94424000000.0,86277000000.0
Common Stock Equity,71760000000.0,65491000000.0,57616000000.0,51696000000.0
Net Tangible Assets,-14079000000.0,-16702000000.0,-18392000000.0,-16539000000.0
Working Capital,-16534000000.0,-18702000000.0,-19148000000.0,-14517000000.0
Invested Capital,117763000000.0,108958000000.0,98294000000.0,88250000000.0
Tangible Book Value,-14079000000.0,-16702000000.0,-18392000000.0,-16539000000.0
Total Debt,46003000000.0,43467000000.0,40678000000.0,36554000000.0
Net Debt,24628000000.0,26546000000.0,29693000000.0,25688000000.0
Share Issued,941000000.0,946000000.0,948000000.0,960000000.0
Ordinary Shares Number,941000000.0,946000000.0,948000000.0,960000000.0
