,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,17597373000.0,17063613000.0,13265619000.0,11333368000.0
Current Assets,3894253000.0,3500892000.0,1166245000.0,1119324000.0
Cash Cash Equivalents And Short Term Investments,739614000.0,335966000.0,1161367000.0,1098760000.0
Cash And Cash Equivalents,739614000.0,315993000.0,1101893000.0,577883000.0
Other Short Term Investments,0.0,19973000.0,59474000.0,520877000.0
Receivables,3150979000.0,3162216000.0,1626000.0,
Loans Receivable,498002000.0,536721000.0,,
Accrued Interest Receivable,2780000.0,2746000.0,1626000.0,
Other Receivables,2650197000.0,2622749000.0,1626000.0,
Prepaid Assets,3660000.0,2710000.0,3252000.0,
Restricted Cash,,,0.0,20564000.0
Total Non Current Assets,13703120000.0,13562721000.0,12099374000.0,10214044000.0
Net PPE,359296000.0,364193000.0,96832000.0,71513000.0
Gross PPE,373925000.0,375821000.0,105100000.0,75950000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,59250000.0,59115000.0,59346000.0,58573000.0
Buildings And Improvements,14880000.0,14697000.0,14805000.0,14572000.0
Machinery Furniture Equipment,9014000.0,7020000.0,4523000.0,2805000.0
Other Properties,290781000.0,294989000.0,26426000.0,10002705000.0
Accumulated Depreciation,-14629000.0,-11628000.0,-8268000.0,-4437000.0
Investment Properties,13290240000.0,13185834000.0,11915614000.0,10098494000.0
Financial Assets,884000.0,,,
Non Current Accounts Receivable,,2618562000.0,60111000.0,
Non Current Note Receivables,,536721000.0,,
Non Current Deferred Assets,49618000.0,10667000.0,25709000.0,
Other Non Current Assets,3082000.0,2027000.0,1108000.0,44037000.0
Total Liabilities Net Minority Interest,5410199000.0,7569868000.0,5216630000.0,4432346000.0
Current Liabilities,339839000.0,324325000.0,249212000.0,206084000.0
Payables And Accrued Expenses,339839000.0,230666000.0,178872000.0,162479000.0
Payables,226309000.0,177726000.0,137696000.0,117344000.0
Accounts Payable,,734000.0,640000.0,1057000.0
Dividends Payable,226309000.0,176992000.0,137056000.0,116287000.0
Current Accrued Expenses,113530000.0,52940000.0,41176000.0,45135000.0
Interest Payable,,46422000.0,20153000.0,14184000.0
Line Of Credit,0.0,,0.0,
Current Deferred Liabilities,,93659000.0,70340000.0,43605000.0
Current Deferred Revenue,,93659000.0,70340000.0,43605000.0
Total Non Current Liabilities Net Minority Interest,5070360000.0,7245543000.0,4967418000.0,4226262000.0
Long Term Provisions,1037000.0,,,
Long Term Debt And Capital Lease Obligation,4991844000.0,7067415000.0,4817989000.0,4122264000.0
Long Term Debt,4694523000.0,6765532000.0,4791563000.0,4122264000.0
Long Term Capital Lease Obligation,297321000.0,301883000.0,26426000.0,
Non Current Deferred Liabilities,77479000.0,77133000.0,76982000.0,76940000.0
Non Current Deferred Taxes Liabilities,3879000.0,3533000.0,3382000.0,3340000.0
Non Current Deferred Revenue,,93659000.0,70340000.0,43605000.0
Non Current Accrued Expenses,,8474000.0,7369000.0,4934000.0
Employee Benefits,,8474000.0,7369000.0,4934000.0
Derivative Product Liabilities,0.0,92521000.0,65078000.0,22124000.0
Other Non Current Liabilities,1037000.0,413663000.0,123918000.0,62406000.0
Total Equity Gross Minority Interest,12187174000.0,9493745000.0,8048989000.0,6901022000.0
Stockholders Equity,12108268000.0,9415839000.0,7965183000.0,6817449000.0
Capital Stock,6289000.0,5367000.0,4610000.0,4047000.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,6289000.0,5367000.0,4610000.0,4047000.0
Additional Paid In Capital,11755069000.0,9363539000.0,7817582000.0,6648430000.0
Retained Earnings,346026000.0,139454000.0,208069000.0,187096000.0
Gains Losses Not Affecting Retained Earnings,884000.0,-92521000.0,-65078000.0,-22124000.0
Minority Interest,78906000.0,77906000.0,83806000.0,83573000.0
Total Capitalization,16802791000.0,16181371000.0,12756746000.0,10939713000.0
Common Stock Equity,12108268000.0,9415839000.0,7965183000.0,6817449000.0
Capital Lease Obligations,297321000.0,301883000.0,26426000.0,
Net Tangible Assets,12108268000.0,9415839000.0,7965183000.0,6817449000.0
Working Capital,3554414000.0,3176567000.0,917033000.0,913240000.0
Invested Capital,16802791000.0,16181371000.0,12756746000.0,10939713000.0
Tangible Book Value,12108268000.0,9415839000.0,7965183000.0,6817449000.0
Total Debt,4991844000.0,7067415000.0,4817989000.0,4122264000.0
Net Debt,3954909000.0,6449539000.0,3689670000.0,3544381000.0
Share Issued,628942092.0,536669722.0,461004742.0,404729616.0
Ordinary Shares Number,628942092.0,536669722.0,461004742.0,404729616.0
