,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,13682600000.0,11686905000.0,10648793000.0,9832130000.0
Current Assets,1696600000.0,2277165000.0,1379326000.0,1079145000.0
Cash Cash Equivalents And Short Term Investments,235000000.0,1197068000.0,271589000.0,40037000.0
Cash And Cash Equivalents,235000000.0,1197068000.0,271589000.0,40037000.0
Receivables,838700000.0,556297000.0,570116000.0,540778000.0
Accounts Receivable,783200000.0,512945000.0,532012000.0,512279000.0
Gross Accounts Receivable,793500000.0,515496000.0,535137000.0,514369000.0
Allowance For Doubtful Accounts Receivable,-10300000.0,-2551000.0,-3125000.0,-2090000.0
Other Receivables,55500000.0,43352000.0,38104000.0,28499000.0
Inventory,521300000.0,448585000.0,458308000.0,429330000.0
Raw Materials,99100000.0,65641000.0,61038000.0,53662000.0
Work In Process,4200000.0,4555000.0,5604000.0,3064000.0
Finished Goods,418000000.0,378389000.0,391666000.0,372604000.0
Restricted Cash,6500000.0,945000.0,2917000.0,4367000.0
Other Current Assets,95100000.0,74270000.0,76396000.0,64633000.0
Total Non Current Assets,11986000000.0,9409740000.0,9269467000.0,8752985000.0
Net PPE,6238200000.0,4849127000.0,4724227000.0,4237307000.0
Gross PPE,11215500000.0,9584599000.0,9190874000.0,8457619000.0
Land And Improvements,3631700000.0,3013327000.0,2920963000.0,2823092000.0
Buildings And Improvements,182900000.0,145418000.0,141898000.0,139948000.0
Machinery Furniture Equipment,6109200000.0,5517897000.0,5362279000.0,5106918000.0
Other Properties,989900000.0,731052000.0,609140000.0,183324000.0
Construction In Progress,301800000.0,176905000.0,154917000.0,186120000.0
Leases,,,1677000.0,18217000.0
Accumulated Depreciation,-4977300000.0,-4735472000.0,-4466647000.0,-4220312000.0
Goodwill And Other Intangible Assets,5445700000.0,4295656000.0,4258536000.0,4260774000.0
Goodwill,3696700000.0,3172112000.0,3167061000.0,3165396000.0
Other Intangible Assets,1749000000.0,1123544000.0,1091475000.0,1095378000.0
Investments And Advances,34100000.0,34301000.0,60709000.0,44615000.0
Other Non Current Assets,268000000.0,230656000.0,225995000.0,210289000.0
Total Liabilities Net Minority Interest,7114900000.0,5659575000.0,5026936000.0,4629227000.0
Current Liabilities,769300000.0,1047883000.0,535563000.0,602550000.0
Payables And Accrued Expenses,505600000.0,384669000.0,381554000.0,328064000.0
Payables,365500000.0,273080000.0,265159000.0,216473000.0
Accounts Payable,365500000.0,273080000.0,265159000.0,216473000.0
Current Accrued Expenses,140100000.0,111589000.0,116395000.0,111591000.0
Interest Payable,19600000.0,19943000.0,19167000.0,19631000.0
Current Debt And Capital Lease Obligation,5200000.0,515435000.0,25000.0,133023000.0
Current Debt,5200000.0,515435000.0,25000.0,133023000.0
Line Of Credit,,,0.0,133000000.0
Other Current Borrowings,,515435000.0,25000.0,23000.0
Other Current Liabilities,258500000.0,147779000.0,153984000.0,141463000.0
Total Non Current Liabilities Net Minority Interest,6345600000.0,4611692000.0,4491373000.0,4026677000.0
Long Term Provisions,315200000.0,283163000.0,210323000.0,225726000.0
Long Term Debt And Capital Lease Obligation,4517300000.0,3171822000.0,3172357000.0,2779357000.0
Long Term Debt,3874800000.0,2772240000.0,2784315000.0,2779357000.0
Long Term Capital Lease Obligation,642500000.0,399582000.0,388042000.0,
Non Current Deferred Liabilities,1173000000.0,906882000.0,835775000.0,770284000.0
Non Current Deferred Taxes Liabilities,1005900000.0,706050000.0,633039000.0,567283000.0
Non Current Deferred Revenue,167100000.0,174045000.0,179880000.0,186397000.0
Employee Benefits,106300000.0,136607000.0,178211000.0,154861000.0
Non Current Pension And Other Postretirement Benefit Plans,106300000.0,136607000.0,178211000.0,154861000.0
Other Non Current Liabilities,233800000.0,113218000.0,94707000.0,96449000.0
Total Equity Gross Minority Interest,6567700000.0,6027330000.0,5621857000.0,5202903000.0
Stockholders Equity,6545000000.0,6027330000.0,5621857000.0,5202903000.0
Capital Stock,132700000.0,132516000.0,132371000.0,131762000.0
Common Stock,132700000.0,132516000.0,132371000.0,131762000.0
Additional Paid In Capital,2816500000.0,2802012000.0,2791353000.0,2798486000.0
Retained Earnings,3748500000.0,3274107000.0,2895871000.0,2444870000.0
Gains Losses Not Affecting Retained Earnings,-152700000.0,-181305000.0,-197738000.0,-172215000.0
Minority Interest,22700000.0,,,
Total Capitalization,10419800000.0,8799570000.0,8406172000.0,7982260000.0
Common Stock Equity,6545000000.0,6027330000.0,5621857000.0,5202903000.0
Capital Lease Obligations,642500000.0,399582000.0,388042000.0,
Net Tangible Assets,1099300000.0,1731674000.0,1363321000.0,942129000.0
Working Capital,927300000.0,1229282000.0,843763000.0,476595000.0
Invested Capital,10425000000.0,9315005000.0,8406197000.0,8115283000.0
Tangible Book Value,1099300000.0,1731674000.0,1363321000.0,942129000.0
Total Debt,4522500000.0,3687257000.0,3172382000.0,2912380000.0
Net Debt,3645000000.0,2090607000.0,2512751000.0,2872343000.0
Share Issued,132700000.0,132516000.0,132371000.0,131762000.0
Ordinary Shares Number,132700000.0,132516000.0,132371000.0,131762000.0
