,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,1983764000.0,1766910000.0,1854009000.0,1914504000.0
Current Assets,1268735000.0,1217940000.0,1278589000.0,1317034000.0
Cash Cash Equivalents And Short Term Investments,1205805000.0,1166907000.0,1218059000.0,1269669000.0
Cash And Cash Equivalents,223487000.0,401194000.0,508196000.0,357415000.0
Other Short Term Investments,982318000.0,765713000.0,709863000.0,912254000.0
Receivables,12953000.0,8214000.0,17356000.0,10480000.0
Accounts Receivable,5284000.0,4642000.0,1524000.0,6029000.0
Taxes Receivable,7669000.0,3572000.0,1111000.0,4451000.0
Other Receivables,,,14721000.0,
Prepaid Assets,48996000.0,40574000.0,41535000.0,34805000.0
Other Current Assets,981000.0,2245000.0,1639000.0,2080000.0
Total Non Current Assets,715029000.0,548970000.0,575420000.0,597470000.0
Net PPE,259641000.0,256848000.0,259416000.0,253905000.0
Gross PPE,709404000.0,722902000.0,776070000.0,751168000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,31141000.0,31141000.0,31141000.0,31141000.0
Buildings And Improvements,254549000.0,250431000.0,248885000.0,247870000.0
Machinery Furniture Equipment,410732000.0,424265000.0,478674000.0,468741000.0
Other Properties,8418000.0,11277000.0,9133000.0,253905000.0
Construction In Progress,3088000.0,4330000.0,6779000.0,2013000.0
Leases,1476000.0,1458000.0,1458000.0,1403000.0
Accumulated Depreciation,-449763000.0,-466054000.0,-516654000.0,-497263000.0
Goodwill And Other Intangible Assets,197527000.0,197527000.0,197527000.0,197527000.0
Goodwill,52527000.0,52527000.0,52527000.0,52527000.0
Other Intangible Assets,145000000.0,145000000.0,145000000.0,145000000.0
Non Current Accounts Receivable,,969000.0,6927000.0,5673000.0
Non Current Deferred Assets,230719000.0,67914000.0,87798000.0,104992000.0
Non Current Deferred Taxes Assets,230719000.0,67914000.0,87798000.0,104992000.0
Non Current Prepaid Assets,19669000.0,16305000.0,7753000.0,22500000.0
Other Non Current Assets,7473000.0,9407000.0,15999000.0,12873000.0
Total Liabilities Net Minority Interest,3244283000.0,3157108000.0,3344109000.0,3299978000.0
Current Liabilities,1073991000.0,988693000.0,965166000.0,947590000.0
Payables And Accrued Expenses,90752000.0,100415000.0,107315000.0,103437000.0
Payables,49087000.0,52090000.0,60093000.0,39281000.0
Accounts Payable,8997000.0,12340000.0,16238000.0,20320000.0
Total Tax Payable,26793000.0,27194000.0,30308000.0,18961000.0
Other Payable,13297000.0,12556000.0,13547000.0,
Current Accrued Expenses,41665000.0,48325000.0,47222000.0,64156000.0
Interest Payable,19500000.0,24408000.0,24318000.0,24318000.0
Pensionand Other Post Retirement Benefit Plans Current,58499000.0,54596000.0,49869000.0,54746000.0
Current Deferred Liabilities,924740000.0,833682000.0,807982000.0,789407000.0
Current Deferred Revenue,924740000.0,833682000.0,807982000.0,789407000.0
Total Non Current Liabilities Net Minority Interest,2170292000.0,2168415000.0,2378943000.0,2352388000.0
Long Term Debt And Capital Lease Obligation,1788194000.0,1795242000.0,1792129000.0,1785047000.0
Long Term Debt,1785709000.0,1790083000.0,1787565000.0,1785047000.0
Long Term Capital Lease Obligation,2485000.0,5159000.0,4564000.0,
Non Current Deferred Liabilities,305950000.0,282838000.0,278702000.0,285854000.0
Non Current Deferred Taxes Liabilities,,90335000.0,308112000.0,134000.0
Non Current Deferred Revenue,305950000.0,282838000.0,278702000.0,285720000.0
Tradeand Other Payables Non Current,76148000.0,90335000.0,308112000.0,281487000.0
Total Equity Gross Minority Interest,-1260519000.0,-1390198000.0,-1490100000.0,-1385474000.0
Stockholders Equity,-1260519000.0,-1390198000.0,-1490100000.0,-1385474000.0
Capital Stock,13620038000.0,14275160000.0,353000.0,352000.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,13620038000.0,14275160000.0,353000.0,352000.0
Additional Paid In Capital,,,14989658000.0,15706774000.0
Retained Earnings,-14877772000.0,-15662602000.0,-16477490000.0,-17089789000.0
Gains Losses Not Affecting Retained Earnings,-2785000.0,-2756000.0,-2621000.0,-2811000.0
Total Capitalization,525190000.0,399885000.0,297465000.0,399573000.0
Common Stock Equity,-1260519000.0,-1390198000.0,-1490100000.0,-1385474000.0
Capital Lease Obligations,2485000.0,5159000.0,4564000.0,
Net Tangible Assets,-1458046000.0,-1587725000.0,-1687627000.0,-1583001000.0
Working Capital,194744000.0,229247000.0,313423000.0,369444000.0
Invested Capital,525190000.0,399885000.0,297465000.0,399573000.0
Tangible Book Value,-1458046000.0,-1587725000.0,-1687627000.0,-1583001000.0
Total Debt,1788194000.0,1795242000.0,1792129000.0,1785047000.0
Net Debt,1562222000.0,1388889000.0,1279369000.0,1427632000.0
Share Issued,354199000.0,353789000.0,353157000.0,352325000.0
Ordinary Shares Number,110519000.0,113470000.0,116715000.0,120037000.0
Treasury Shares Number,243680000.0,240319000.0,236442000.0,232288000.0
