,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Total Assets,26259000000.0,26132000000.0,25662000000.0,26370000000.0
Current Assets,9453000000.0,9757000000.0,9048000000.0,8477000000.0
Cash Cash Equivalents And Short Term Investments,2327000000.0,3370000000.0,3048000000.0,3455000000.0
Cash And Cash Equivalents,2327000000.0,3370000000.0,3048000000.0,3455000000.0
Receivables,2804000000.0,2257000000.0,2379000000.0,1204000000.0
Accounts Receivable,2804000000.0,2257000000.0,2379000000.0,1204000000.0
Inventory,3638000000.0,3616000000.0,3070000000.0,3283000000.0
Raw Materials,1603000000.0,1623000000.0,1306000000.0,1142000000.0
Work In Process,1162000000.0,1088000000.0,956000000.0,968000000.0
Finished Goods,873000000.0,905000000.0,808000000.0,1173000000.0
Other Current Assets,684000000.0,514000000.0,551000000.0,535000000.0
Total Non Current Assets,16806000000.0,16375000000.0,16614000000.0,17893000000.0
Net PPE,3670000000.0,3188000000.0,2854000000.0,2843000000.0
Gross PPE,11970000000.0,10959000000.0,10300000000.0,10003000000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,269000000.0,278000000.0,294000000.0,294000000.0
Buildings And Improvements,1920000000.0,1854000000.0,1837000000.0,1743000000.0
Machinery Furniture Equipment,9190000000.0,8351000000.0,7872000000.0,7764000000.0
Construction In Progress,591000000.0,476000000.0,297000000.0,202000000.0
Accumulated Depreciation,-8300000000.0,-7771000000.0,-7446000000.0,-7160000000.0
Goodwill And Other Intangible Assets,10254000000.0,10508000000.0,11008000000.0,11787000000.0
Goodwill,10041000000.0,10066000000.0,10067000000.0,10076000000.0
Other Intangible Assets,213000000.0,442000000.0,941000000.0,1711000000.0
Non Current Note Receivables,1396000000.0,1586000000.0,1875000000.0,2791000000.0
Other Non Current Assets,1486000000.0,1093000000.0,877000000.0,472000000.0
Total Liabilities Net Minority Interest,14038000000.0,15411000000.0,16111000000.0,16403000000.0
Current Liabilities,5237000000.0,4870000000.0,4406000000.0,3817000000.0
Payables And Accrued Expenses,4727000000.0,3985000000.0,3648000000.0,3194000000.0
Payables,3091000000.0,2332000000.0,2352000000.0,1898000000.0
Accounts Payable,2222000000.0,2332000000.0,2352000000.0,1898000000.0
Total Tax Payable,869000000.0,,,
Income Tax Payable,869000000.0,,,
Current Accrued Expenses,1636000000.0,1653000000.0,1296000000.0,1296000000.0
Pensionand Other Post Retirement Benefit Plans Current,510000000.0,634000000.0,472000000.0,347000000.0
Current Debt And Capital Lease Obligation,,251000000.0,286000000.0,276000000.0
Current Debt,,251000000.0,286000000.0,276000000.0
Total Non Current Liabilities Net Minority Interest,8801000000.0,10541000000.0,11705000000.0,12586000000.0
Long Term Debt And Capital Lease Obligation,7022000000.0,8474000000.0,9289000000.0,10246000000.0
Long Term Debt,7022000000.0,8474000000.0,9289000000.0,10246000000.0
Tradeand Other Payables Non Current,1136000000.0,1434000000.0,1535000000.0,1627000000.0
Other Non Current Liabilities,643000000.0,633000000.0,881000000.0,713000000.0
Total Equity Gross Minority Interest,12221000000.0,10721000000.0,9551000000.0,9967000000.0
Stockholders Equity,12221000000.0,10721000000.0,9551000000.0,9967000000.0
Capital Stock,3000000.0,3000000.0,3000000.0,3000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,3000000.0,3000000.0,3000000.0,3000000.0
Additional Paid In Capital,3733000000.0,3608000000.0,3717000000.0,3851000000.0
Retained Earnings,9039000000.0,7539000000.0,6725000000.0,7449000000.0
Treasury Stock,0.0,232000000.0,737000000.0,1268000000.0
Gains Losses Not Affecting Retained Earnings,-554000000.0,-197000000.0,-157000000.0,-68000000.0
Total Capitalization,19243000000.0,19195000000.0,18840000000.0,20213000000.0
Common Stock Equity,12221000000.0,10721000000.0,9551000000.0,9967000000.0
Net Tangible Assets,1967000000.0,213000000.0,-1457000000.0,-1820000000.0
Working Capital,4216000000.0,4887000000.0,4642000000.0,4660000000.0
Invested Capital,19243000000.0,19446000000.0,19126000000.0,20489000000.0
Tangible Book Value,1967000000.0,213000000.0,-1457000000.0,-1820000000.0
Total Debt,7022000000.0,8725000000.0,9575000000.0,10522000000.0
Net Debt,4695000000.0,5355000000.0,6527000000.0,7067000000.0
Share Issued,315000000.0,312000000.0,312000000.0,312000000.0
Ordinary Shares Number,315000000.0,308000000.0,302000000.0,295000000.0
Treasury Shares Number,0.0,4000000.0,10000000.0,17000000.0
