,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,32086414000.0,28606913000.0,26643428000.0,24895977000.0
Cash Cash Equivalents And Short Term Investments,2510086000.0,2998033000.0,1504330000.0,1096608000.0
Cash And Cash Equivalents,1568843000.0,2372366000.0,1023710000.0,817602000.0
Other Short Term Investments,941243000.0,625667000.0,480620000.0,279006000.0
Receivables,5469568000.0,5122921000.0,4567810000.0,4087984000.0
Accounts Receivable,5445998000.0,4592301000.0,4130869000.0,3740053000.0
Loans Receivable,115172000.0,84913000.0,91799000.0,94813000.0
Taxes Receivable,23570000.0,5893000.0,13398000.0,703000.0
Other Receivables,,524727000.0,423543000.0,347228000.0
Prepaid Assets,676915000.0,648376000.0,567595000.0,498880000.0
Net PPE,419883000.0,405930000.0,422091000.0,416372000.0
Goodwill And Other Intangible Assets,169652000.0,169652000.0,169652000.0,173037000.0
Goodwill,169652000.0,169652000.0,169652000.0,173037000.0
Investments And Advances,18723522000.0,15126509000.0,15062390000.0,14338366000.0
Total Liabilities Net Minority Interest,25418684000.0,22281116000.0,20525086000.0,19416179000.0
Payables And Accrued Expenses,589684000.0,467406000.0,360314000.0,256917000.0
Payables,589684000.0,467406000.0,360314000.0,256917000.0
Accounts Payable,514980000.0,426124000.0,360314000.0,256917000.0
Total Tax Payable,21068000.0,41282000.0,,0.0
Income Tax Payable,21068000.0,41282000.0,,0.0
Other Payable,53636000.0,,,
Long Term Debt And Capital Lease Obligation,3267068000.0,2725334000.0,2626279000.0,2789519000.0
Long Term Debt,3267068000.0,2725334000.0,2626279000.0,2789519000.0
Non Current Deferred Liabilities,17470000.0,42161000.0,17706000.0,
Non Current Deferred Taxes Liabilities,17470000.0,42161000.0,17706000.0,
Total Equity Gross Minority Interest,6667730000.0,6325797000.0,6118342000.0,5479798000.0
Stockholders Equity,6653011000.0,6310802000.0,6074939000.0,5437851000.0
Capital Stock,70535000.0,70535000.0,70535000.0,47024000.0
Preferred Stock,,0.0,0.0,0.0
Common Stock,70535000.0,70535000.0,70535000.0,47024000.0
Additional Paid In Capital,1016372000.0,1012483000.0,1056042000.0,1063144000.0
Retained Earnings,9015135000.0,8348381000.0,7932372000.0,7558619000.0
Treasury Stock,3167076000.0,3058425000.0,2726711000.0,2720466000.0
Gains Losses Not Affecting Retained Earnings,-281955000.0,-62172000.0,-257299000.0,-510470000.0
Minority Interest,14719000.0,14995000.0,43403000.0,41947000.0
Total Capitalization,9920079000.0,9036136000.0,8701218000.0,8227370000.0
Common Stock Equity,6653011000.0,6310802000.0,6074939000.0,5437851000.0
Net Tangible Assets,6483359000.0,6141150000.0,5905287000.0,5264814000.0
Invested Capital,9920079000.0,9036136000.0,8701218000.0,8227370000.0
Tangible Book Value,6483359000.0,6141150000.0,5905287000.0,5264814000.0
Total Debt,3267068000.0,2725334000.0,2626279000.0,2789519000.0
Net Debt,1698225000.0,352968000.0,1602569000.0,1971917000.0
Share Issued,529014750.0,529014750.0,529015145.0,529015315.0
Ordinary Shares Number,265170882.0,266737725.0,275117860.0,274490460.0
Treasury Shares Number,263843868.0,262277025.0,253897285.0,254524855.0
