,2022-09-30,2021-09-30,2020-09-30,2019-09-30
Total Assets,28405500000.0,29254300000.0,28779700000.0,30156700000.0
Current Assets,5985400000.0,5659600000.0,4944700000.0,4974300000.0
Cash Cash Equivalents And Short Term Investments,260200000.0,290900000.0,251100000.0,151600000.0
Cash And Cash Equivalents,260200000.0,290900000.0,251100000.0,151600000.0
Receivables,2683900000.0,2586900000.0,2142700000.0,2193200000.0
Accounts Receivable,2683900000.0,2586900000.0,2142700000.0,2193200000.0
Gross Accounts Receivable,2750200000.0,2655000000.0,2209000000.0,2246400000.0
Allowance For Doubtful Accounts Receivable,-66300000.0,-68100000.0,-66300000.0,-53200000.0
Inventory,2317100000.0,2173300000.0,2023400000.0,2107500000.0
Raw Materials,1665500000.0,1424500000.0,1273000000.0,1298500000.0
Finished Goods,1102400000.0,972700000.0,844200000.0,938900000.0
Inventories Adjustments Allowances,-450800000.0,-223900000.0,-93800000.0,-129900000.0
Assets Held For Sale Current,34400000.0,10900000.0,7000000.0,25800000.0
Other Current Assets,689800000.0,597600000.0,520500000.0,496200000.0
Total Non Current Assets,22420100000.0,23594700000.0,23835000000.0,25182400000.0
Net PPE,10081400000.0,10570100000.0,10778900000.0,11189500000.0
Gross PPE,19462200000.0,18719100000.0,17915500000.0,17461300000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,2646400000.0,2626000000.0,2524700000.0,2442300000.0
Machinery Furniture Equipment,16616700000.0,15879200000.0,15176400000.0,14774800000.0
Other Properties,95700000.0,120000000.0,110800000.0,144000000.0
Leases,103400000.0,93900000.0,103600000.0,100200000.0
Accumulated Depreciation,-9380800000.0,-8149000000.0,-7136600000.0,-6271800000.0
Goodwill And Other Intangible Assets,8815800000.0,9278000000.0,9629400000.0,11345100000.0
Goodwill,5895200000.0,5959200000.0,5962200000.0,7285600000.0
Other Intangible Assets,2920600000.0,3318800000.0,3667200000.0,4059500000.0
Defined Pension Benefit,440300000.0,674300000.0,368700000.0,224700000.0
Other Non Current Assets,3082600000.0,3072300000.0,3058000000.0,2423100000.0
Total Liabilities Net Minority Interest,16980300000.0,17562600000.0,18130900000.0,18470600000.0
Current Liabilities,3902800000.0,3644100000.0,2928900000.0,3435100000.0
Payables And Accrued Expenses,2252100000.0,2123700000.0,1674200000.0,1831800000.0
Payables,2252100000.0,2123700000.0,1674200000.0,1831800000.0
Accounts Payable,2252100000.0,2123700000.0,1674200000.0,1831800000.0
Pensionand Other Post Retirement Benefit Plans Current,627900000.0,656800000.0,386700000.0,470400000.0
Current Debt And Capital Lease Obligation,212200000.0,168800000.0,222900000.0,561100000.0
Current Debt,212200000.0,168800000.0,222900000.0,561100000.0
Other Current Liabilities,810600000.0,694800000.0,645100000.0,571800000.0
Total Non Current Liabilities Net Minority Interest,13077500000.0,13918500000.0,15202000000.0,15035500000.0
Long Term Debt And Capital Lease Obligation,7575000000.0,8025300000.0,9207700000.0,9502300000.0
Long Term Debt,7575000000.0,8025300000.0,9207700000.0,9502300000.0
Non Current Deferred Liabilities,2761900000.0,2944400000.0,2916900000.0,2878000000.0
Non Current Deferred Taxes Liabilities,2761900000.0,2944400000.0,2916900000.0,2878000000.0
Employee Benefits,294800000.0,388400000.0,450600000.0,456100000.0
Non Current Pension And Other Postretirement Benefit Plans,294800000.0,388400000.0,450600000.0,456100000.0
Preferred Securities Outside Stock Equity,,1700000.0,1300000.0,1900000.0
Other Non Current Liabilities,2445800000.0,2560400000.0,2626800000.0,2199100000.0
Total Equity Gross Minority Interest,11425200000.0,11691700000.0,10648800000.0,11686100000.0
Stockholders Equity,11402000000.0,11670300000.0,10630600000.0,11669900000.0
Capital Stock,2500000.0,2700000.0,2600000.0,2600000.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,2500000.0,2700000.0,2600000.0,2600000.0
Additional Paid In Capital,10639400000.0,11058800000.0,10916300000.0,10739400000.0
Retained Earnings,2214400000.0,1607900000.0,1031600000.0,1997100000.0
Gains Losses Not Affecting Retained Earnings,-1454300000.0,-999100000.0,-1319900000.0,-1069200000.0
Minority Interest,23200000.0,21400000.0,18200000.0,16200000.0
Total Capitalization,18977000000.0,19695600000.0,19838300000.0,21172200000.0
Common Stock Equity,11402000000.0,11670300000.0,10630600000.0,11669900000.0
Net Tangible Assets,2586200000.0,2392300000.0,1001200000.0,324800000.0
Working Capital,2082600000.0,2015500000.0,2015800000.0,1539200000.0
Invested Capital,19189200000.0,19864400000.0,20061200000.0,21733300000.0
Tangible Book Value,2586200000.0,2392300000.0,1001200000.0,324800000.0
Total Debt,7787200000.0,8194100000.0,9430600000.0,10063400000.0
Net Debt,7527000000.0,7903200000.0,9179500000.0,9911800000.0
Share Issued,254400000.0,265000000.0,260400000.0,257800000.0
Ordinary Shares Number,254400000.0,265000000.0,260400000.0,257800000.0
