,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,3313800000.0,2793800000.0,2341400000.0,1978900000.0
Current Assets,1742000000.0,1373700000.0,1058700000.0,894400000.0
Cash Cash Equivalents And Short Term Investments,762600000.0,615500000.0,439100000.0,337400000.0
Cash And Cash Equivalents,762600000.0,615500000.0,439100000.0,337400000.0
Receivables,489000000.0,385300000.0,319300000.0,288200000.0
Accounts Receivable,489000000.0,385300000.0,319300000.0,288200000.0
Gross Accounts Receivable,489400000.0,386400000.0,319800000.0,290200000.0
Allowance For Doubtful Accounts Receivable,-400000.0,-1100000.0,-500000.0,-2000000.0
Inventory,378400000.0,321300000.0,235700000.0,214500000.0
Raw Materials,153800000.0,133500000.0,97400000.0,90400000.0
Work In Process,63500000.0,54900000.0,37400000.0,42200000.0
Finished Goods,161100000.0,132900000.0,100900000.0,81900000.0
Other Current Assets,112000000.0,51600000.0,64600000.0,54300000.0
Total Non Current Assets,1571800000.0,1420100000.0,1282700000.0,1084600000.0
Net PPE,1126800000.0,1011500000.0,909400000.0,822000000.0
Gross PPE,2284300000.0,2103800000.0,1890200000.0,1752700000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,29300000.0,24800000.0,22100000.0,20900000.0
Buildings And Improvements,644800000.0,618100000.0,572900000.0,569100000.0
Machinery Furniture Equipment,1158700000.0,1069300000.0,972600000.0,957800000.0
Other Properties,208800000.0,199500000.0,193900000.0,115800000.0
Construction In Progress,242700000.0,192100000.0,128700000.0,89100000.0
Accumulated Depreciation,-1157500000.0,-1092300000.0,-980800000.0,-930700000.0
Goodwill And Other Intangible Assets,132900000.0,141600000.0,137600000.0,126200000.0
Goodwill,109900000.0,111100000.0,107800000.0,105800000.0
Other Intangible Assets,23000000.0,30500000.0,29800000.0,20400000.0
Investments And Advances,207700000.0,214700000.0,192700000.0,91200000.0
Long Term Equity Investment,207700000.0,214700000.0,192700000.0,91200000.0
Investmentsin Associatesat Cost,207700000.0,214700000.0,192700000.0,91200000.0
Non Current Deferred Assets,48500000.0,16000000.0,14000000.0,24700000.0
Non Current Deferred Taxes Assets,48500000.0,16000000.0,14000000.0,24700000.0
Defined Pension Benefit,16700000.0,12900000.0,4300000.0,
Other Non Current Assets,39200000.0,23400000.0,24700000.0,20500000.0
Total Liabilities Net Minority Interest,978400000.0,939300000.0,768200000.0,582600000.0
Current Liabilities,594100000.0,503400000.0,341600000.0,283700000.0
Payables And Accrued Expenses,446800000.0,390100000.0,273400000.0,242200000.0
Payables,284900000.0,267100000.0,181500000.0,151500000.0
Accounts Payable,232200000.0,213100000.0,156800000.0,130400000.0
Total Tax Payable,39300000.0,41400000.0,12900000.0,9800000.0
Income Tax Payable,26300000.0,26000000.0,6400000.0,9800000.0
Dividends Payable,13400000.0,12600000.0,11800000.0,11300000.0
Current Accrued Expenses,161900000.0,123000000.0,91900000.0,90700000.0
Interest Payable,3200000.0,3300000.0,3300000.0,
Pensionand Other Post Retirement Benefit Plans Current,11200000.0,10700000.0,10100000.0,2300000.0
Current Debt And Capital Lease Obligation,53500000.0,12400000.0,11900000.0,100000.0
Current Debt,44200000.0,2300000.0,2300000.0,100000.0
Other Current Borrowings,44200000.0,2300000.0,2300000.0,100000.0
Current Capital Lease Obligation,9300000.0,10100000.0,9600000.0,
Current Deferred Liabilities,48700000.0,51000000.0,27500000.0,25500000.0
Current Deferred Revenue,48700000.0,51000000.0,27500000.0,25500000.0
Other Current Liabilities,33900000.0,39200000.0,18700000.0,13600000.0
Total Non Current Liabilities Net Minority Interest,384300000.0,435900000.0,426600000.0,298900000.0
Long Term Debt And Capital Lease Obligation,271800000.0,313300000.0,317400000.0,196000000.0
Long Term Debt,208800000.0,252900000.0,255000000.0,196000000.0
Long Term Capital Lease Obligation,63000000.0,60400000.0,62400000.0,
Non Current Deferred Liabilities,33800000.0,33300000.0,15500000.0,13100000.0
Non Current Deferred Taxes Liabilities,4900000.0,10400000.0,15500000.0,13100000.0
Employee Benefits,40500000.0,57500000.0,52500000.0,56200000.0
Non Current Pension And Other Postretirement Benefit Plans,40500000.0,57500000.0,52500000.0,56200000.0
Other Non Current Liabilities,38200000.0,31800000.0,41200000.0,33600000.0
Total Equity Gross Minority Interest,2335400000.0,1854500000.0,1573200000.0,1396300000.0
Stockholders Equity,2335400000.0,1854500000.0,1573200000.0,1396300000.0
Capital Stock,18800000.0,18800000.0,18800000.0,18800000.0
Preferred Stock,0.0,0.0,0.0,0.0
Common Stock,18800000.0,18800000.0,18800000.0,18800000.0
Additional Paid In Capital,249000000.0,267300000.0,272700000.0,282000000.0
Retained Earnings,2456700000.0,1846700000.0,1549400000.0,1353400000.0
Treasury Stock,229500000.0,167700000.0,118100000.0,103700000.0
Gains Losses Not Affecting Retained Earnings,-159600000.0,-110600000.0,-149600000.0,-154200000.0
Total Capitalization,2544200000.0,2107400000.0,1828200000.0,1592300000.0
Common Stock Equity,2335400000.0,1854500000.0,1573200000.0,1396300000.0
Capital Lease Obligations,72300000.0,70500000.0,72000000.0,
Net Tangible Assets,2202500000.0,1712900000.0,1435600000.0,1270100000.0
Working Capital,1147900000.0,870300000.0,717100000.0,610700000.0
Invested Capital,2588400000.0,2109700000.0,1830500000.0,1592400000.0
Tangible Book Value,2202500000.0,1712900000.0,1435600000.0,1270100000.0
Total Debt,325300000.0,325700000.0,329300000.0,196100000.0
Share Issued,75300000.0,75300000.0,75300000.0,75300000.0
Ordinary Shares Number,74200000.0,74000000.0,74100000.0,74100000.0
Treasury Shares Number,1100000.0,1300000.0,1200000.0,1200000.0
