,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,57851000000.0,53957000000.0,50448000000.0,45987000000.0
Current Assets,4239000000.0,3275000000.0,3113000000.0,3094000000.0
Cash Cash Equivalents And Short Term Investments,166000000.0,129000000.0,248000000.0,147000000.0
Cash And Cash Equivalents,166000000.0,129000000.0,248000000.0,147000000.0
Receivables,1880000000.0,1630000000.0,1550000000.0,1615000000.0
Accounts Receivable,1018000000.0,916000000.0,837000000.0,860000000.0
Gross Accounts Receivable,1124000000.0,995000000.0,892000000.0,915000000.0
Allowance For Doubtful Accounts Receivable,-106000000.0,-79000000.0,-55000000.0,-55000000.0
Inventory,631000000.0,535000000.0,544000000.0,548000000.0
Other Inventories,160000000.0,84000000.0,83000000.0,107000000.0
Prepaid Assets,333000000.0,292000000.0,228000000.0,233000000.0
Hedging Assets Current,123000000.0,49000000.0,55000000.0,87000000.0
Other Current Assets,1106000000.0,640000000.0,488000000.0,464000000.0
Total Non Current Assets,53612000000.0,50682000000.0,47335000000.0,42893000000.0
Net PPE,46748000000.0,44440000000.0,41155000000.0,36944000000.0
Gross PPE,67171000000.0,64128000000.0,60596000000.0,55020000000.0
Other Properties,3081000000.0,2539000000.0,2102000000.0,322000000.0
Construction In Progress,1969000000.0,1877000000.0,2329000000.0,2091000000.0
Accumulated Depreciation,-20423000000.0,-19688000000.0,-19441000000.0,-18076000000.0
Investments And Advances,3628000000.0,3096000000.0,2731000000.0,2317000000.0
Other Investments,3628000000.0,3096000000.0,2731000000.0,2317000000.0
Financial Assets,67000000.0,30000000.0,22000000.0,34000000.0
Non Current Prepaid Assets,,,,272000000.0
Other Non Current Assets,431000000.0,379000000.0,492000000.0,
Total Liabilities Net Minority Interest,42239000000.0,39382000000.0,37209000000.0,33765000000.0
Current Liabilities,5046000000.0,4239000000.0,4568000000.0,4460000000.0
Payables And Accrued Expenses,2436000000.0,2249000000.0,2164000000.0,2056000000.0
Payables,2227000000.0,2046000000.0,1972000000.0,1882000000.0
Accounts Payable,1409000000.0,1237000000.0,1294000000.0,1237000000.0
Total Tax Payable,569000000.0,578000000.0,466000000.0,450000000.0
Dividends Payable,249000000.0,231000000.0,212000000.0,195000000.0
Current Accrued Expenses,209000000.0,203000000.0,192000000.0,174000000.0
Interest Payable,209000000.0,203000000.0,192000000.0,174000000.0
Current Debt And Capital Lease Obligation,1811000000.0,1219000000.0,1297000000.0,1444000000.0
Current Debt,1606000000.0,1005000000.0,1297000000.0,1444000000.0
Other Current Borrowings,1606000000.0,1005000000.0,1297000000.0,1444000000.0
Current Capital Lease Obligation,205000000.0,214000000.0,,
Other Current Liabilities,799000000.0,771000000.0,1107000000.0,960000000.0
Total Non Current Liabilities Net Minority Interest,37193000000.0,35143000000.0,32641000000.0,29305000000.0
Long Term Provisions,3151000000.0,2884000000.0,2701000000.0,2568000000.0
Long Term Debt And Capital Lease Obligation,22925000000.0,20989000000.0,18956000000.0,15803000000.0
Long Term Debt,21779000000.0,19645000000.0,17407000000.0,15803000000.0
Long Term Capital Lease Obligation,1146000000.0,1344000000.0,1549000000.0,
Non Current Deferred Liabilities,5143000000.0,4988000000.0,4761000000.0,4418000000.0
Non Current Deferred Taxes Liabilities,4947000000.0,4791000000.0,4558000000.0,4219000000.0
Non Current Deferred Revenue,196000000.0,197000000.0,203000000.0,199000000.0
Employee Benefits,306000000.0,666000000.0,785000000.0,994000000.0
Non Current Pension And Other Postretirement Benefit Plans,306000000.0,666000000.0,785000000.0,994000000.0
Derivative Product Liabilities,105000000.0,131000000.0,175000000.0,129000000.0
Other Non Current Liabilities,158000000.0,183000000.0,186000000.0,206000000.0
Total Equity Gross Minority Interest,15612000000.0,14575000000.0,13239000000.0,12222000000.0
Stockholders Equity,15612000000.0,14575000000.0,13239000000.0,12222000000.0
Capital Stock,1360000000.0,1344000000.0,1311000000.0,1285000000.0
Common Stock,1360000000.0,1344000000.0,1311000000.0,1285000000.0
Additional Paid In Capital,7803000000.0,7404000000.0,6656000000.0,6168000000.0
Retained Earnings,6572000000.0,5968000000.0,5413000000.0,4893000000.0
Gains Losses Not Affecting Retained Earnings,-123000000.0,-141000000.0,-141000000.0,-124000000.0
Total Capitalization,37391000000.0,34220000000.0,30646000000.0,28025000000.0
Common Stock Equity,15612000000.0,14575000000.0,13239000000.0,12222000000.0
Capital Lease Obligations,1351000000.0,1558000000.0,1549000000.0,
Net Tangible Assets,15612000000.0,14575000000.0,13239000000.0,12222000000.0
Working Capital,-807000000.0,-964000000.0,-1455000000.0,-1366000000.0
Invested Capital,38997000000.0,35225000000.0,31943000000.0,29469000000.0
Tangible Book Value,15612000000.0,14575000000.0,13239000000.0,12222000000.0
Total Debt,24736000000.0,22208000000.0,20253000000.0,17247000000.0
Net Debt,23219000000.0,20521000000.0,18456000000.0,17100000000.0
Share Issued,544025269.0,537438394.0,524539000.0,514036787.0
Ordinary Shares Number,544025269.0,537438394.0,524539000.0,514036787.0
