,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Total Assets,23456400000.0,24417700000.0,24638700000.0,24126800000.0
Current Assets,4885000000.0,5083300000.0,4723900000.0,4427400000.0
Cash Cash Equivalents And Short Term Investments,478500000.0,802100000.0,617900000.0,542800000.0
Cash And Cash Equivalents,478500000.0,802100000.0,617900000.0,542800000.0
Receivables,1404900000.0,1452700000.0,1363900000.0,1275800000.0
Accounts Receivable,1404900000.0,1452700000.0,1363900000.0,1275800000.0
Gross Accounts Receivable,1479500000.0,1528500000.0,,1341500000.0
Allowance For Doubtful Accounts Receivable,-74600000.0,-75800000.0,,-65700000.0
Inventory,2394500000.0,2450700000.0,2385000000.0,2256500000.0
Raw Materials,263900000.0,272400000.0,278600000.0,228400000.0
Work In Process,202100000.0,223700000.0,231000000.0,230400000.0
Finished Goods,1928500000.0,1954600000.0,1875400000.0,1797700000.0
Prepaid Assets,607100000.0,377800000.0,357100000.0,352300000.0
Assets Held For Sale Current,501600000.0,,,
Other Current Assets,607100000.0,377800000.0,357100000.0,352300000.0
Total Non Current Assets,18571400000.0,19334400000.0,19914800000.0,19699400000.0
Net PPE,2016500000.0,2047700000.0,2077400000.0,2015400000.0
Gross PPE,6735600000.0,6324900000.0,5916800000.0,5437100000.0
Properties,0.0,0.0,0.0,0.0
Land And Improvements,27300000.0,27700000.0,27600000.0,28000000.0
Buildings And Improvements,2311400000.0,2197800000.0,2007000000.0,1885600000.0
Machinery Furniture Equipment,496700000.0,455800000.0,482400000.0,425800000.0
Other Properties,3776200000.0,3518300000.0,3250500000.0,2950500000.0
Construction In Progress,620700000.0,581100000.0,631700000.0,573000000.0
Accumulated Depreciation,-4719100000.0,-4277200000.0,-3839400000.0,-3421700000.0
Goodwill And Other Intangible Assets,15492000000.0,16317300000.0,16857300000.0,17279000000.0
Goodwill,9192200000.0,9261800000.0,9599700000.0,9594400000.0
Other Intangible Assets,6299800000.0,7055500000.0,7257600000.0,7684600000.0
Other Non Current Assets,1062900000.0,969400000.0,980100000.0,405000000.0
Total Liabilities Net Minority Interest,10790000000.0,12218300000.0,12245900000.0,12850700000.0
Current Liabilities,3467900000.0,2556900000.0,3441500000.0,2421300000.0
Payables And Accrued Expenses,1151600000.0,1279500000.0,1305700000.0,1175600000.0
Payables,416300000.0,389500000.0,527600000.0,505000000.0
Accounts Payable,351200000.0,330000000.0,400900000.0,362600000.0
Total Tax Payable,65100000.0,59500000.0,126700000.0,142400000.0
Income Tax Payable,65100000.0,59500000.0,126700000.0,142400000.0
Current Accrued Expenses,735300000.0,890000000.0,778100000.0,670600000.0
Pensionand Other Post Retirement Benefit Plans Current,357000000.0,319500000.0,314100000.0,260300000.0
Current Debt And Capital Lease Obligation,1605100000.0,500000000.0,1500000000.0,525000000.0
Current Debt,1605100000.0,500000000.0,1500000000.0,525000000.0
Other Current Borrowings,1605100000.0,500000000.0,1500000000.0,525000000.0
Current Deferred Liabilities,0.0,145000000.0,,
Current Deferred Revenue,0.0,145000000.0,,
Other Current Liabilities,354200000.0,312900000.0,321700000.0,460400000.0
Total Non Current Liabilities Net Minority Interest,7322100000.0,9661400000.0,8804400000.0,10429400000.0
Long Term Debt And Capital Lease Obligation,5474200000.0,7623400000.0,6715000000.0,8399100000.0
Long Term Debt,5474200000.0,7623400000.0,6715000000.0,8399100000.0
Non Current Deferred Liabilities,665600000.0,790400000.0,840100000.0,999500000.0
Non Current Deferred Taxes Liabilities,665600000.0,790400000.0,840100000.0,999500000.0
Tradeand Other Payables Non Current,583200000.0,588100000.0,685100000.0,666200000.0
Derivative Product Liabilities,-10500000.0,3100000.0,6400000.0,14600000.0
Liabilities Heldfor Sale Non Current,168400000.0,,,
Other Non Current Liabilities,609600000.0,656400000.0,557800000.0,350000000.0
Total Equity Gross Minority Interest,12666400000.0,12199400000.0,12392800000.0,11276100000.0
Stockholders Equity,12660700000.0,12194200000.0,12388100000.0,11271300000.0
Capital Stock,3100000.0,3100000.0,3100000.0,3100000.0
Common Stock,3100000.0,3100000.0,3100000.0,3100000.0
Additional Paid In Capital,9314800000.0,9121600000.0,8920100000.0,8686100000.0
Retained Earnings,10292200000.0,10086900000.0,10427300000.0,9491200000.0
Treasury Stock,6717800000.0,6719600000.0,6720500000.0,6721700000.0
Gains Losses Not Affecting Retained Earnings,-231600000.0,-297800000.0,-241900000.0,-187400000.0
Minority Interest,5700000.0,5200000.0,4700000.0,4800000.0
Total Capitalization,18134900000.0,19817600000.0,19103100000.0,19670400000.0
Common Stock Equity,12660700000.0,12194200000.0,12388100000.0,11271300000.0
Net Tangible Assets,-2831300000.0,-4123100000.0,-4469200000.0,-6007700000.0
Working Capital,1417100000.0,2526400000.0,1282400000.0,2006100000.0
Invested Capital,19740000000.0,20317600000.0,20603100000.0,20195400000.0
Tangible Book Value,-2831300000.0,-4123100000.0,-4469200000.0,-6007700000.0
Total Debt,7079300000.0,8123400000.0,8215000000.0,8924100000.0
Net Debt,6600800000.0,7321300000.0,7597100000.0,8381300000.0
Share Issued,312800000.0,311400000.0,309900000.0,307900000.0
Ordinary Shares Number,209000000.0,207600000.0,206000000.0,204000000.0
Treasury Shares Number,103800000.0,103800000.0,103900000.0,103900000.0
