,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,22777000000.0,17588000000.0,13324000000.0,13427000000.0
Cash Flow From Continuing Operating Activities,22777000000.0,17588000000.0,13324000000.0,13427000000.0
Net Income From Continuing Operations,11549000000.0,4622000000.0,7882000000.0,5687000000.0
Operating Gains Losses,-68000000.0,,-330000000.0,
Gain Loss On Sale Of Business,-68000000.0,0.0,-330000000.0,
Gain Loss On Sale Of PPE,,,-330000000.0,
Net Foreign Currency Exchange Gain Loss,,,,0.0
Depreciation Amortization Depletion,8521000000.0,6471000000.0,2017000000.0,1765000000.0
Depreciation And Amortization,8521000000.0,6471000000.0,2017000000.0,1765000000.0
Depreciation,803000000.0,666000000.0,464000000.0,471000000.0
Amortization Cash Flow,7718000000.0,5805000000.0,1553000000.0,1294000000.0
Amortization Of Intangibles,7718000000.0,5805000000.0,1553000000.0,1294000000.0
Deferred Tax,-898000000.0,-2325000000.0,,424000000.0
Deferred Income Tax,-898000000.0,-2325000000.0,,424000000.0
Asset Impairment Charge,0.0,0.0,1030000000.0,5070000000.0
Stock Based Compensation,692000000.0,753000000.0,430000000.0,421000000.0
Other Non Cash Items,4303000000.0,7961000000.0,3624000000.0,1186000000.0
Change In Working Capital,-1322000000.0,106000000.0,-1329000000.0,-1126000000.0
Change In Receivables,-1321000000.0,-929000000.0,-74000000.0,-591000000.0
Changes In Account Receivables,-1321000000.0,-929000000.0,-74000000.0,-591000000.0
Change In Inventory,-142000000.0,-40000000.0,-231000000.0,-226000000.0
Change In Prepaid Assets,-197000000.0,134000000.0,97000000.0,-499000000.0
Change In Payables And Accrued Expense,1628000000.0,1514000000.0,-1121000000.0,190000000.0
Change In Payable,1628000000.0,1514000000.0,-1121000000.0,190000000.0
Change In Account Payable,1628000000.0,1514000000.0,-1121000000.0,190000000.0
Change In Other Working Capital,-1290000000.0,-573000000.0,,
Investing Cash Flow,-2344000000.0,-37557000000.0,596000000.0,-1006000000.0
Cash Flow From Continuing Investing Activities,-2344000000.0,-37557000000.0,596000000.0,-1006000000.0
Net PPE Purchase And Sale,-787000000.0,-798000000.0,-552000000.0,-638000000.0
Purchase Of PPE,-787000000.0,-798000000.0,-552000000.0,-638000000.0
Net Business Purchase And Sale,-1902000000.0,-39610000000.0,-1135000000.0,-736000000.0
Purchase Of Business,-1902000000.0,-39610000000.0,-1135000000.0,-736000000.0
Net Investment Purchase And Sale,-21000000.0,1464000000.0,2116000000.0,368000000.0
Purchase Of Investment,-119000000.0,-61000000.0,-583000000.0,-1792000000.0
Sale Of Investment,98000000.0,1525000000.0,2699000000.0,2160000000.0
Net Other Investing Changes,366000000.0,1387000000.0,167000000.0,
Financing Cash Flow,-19039000000.0,-11501000000.0,18708000000.0,-14396000000.0
Cash Flow From Continuing Financing Activities,-19039000000.0,-11501000000.0,18708000000.0,-14396000000.0
Net Issuance Payments Of Debt,-8414000000.0,-2683000000.0,26247000000.0,3229000000.0
Net Long Term Debt Issuance,-8414000000.0,-2683000000.0,29946000000.0,-72000000.0
Long Term Debt Issuance,1000000000.0,3000000000.0,31482000000.0,5963000000.0
Long Term Debt Payments,-9414000000.0,-5683000000.0,-1536000000.0,-6035000000.0
Net Short Term Debt Issuance,0.0,0.0,-3699000000.0,3301000000.0
Short Term Debt Issuance,,0.0,,3301000000.0
Short Term Debt Payments,0.0,0.0,-3699000000.0,
Net Common Stock Issuance,-934000000.0,-978000000.0,-629000000.0,-12014000000.0
Common Stock Payments,-934000000.0,-978000000.0,-629000000.0,-12014000000.0
Cash Dividends Paid,-9261000000.0,-7716000000.0,-6366000000.0,-5580000000.0
Common Stock Dividend Paid,-9261000000.0,-7716000000.0,-6366000000.0,-5580000000.0
Proceeds From Stock Option Exercised,244000000.0,209000000.0,8000000.0,73000000.0
Net Other Financing Charges,-674000000.0,-333000000.0,-552000000.0,-104000000.0
End Cash Position,9746000000.0,8449000000.0,39924000000.0,7289000000.0
Changes In Cash,1394000000.0,-31470000000.0,32628000000.0,-1975000000.0
Effect Of Exchange Rate Changes,-97000000.0,-5000000.0,7000000.0,-39000000.0
Beginning Cash Position,8449000000.0,39924000000.0,7289000000.0,9303000000.0
Income Tax Paid Supplemental Data,3648000000.0,1674000000.0,1447000000.0,
Interest Paid Supplemental Data,2712000000.0,2619000000.0,1794000000.0,1215000000.0
Capital Expenditure,-787000000.0,-798000000.0,-552000000.0,-638000000.0
Issuance Of Debt,1000000000.0,3000000000.0,31482000000.0,9264000000.0
Repayment Of Debt,-9414000000.0,-5683000000.0,-5235000000.0,-6035000000.0
Repurchase Of Capital Stock,-934000000.0,-978000000.0,-629000000.0,-12014000000.0
Free Cash Flow,21990000000.0,16790000000.0,12772000000.0,12789000000.0
