,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,10533000000.0,7901000000.0,6136000000.0,6300000000.0
Cash Flow From Continuing Operating Activities,10533000000.0,7901000000.0,6136000000.0,6300000000.0
Net Income From Continuing Operations,7071000000.0,4495000000.0,3687000000.0,2368000000.0
Operating Gains Losses,55000000.0,425000000.0,247000000.0,293000000.0
Gain Loss On Sale Of Business,,,0.0,0.0
Net Foreign Currency Exchange Gain Loss,,,,0.0
Gain Loss On Investment Securities,55000000.0,425000000.0,184000000.0,126000000.0
Earnings Losses From Equity Investments,,,,0.0
Depreciation Amortization Depletion,3538000000.0,3327000000.0,3014000000.0,3278000000.0
Depreciation And Amortization,3538000000.0,3327000000.0,3014000000.0,3278000000.0
Depreciation,1491000000.0,1195000000.0,1078000000.0,1100000000.0
Amortization Cash Flow,2047000000.0,2132000000.0,1936000000.0,2178000000.0
Amortization Of Intangibles,2047000000.0,2132000000.0,1936000000.0,2178000000.0
Stock Based Compensation,640000000.0,546000000.0,519000000.0,477000000.0
Other Non Cash Items,,,,32000000.0
Change In Working Capital,-771000000.0,-892000000.0,-1331000000.0,-148000000.0
Change In Receivables,-383000000.0,-924000000.0,-275000000.0,-190000000.0
Changes In Account Receivables,-383000000.0,-924000000.0,-275000000.0,-190000000.0
Change In Inventory,-456000000.0,-493000000.0,-593000000.0,-514000000.0
Change In Prepaid Assets,-312000000.0,-627000000.0,-138000000.0,23000000.0
Change In Payables And Accrued Expense,380000000.0,1152000000.0,-325000000.0,533000000.0
Change In Payable,380000000.0,1152000000.0,-325000000.0,533000000.0
Change In Tax Payable,-908000000.0,-614000000.0,-545000000.0,-214000000.0
Change In Income Tax Payable,-908000000.0,-614000000.0,-545000000.0,-214000000.0
Change In Account Payable,1288000000.0,1766000000.0,220000000.0,747000000.0
Investing Cash Flow,-2008000000.0,-2215000000.0,-1815000000.0,-1356000000.0
Cash Flow From Continuing Investing Activities,-2008000000.0,-2215000000.0,-1815000000.0,-1356000000.0
Net PPE Purchase And Sale,-1885000000.0,-2177000000.0,-1638000000.0,-1394000000.0
Purchase Of PPE,-1885000000.0,-2177000000.0,-1638000000.0,-1394000000.0
Net Business Purchase And Sale,-53000000.0,16000000.0,-122000000.0,48000000.0
Purchase Of Business,-187000000.0,-42000000.0,-170000000.0,0.0
Sale Of Business,134000000.0,58000000.0,48000000.0,48000000.0
Net Investment Purchase And Sale,-96000000.0,-73000000.0,-82000000.0,-58000000.0
Purchase Of Investment,-173000000.0,-83000000.0,-103000000.0,-131000000.0
Sale Of Investment,77000000.0,10000000.0,21000000.0,73000000.0
Net Other Investing Changes,26000000.0,19000000.0,27000000.0,48000000.0
Financing Cash Flow,-5494000000.0,-2779000000.0,-4289000000.0,-10391000000.0
Cash Flow From Continuing Financing Activities,-5494000000.0,-2779000000.0,-4289000000.0,-10391000000.0
Net Issuance Payments Of Debt,-248000000.0,-50000000.0,-1599000000.0,-8450000000.0
Net Long Term Debt Issuance,-44000000.0,-52000000.0,-1599000000.0,-8424000000.0
Long Term Debt Issuance,4000000.0,1281000000.0,1842000000.0,4009000000.0
Long Term Debt Payments,-48000000.0,-1333000000.0,-3441000000.0,-12433000000.0
Net Short Term Debt Issuance,-204000000.0,2000000.0,0.0,-26000000.0
Net Common Stock Issuance,-2299000000.0,-403000000.0,-718000000.0,-238000000.0
Common Stock Payments,-2299000000.0,-403000000.0,-718000000.0,-238000000.0
Net Preferred Stock Issuance,,,0.0,0.0
Preferred Stock Payments,,,0.0,0.0
Cash Dividends Paid,-3202000000.0,-2560000000.0,-2270000000.0,-1974000000.0
Common Stock Dividend Paid,-3202000000.0,-2560000000.0,-2270000000.0,-1974000000.0
Proceeds From Stock Option Exercised,255000000.0,245000000.0,298000000.0,271000000.0
Net Other Financing Charges,,-11000000.0,,
End Cash Position,9799000000.0,6838000000.0,3860000000.0,3844000000.0
Changes In Cash,3031000000.0,2907000000.0,32000000.0,-5447000000.0
Effect Of Exchange Rate Changes,-70000000.0,71000000.0,-16000000.0,-116000000.0
Beginning Cash Position,6838000000.0,3860000000.0,3844000000.0,9407000000.0
Income Tax Paid Supplemental Data,1941000000.0,970000000.0,930000000.0,740000000.0
Interest Paid Supplemental Data,544000000.0,549000000.0,677000000.0,845000000.0
Capital Expenditure,-1885000000.0,-2177000000.0,-1638000000.0,-1394000000.0
Issuance Of Debt,4000000.0,1281000000.0,1842000000.0,4009000000.0
Repayment Of Debt,-48000000.0,-1333000000.0,-3441000000.0,-12433000000.0
Repurchase Of Capital Stock,-2299000000.0,-403000000.0,-718000000.0,-238000000.0
Free Cash Flow,8648000000.0,5724000000.0,4498000000.0,4906000000.0
