,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,1661000000.0,1727000000.0,2170000000.0,2170000000.0
Cash Flow From Continuing Operating Activities,1661000000.0,1727000000.0,2170000000.0,2170000000.0
Net Income From Continuing Operations,995000000.0,877000000.0,834000000.0,821000000.0
Depreciation Amortization Depletion,1277000000.0,1153000000.0,1081000000.0,1033000000.0
Depreciation And Amortization,1277000000.0,1153000000.0,1081000000.0,1033000000.0
Depreciation,1277000000.0,1153000000.0,1081000000.0,1033000000.0
Deferred Tax,156000000.0,148000000.0,167000000.0,224000000.0
Deferred Income Tax,156000000.0,148000000.0,167000000.0,224000000.0
Stock Based Compensation,22000000.0,21000000.0,20000000.0,20000000.0
Other Non Cash Items,-1000000.0,12000000.0,-23000000.0,28000000.0
Change In Working Capital,-788000000.0,-484000000.0,91000000.0,44000000.0
Change In Receivables,-74000000.0,-47000000.0,79000000.0,-24000000.0
Change In Inventory,-71000000.0,-25000000.0,-10000000.0,39000000.0
Change In Payables And Accrued Expense,29000000.0,74000000.0,-11000000.0,-32000000.0
Change In Payable,29000000.0,74000000.0,-11000000.0,-32000000.0
Change In Tax Payable,1000000.0,34000000.0,-8000000.0,-10000000.0
Change In Income Tax Payable,1000000.0,34000000.0,-8000000.0,-10000000.0
Change In Account Payable,28000000.0,40000000.0,-3000000.0,-22000000.0
Change In Other Current Assets,-126000000.0,-83000000.0,-59000000.0,2000000.0
Change In Other Current Liabilities,-74000000.0,-111000000.0,-33000000.0,-117000000.0
Change In Other Working Capital,-472000000.0,-292000000.0,125000000.0,176000000.0
Investing Cash Flow,-3528000000.0,-3329000000.0,-2435000000.0,-2336000000.0
Cash Flow From Continuing Investing Activities,-3528000000.0,-3329000000.0,-2435000000.0,-2336000000.0
Capital Expenditure Reported,-3523000000.0,-3299000000.0,-2442000000.0,-2338000000.0
Net PPE Purchase And Sale,,-66000000.0,-31000000.0,-52000000.0
Purchase Of PPE,,-66000000.0,-31000000.0,-52000000.0
Net Investment Purchase And Sale,-13000000.0,-41000000.0,4000000.0,-16000000.0
Purchase Of Investment,-452000000.0,-224000000.0,-463000000.0,-315000000.0
Sale Of Investment,439000000.0,183000000.0,467000000.0,299000000.0
Net Other Investing Changes,8000000.0,11000000.0,3000000.0,18000000.0
Financing Cash Flow,1721000000.0,1727000000.0,334000000.0,205000000.0
Cash Flow From Continuing Financing Activities,1721000000.0,1727000000.0,334000000.0,205000000.0
Net Issuance Payments Of Debt,2044000000.0,1791000000.0,790000000.0,623000000.0
Net Long Term Debt Issuance,1989000000.0,1741000000.0,947000000.0,511000000.0
Long Term Debt Issuance,1997000000.0,2183000000.0,1527000000.0,1352000000.0
Long Term Debt Payments,-8000000.0,-442000000.0,-580000000.0,-841000000.0
Net Short Term Debt Issuance,55000000.0,50000000.0,-157000000.0,112000000.0
Net Common Stock Issuance,308000000.0,476000000.0,68000000.0,74000000.0
Common Stock Issuance,308000000.0,476000000.0,68000000.0,74000000.0
Net Preferred Stock Issuance,-13000000.0,,,
Preferred Stock Payments,-13000000.0,,,
Cash Dividends Paid,-565000000.0,-494000000.0,-472000000.0,-451000000.0
Common Stock Dividend Paid,-565000000.0,-494000000.0,-472000000.0,-451000000.0
Proceeds From Stock Option Exercised,,,0.0,0.0
Net Other Financing Charges,-53000000.0,-46000000.0,-52000000.0,-41000000.0
End Cash Position,155000000.0,301000000.0,176000000.0,107000000.0
Changes In Cash,-146000000.0,125000000.0,69000000.0,39000000.0
Beginning Cash Position,301000000.0,176000000.0,107000000.0,68000000.0
Income Tax Paid Supplemental Data,,13000000.0,13000000.0,21000000.0
Interest Paid Supplemental Data,426000000.0,383000000.0,367000000.0,387000000.0
Capital Expenditure,-3523000000.0,-3299000000.0,-2442000000.0,-2338000000.0
Issuance Of Capital Stock,308000000.0,476000000.0,68000000.0,74000000.0
Issuance Of Debt,1997000000.0,2183000000.0,1527000000.0,1352000000.0
Repayment Of Debt,-8000000.0,-442000000.0,-580000000.0,-841000000.0
Repurchase Of Capital Stock,-13000000.0,,,
Free Cash Flow,-1862000000.0,-1572000000.0,-272000000.0,-168000000.0
