,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,1704100000.0,1752500000.0,1119200000.0,765100000.0
Cash Flow From Continuing Operating Activities,1704100000.0,1752500000.0,1119200000.0,765100000.0
Net Income From Continuing Operations,955000000.0,858100000.0,715800000.0,675900000.0
Operating Gains Losses,-5000000.0,9200000.0,-65300000.0,-11300000.0
Net Foreign Currency Exchange Gain Loss,2300000.0,2900000.0,6700000.0,-2900000.0
Gain Loss On Investment Securities,-17000000.0,6300000.0,-72000000.0,-8400000.0
Depreciation Amortization Depletion,566300000.0,562400000.0,474400000.0,419000000.0
Depreciation And Amortization,566300000.0,562400000.0,474400000.0,419000000.0
Deferred Tax,-184000000.0,,,
Deferred Income Tax,-184000000.0,,,
Stock Based Compensation,13400000.0,13600000.0,14000000.0,13700000.0
Other Non Cash Items,158900000.0,13500000.0,45900000.0,-13400000.0
Change In Working Capital,199500000.0,295700000.0,-65600000.0,-318800000.0
Change In Receivables,132900000.0,-796500000.0,-434700000.0,-783100000.0
Changes In Account Receivables,132900000.0,-796500000.0,-434700000.0,-783100000.0
Change In Payables And Accrued Expense,-88300000.0,1206000000.0,497100000.0,773700000.0
Change In Payable,-88300000.0,1206000000.0,497100000.0,773700000.0
Change In Tax Payable,-123800000.0,51800000.0,35500000.0,-46000000.0
Change In Income Tax Payable,-123800000.0,51800000.0,35500000.0,-46000000.0
Change In Account Payable,35500000.0,1154200000.0,461600000.0,819700000.0
Change In Other Current Assets,-136800000.0,-77100000.0,-60500000.0,-134700000.0
Change In Other Working Capital,291700000.0,-36700000.0,-67500000.0,-174700000.0
Investing Cash Flow,-3431700000.0,-416800000.0,-1376600000.0,-910300000.0
Cash Flow From Continuing Investing Activities,-3431700000.0,-416800000.0,-1376600000.0,-910300000.0
Capital Expenditure Reported,-128600000.0,-99300000.0,-138800000.0,-124400000.0
Net Business Purchase And Sale,-3235200000.0,-316100000.0,-1185800000.0,-770300000.0
Purchase Of Business,-3250900000.0,-324300000.0,-1266800000.0,-784800000.0
Sale Of Business,15700000.0,8200000.0,81000000.0,14500000.0
Net Investment Purchase And Sale,-1100000.0,-1400000.0,-52000000.0,-15600000.0
Net Other Investing Changes,-66800000.0,,,
Financing Cash Flow,2684100000.0,-505100000.0,638400000.0,162000000.0
Cash Flow From Continuing Financing Activities,2684100000.0,-505100000.0,638400000.0,162000000.0
Net Issuance Payments Of Debt,1759000000.0,-79100000.0,999200000.0,507900000.0
Net Long Term Debt Issuance,1714000000.0,440900000.0,744200000.0,432900000.0
Long Term Debt Issuance,1714000000.0,440900000.0,744200000.0,432900000.0
Net Short Term Debt Issuance,45000000.0,-520000000.0,255000000.0,75000000.0
Short Term Debt Issuance,1280000000.0,2630000000.0,4315000000.0,3075000000.0
Short Term Debt Payments,-1235000000.0,-3150000000.0,-4060000000.0,-3000000000.0
Net Common Stock Issuance,1546700000.0,111900000.0,101200000.0,70600000.0
Common Stock Issuance,1546700000.0,111900000.0,101200000.0,81900000.0
Common Stock Payments,,0.0,0.0,-11300000.0
Cash Dividends Paid,-392000000.0,-347400000.0,-321100000.0,-301800000.0
Common Stock Dividend Paid,,-347400000.0,-321100000.0,-301800000.0
Net Other Financing Charges,-229600000.0,-190500000.0,-140900000.0,-114700000.0
End Cash Position,4466300000.0,3574300000.0,2623900000.0,2236800000.0
Changes In Cash,956500000.0,830600000.0,381000000.0,16800000.0
Effect Of Exchange Rate Changes,-64500000.0,119800000.0,6100000.0,-85000000.0
Beginning Cash Position,3574300000.0,2623900000.0,2236800000.0,2305000000.0
Income Tax Paid Supplemental Data,,,,68100000.0
Interest Paid Supplemental Data,,,,139200000.0
Capital Expenditure,-128600000.0,-99300000.0,-138800000.0,-124400000.0
Issuance Of Capital Stock,1546700000.0,111900000.0,101200000.0,81900000.0
Issuance Of Debt,2994000000.0,3070900000.0,5059200000.0,3507900000.0
Repayment Of Debt,-1235000000.0,-3150000000.0,-4060000000.0,-3000000000.0
Repurchase Of Capital Stock,,0.0,0.0,-11300000.0
Free Cash Flow,1575500000.0,1653200000.0,980400000.0,640700000.0
