,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,488600000.0,490300000.0,488200000.0,457800000.0
Cash Flow From Continuing Operating Activities,488600000.0,490300000.0,488200000.0,457800000.0
Net Income From Continuing Operations,483300000.0,314500000.0,402100000.0,435400000.0
Operating Gains Losses,500000.0,37300000.0,32800000.0,300000.0
Gain Loss On Sale Of Business,0.0,0.0,30100000.0,0.0
Gain Loss On Sale Of PPE,,,,400000.0
Earnings Losses From Equity Investments,,,,-100000.0
Pension And Employee Benefit Expense,,,,0.0
Depreciation Amortization Depletion,83100000.0,81000000.0,83000000.0,86200000.0
Depreciation And Amortization,83100000.0,81000000.0,83000000.0,86200000.0
Deferred Tax,-43800000.0,-24400000.0,-30200000.0,-64400000.0
Deferred Income Tax,-43800000.0,-24400000.0,-30200000.0,-64400000.0
Asset Impairment Charge,0.0,101700000.0,5900000.0,
Unrealized Gain Loss On Investment Securities,-25600000.0,,,
Stock Based Compensation,23400000.0,20800000.0,20400000.0,19600000.0
Other Non Cash Items,7900000.0,-4400000.0,-3600000.0,-8300000.0
Change In Working Capital,-40200000.0,-36200000.0,-22200000.0,-11000000.0
Change In Receivables,31700000.0,-1900000.0,-6000000.0,-8600000.0
Changes In Account Receivables,,,,-8600000.0
Change In Inventory,-105600000.0,-7800000.0,5400000.0,-19700000.0
Change In Payables And Accrued Expense,40000000.0,-1600000.0,-11000000.0,33900000.0
Change In Payable,40000000.0,-1600000.0,-11000000.0,33900000.0
Change In Account Payable,40000000.0,-1600000.0,-11000000.0,33900000.0
Change In Other Current Assets,-38000000.0,-46000000.0,-15000000.0,-3300000.0
Change In Other Current Liabilities,31700000.0,21100000.0,4400000.0,-13300000.0
Change In Other Working Capital,,,,-63800000.0
Investing Cash Flow,-31600000.0,-56700000.0,-77600000.0,-443800000.0
Cash Flow From Continuing Investing Activities,-31600000.0,-56700000.0,-77600000.0,-443800000.0
Capital Expenditure Reported,-45400000.0,-47100000.0,-65600000.0,-49100000.0
Net PPE Purchase And Sale,,,,200000.0
Sale Of PPE,,,,200000.0
Net Business Purchase And Sale,1100000.0,-12500000.0,-4300000.0,-376100000.0
Purchase Of Business,-6500000.0,-12500000.0,-7600000.0,-376100000.0
Sale Of Business,7600000.0,0.0,3300000.0,0.0
Net Investment Purchase And Sale,,-3000000.0,0.0,-14300000.0
Purchase Of Investment,,-3000000.0,0.0,-14300000.0
Sale Of Investment,,,,0.0
Net Other Investing Changes,12700000.0,5900000.0,-7700000.0,-4500000.0
Financing Cash Flow,-529300000.0,-321900000.0,-342200000.0,-183400000.0
Cash Flow From Continuing Financing Activities,-529300000.0,-321900000.0,-342200000.0,-183400000.0
Net Issuance Payments Of Debt,11100000.0,-200000.0,-17900000.0,-36100000.0
Net Long Term Debt Issuance,250000000.0,-100000.0,-17700000.0,-35500000.0
Long Term Debt Issuance,250000000.0,0.0,400000000.0,115000000.0
Long Term Debt Payments,,-100000.0,-417700000.0,-150500000.0
Net Short Term Debt Issuance,-238900000.0,-100000.0,-200000.0,-600000.0
Short Term Debt Payments,-238900000.0,-100000.0,,
Net Common Stock Issuance,-412800000.0,-208800000.0,-226000000.0,-67300000.0
Common Stock Issuance,,,,3200000.0
Common Stock Payments,-412800000.0,-208800000.0,-226000000.0,-67300000.0
Cash Dividends Paid,-129000000.0,-117300000.0,-100600000.0,-79400000.0
Common Stock Dividend Paid,-129000000.0,-117300000.0,-100600000.0,-79400000.0
Proceeds From Stock Option Exercised,0.0,4500000.0,6500000.0,3200000.0
Net Other Financing Charges,1400000.0,-100000.0,-4200000.0,-3800000.0
End Cash Position,397900000.0,480400000.0,358700000.0,290600000.0
Changes In Cash,-72300000.0,111700000.0,68400000.0,-169400000.0
Effect Of Exchange Rate Changes,-10200000.0,10000000.0,-300000.0,-6200000.0
Beginning Cash Position,480400000.0,358700000.0,290600000.0,466200000.0
Capital Expenditure,-45400000.0,-47100000.0,-65600000.0,-49100000.0
Issuance Of Capital Stock,,,,3200000.0
Issuance Of Debt,250000000.0,0.0,400000000.0,115000000.0
Repayment Of Debt,-238900000.0,-200000.0,-417700000.0,-150500000.0
Repurchase Of Capital Stock,-412800000.0,-208800000.0,-226000000.0,-67300000.0
Free Cash Flow,443200000.0,443200000.0,422600000.0,408700000.0
