,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,46327000000.0,66064000000.0,38514000000.0,30723000000.0
Cash Flow From Continuing Operating Activities,46327000000.0,66064000000.0,38514000000.0,30723000000.0
Net Income From Continuing Operations,33364000000.0,21331000000.0,11588000000.0,10073000000.0
Depreciation Amortization Depletion,34296000000.0,25251000000.0,21789000000.0,15341000000.0
Depreciation And Amortization,34296000000.0,25251000000.0,21789000000.0,15341000000.0
Deferred Tax,-310000000.0,-554000000.0,796000000.0,441000000.0
Deferred Income Tax,-310000000.0,-554000000.0,796000000.0,441000000.0
Stock Based Compensation,12757000000.0,9208000000.0,6864000000.0,5418000000.0
Other Non Cash Items,-14169000000.0,-2653000000.0,-85000000.0,493000000.0
Change In Working Capital,-19611000000.0,13481000000.0,-2438000000.0,-1043000000.0
Change In Receivables,-18163000000.0,-8169000000.0,-7681000000.0,-4615000000.0
Changes In Account Receivables,-18163000000.0,-8169000000.0,-7681000000.0,-4615000000.0
Change In Inventory,-9487000000.0,-2849000000.0,-3278000000.0,-1314000000.0
Change In Payables And Accrued Expense,5725000000.0,23234000000.0,6810000000.0,3735000000.0
Change In Payable,3602000000.0,17480000000.0,8193000000.0,3263000000.0
Change In Account Payable,3602000000.0,17480000000.0,8193000000.0,3263000000.0
Change In Accrued Expense,2123000000.0,5754000000.0,-1383000000.0,472000000.0
Change In Other Working Capital,2314000000.0,1265000000.0,1711000000.0,1151000000.0
Investing Cash Flow,-58154000000.0,-59611000000.0,-24281000000.0,-12369000000.0
Cash Flow From Continuing Investing Activities,-58154000000.0,-59611000000.0,-24281000000.0,-12369000000.0
Net PPE Purchase And Sale,-55396000000.0,-35044000000.0,-12689000000.0,-11323000000.0
Purchase Of PPE,-61053000000.0,-40140000000.0,-16861000000.0,-13427000000.0
Sale Of PPE,5657000000.0,5096000000.0,4172000000.0,2104000000.0
Net Business Purchase And Sale,-1985000000.0,-2325000000.0,-2461000000.0,-2186000000.0
Purchase Of Business,-1985000000.0,-2325000000.0,-2461000000.0,-2186000000.0
Net Investment Purchase And Sale,-773000000.0,-22242000000.0,-9131000000.0,1140000000.0
Purchase Of Investment,-60157000000.0,-72479000000.0,-31812000000.0,-7100000000.0
Sale Of Investment,59384000000.0,50237000000.0,22681000000.0,8240000000.0
Financing Cash Flow,6291000000.0,-1104000000.0,-10066000000.0,-7686000000.0
Cash Flow From Continuing Financing Activities,6291000000.0,-1104000000.0,-10066000000.0,-7686000000.0
Net Issuance Payments Of Debt,6291000000.0,-1104000000.0,-10066000000.0,-7686000000.0
Net Long Term Debt Issuance,6088000000.0,-1723000000.0,-10066000000.0,-7686000000.0
Long Term Debt Issuance,19003000000.0,10525000000.0,2273000000.0,768000000.0
Long Term Debt Payments,-12915000000.0,-12248000000.0,-12339000000.0,-8454000000.0
Net Short Term Debt Issuance,203000000.0,619000000.0,,
Short Term Debt Issuance,7956000000.0,6796000000.0,,
Short Term Debt Payments,-7753000000.0,-6177000000.0,,
End Cash Position,36477000000.0,42377000000.0,36410000000.0,32173000000.0
Changes In Cash,-5536000000.0,5349000000.0,4167000000.0,10668000000.0
Effect Of Exchange Rate Changes,-364000000.0,618000000.0,70000000.0,-351000000.0
Beginning Cash Position,42377000000.0,36410000000.0,32173000000.0,21856000000.0
Income Tax Paid Supplemental Data,3688000000.0,1713000000.0,881000000.0,1184000000.0
Interest Paid Supplemental Data,1772000000.0,1630000000.0,1561000000.0,1429000000.0
Capital Expenditure,-61053000000.0,-40140000000.0,-16861000000.0,-13427000000.0
Issuance Of Debt,26959000000.0,17321000000.0,2273000000.0,768000000.0
Repayment Of Debt,-20668000000.0,-18425000000.0,-12339000000.0,-8454000000.0
Free Cash Flow,-14726000000.0,25924000000.0,21653000000.0,17296000000.0
