,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,641100000.0,562100000.0,456200000.0,448900000.0
Cash Flow From Continuing Operating Activities,641100000.0,562100000.0,456200000.0,448900000.0
Net Income From Continuing Operations,487100000.0,344900000.0,370000000.0,444200000.0
Depreciation Amortization Depletion,77900000.0,80000000.0,78300000.0,71900000.0
Depreciation And Amortization,77900000.0,80000000.0,78300000.0,71900000.0
Deferred Tax,,,0.0,0.0
Deferred Income Tax,,,0.0,0.0
Stock Based Compensation,11900000.0,12700000.0,13300000.0,10100000.0
Change In Working Capital,64200000.0,124500000.0,-5400000.0,-77300000.0
Change In Receivables,-25500000.0,4500000.0,62400000.0,-54600000.0
Changes In Account Receivables,,,,-54600000.0
Change In Inventory,-109500000.0,2900000.0,6300000.0,-7700000.0
Change In Payables And Accrued Expense,199200000.0,114900000.0,-21200000.0,12300000.0
Change In Payable,142900000.0,85600000.0,-35400000.0,15800000.0
Change In Tax Payable,,,,7000000.0
Change In Income Tax Payable,,,,7000000.0
Change In Account Payable,142900000.0,85600000.0,-35400000.0,8800000.0
Change In Accrued Expense,56300000.0,29300000.0,14200000.0,-3500000.0
Change In Other Current Assets,4900000.0,4700000.0,-4800000.0,10000000.0
Change In Other Working Capital,-4900000.0,-2500000.0,-48100000.0,-37300000.0
Investing Cash Flow,-349900000.0,11800000.0,33900000.0,-12700000.0
Cash Flow From Continuing Investing Activities,-349900000.0,11800000.0,33900000.0,-12700000.0
Capital Expenditure Reported,-75100000.0,-56800000.0,-64400000.0,-85200000.0
Net Business Purchase And Sale,-207600000.0,0.0,-107000000.0,0.0
Purchase Of Business,-207600000.0,0.0,-107000000.0,0.0
Net Investment Purchase And Sale,-67200000.0,68600000.0,205300000.0,72500000.0
Purchase Of Investment,-185400000.0,-157400000.0,-272700000.0,-523400000.0
Sale Of Investment,118200000.0,226000000.0,478000000.0,595900000.0
Financing Cash Flow,-421000000.0,-374800000.0,-375800000.0,-523100000.0
Cash Flow From Continuing Financing Activities,-421000000.0,-374800000.0,-375800000.0,-523100000.0
Net Issuance Payments Of Debt,83500000.0,-170800000.0,62600000.0,-189000000.0
Net Long Term Debt Issuance,83500000.0,-170800000.0,62600000.0,-189000000.0
Long Term Debt Issuance,83500000.0,,,
Long Term Debt Payments,,,,-189000000.0
Net Common Stock Issuance,-366500000.0,-56700000.0,-287700000.0,-202600000.0
Common Stock Payments,-366500000.0,-56700000.0,-287700000.0,-202600000.0
Cash Dividends Paid,-170100000.0,-158700000.0,-149200000.0,-130100000.0
Common Stock Dividend Paid,-170100000.0,-158700000.0,-149200000.0,-130100000.0
Proceeds From Stock Option Exercised,32100000.0,11400000.0,-500000.0,900000.0
Net Other Financing Charges,,,-1000000.0,-2300000.0
End Cash Position,443300000.0,573100000.0,374000000.0,259700000.0
Changes In Cash,-129800000.0,199100000.0,114300000.0,-86900000.0
Beginning Cash Position,573100000.0,374000000.0,259700000.0,346600000.0
Capital Expenditure,-75100000.0,-56800000.0,-64400000.0,-85200000.0
Issuance Of Debt,83500000.0,,,
Repayment Of Debt,,,,-189000000.0
Repurchase Of Capital Stock,-366500000.0,-56700000.0,-287700000.0,-202600000.0
Free Cash Flow,566000000.0,505300000.0,391800000.0,363700000.0
