,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,1010197000.0,882510000.0,683857000.0,570339000.0
Cash Flow From Continuing Operating Activities,1010197000.0,882510000.0,683857000.0,570339000.0
Net Income From Continuing Operations,654282000.0,827171000.0,404047000.0,402793000.0
Operating Gains Losses,-331049000.0,-522890000.0,-157687000.0,-188326000.0
Gain Loss On Investment Securities,-386047000.0,-575410000.0,-195121000.0,-145467000.0
Earnings Losses From Equity Investments,-12255000.0,-8148000.0,-10136000.0,-43981000.0
Depreciation Amortization Depletion,821061000.0,698104000.0,544612000.0,477661000.0
Depreciation And Amortization,821061000.0,698104000.0,544612000.0,477661000.0
Depreciation,821061000.0,698104000.0,544612000.0,477661000.0
Asset Impairment Charge,52675000.0,48078000.0,12334000.0,6311000.0
Stock Based Compensation,48669000.0,43502000.0,43640000.0,35019000.0
Other Non Cash Items,-160525000.0,-146981000.0,-128720000.0,-107956000.0
Change In Working Capital,-95266000.0,-70382000.0,-37165000.0,-55593000.0
Change In Receivables,-44000.0,2804000.0,-897000.0,435000.0
Changes In Account Receivables,-44000.0,2804000.0,-897000.0,435000.0
Change In Payables And Accrued Expense,60929000.0,-1122000.0,39012000.0,21909000.0
Change In Payable,60929000.0,-1122000.0,39012000.0,21909000.0
Change In Account Payable,60929000.0,-1122000.0,39012000.0,21909000.0
Change In Other Current Assets,-24591000.0,-10997000.0,-20825000.0,-20849000.0
Change In Other Working Capital,-131560000.0,-61067000.0,-54455000.0,-57088000.0
Dividend Received Cfo,20350000.0,5908000.0,2796000.0,430000.0
Investing Cash Flow,-7107324000.0,-3278161000.0,-3641320000.0,-2161760000.0
Cash Flow From Continuing Investing Activities,-7107324000.0,-3278161000.0,-3641320000.0,-2161760000.0
Net Business Purchase And Sale,372238000.0,16781000.0,-102067000.0,-83338000.0
Purchase Of Business,-22714000.0,-3444000.0,-102081000.0,-151930000.0
Sale Of Business,394952000.0,20225000.0,14000.0,68592000.0
Net Investment Properties Purchase And Sale,-7333925000.0,-3268844000.0,-3477700000.0,-1944158000.0
Purchase Of Investment Properties,-7524501000.0,-4015864000.0,-3484319000.0,-1964348000.0
Sale Of Investment Properties,190576000.0,747020000.0,6619000.0,20190000.0
Net Investment Purchase And Sale,16059000.0,-33506000.0,-61553000.0,-132264000.0
Purchase Of Investment,-408564000.0,-174655000.0,-190778000.0,-235943000.0
Sale Of Investment,424623000.0,141149000.0,129225000.0,103679000.0
Net Other Investing Changes,-161696000.0,7408000.0,,-2000000.0
Financing Cash Flow,5916361000.0,2750356000.0,2927482000.0,1588433000.0
Cash Flow From Continuing Financing Activities,5916361000.0,2750356000.0,2927482000.0,1588433000.0
Net Issuance Payments Of Debt,1255742000.0,796682000.0,1290970000.0,718217000.0
Net Long Term Debt Issuance,1085742000.0,1080682000.0,1114970000.0,560217000.0
Long Term Debt Issuance,1753721000.0,1697651000.0,2721169000.0,917105000.0
Long Term Debt Payments,-667979000.0,-616969000.0,-1606199000.0,-356888000.0
Net Short Term Debt Issuance,170000000.0,-284000000.0,176000000.0,158000000.0
Short Term Debt Issuance,34472300000.0,26239400000.0,7289000000.0,4741000000.0
Short Term Debt Payments,-34302300000.0,-26523400000.0,-7113000000.0,-4583000000.0
Net Common Stock Issuance,3529097000.0,2315862000.0,1216445000.0,1293301000.0
Common Stock Issuance,3529097000.0,2315862000.0,1216445000.0,1293301000.0
Net Preferred Stock Issuance,0.0,0.0,-9240000.0,-13976000.0
Preferred Stock Payments,0.0,0.0,-9240000.0,-13976000.0
Cash Dividends Paid,-655968000.0,-532980000.0,-451170000.0,-385839000.0
Common Stock Dividend Paid,-655968000.0,-532980000.0,-447029000.0,-380632000.0
Preferred Stock Dividend Paid,0.0,0.0,-4141000.0,-5207000.0
Net Other Financing Charges,1787490000.0,170792000.0,880477000.0,-23270000.0
End Cash Position,415227000.0,597705000.0,242689000.0,272130000.0
Changes In Cash,-180766000.0,354705000.0,-29981000.0,-2988000.0
Effect Of Exchange Rate Changes,-1712000.0,311000.0,540000.0,-2068000.0
Beginning Cash Position,597705000.0,242689000.0,272130000.0,277186000.0
Interest Paid Supplemental Data,139471000.0,161351000.0,146165000.0,127093000.0
Issuance Of Capital Stock,3529097000.0,2315862000.0,1216445000.0,1293301000.0
Issuance Of Debt,36226021000.0,27937051000.0,10010169000.0,5658105000.0
Repayment Of Debt,-34970279000.0,-27140369000.0,-8719199000.0,-4939888000.0
Repurchase Of Capital Stock,0.0,0.0,-9240000.0,-13976000.0
Free Cash Flow,1010197000.0,882510000.0,683857000.0,570339000.0
