,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,2414000000.0,2252000000.0,1831000000.0,1790000000.0
Cash Flow From Continuing Operating Activities,2414000000.0,2252000000.0,1831000000.0,1790000000.0
Net Income From Continuing Operations,2699000000.0,2197000000.0,1503000000.0,1813000000.0
Operating Gains Losses,-28000000.0,,,40000000.0
Gain Loss On Investment Securities,-28000000.0,,,
Depreciation Amortization Depletion,440000000.0,446000000.0,553000000.0,998000000.0
Depreciation And Amortization,440000000.0,446000000.0,553000000.0,998000000.0
Depreciation,116000000.0,197000000.0,328000000.0,509000000.0
Amortization Cash Flow,324000000.0,249000000.0,225000000.0,489000000.0
Amortization Of Intangibles,324000000.0,249000000.0,225000000.0,489000000.0
Deferred Tax,7000000.0,-94000000.0,-352000000.0,20000000.0
Deferred Income Tax,7000000.0,-94000000.0,-352000000.0,20000000.0
Provisionand Write Offof Assets,,,6000000.0,6000000.0
Unrealized Gain Loss On Investment Securities,,,-38000000.0,
Stock Based Compensation,508000000.0,218000000.0,166000000.0,209000000.0
Other Non Cash Items,67000000.0,124000000.0,115000000.0,7000000.0
Change In Working Capital,-1279000000.0,-639000000.0,-122000000.0,-1303000000.0
Change In Receivables,71000000.0,-194000000.0,182000000.0,-114000000.0
Changes In Account Receivables,71000000.0,-194000000.0,182000000.0,-114000000.0
Change In Inventory,,,7000000.0,-5000000.0
Change In Payables And Accrued Expense,-273000000.0,-164000000.0,-46000000.0,-639000000.0
Change In Payable,-7000000.0,-10000000.0,31000000.0,-65000000.0
Change In Account Payable,-7000000.0,-10000000.0,31000000.0,-65000000.0
Change In Accrued Expense,-266000000.0,-154000000.0,-77000000.0,-574000000.0
Change In Other Current Assets,-540000000.0,-497000000.0,-111000000.0,-423000000.0
Change In Other Working Capital,-537000000.0,216000000.0,-154000000.0,-122000000.0
Investing Cash Flow,-59000000.0,-178000000.0,-22000000.0,-230000000.0
Cash Flow From Continuing Investing Activities,-59000000.0,-178000000.0,-22000000.0,-230000000.0
Capital Expenditure Reported,-80000000.0,-78000000.0,-116000000.0,-131000000.0
Net Business Purchase And Sale,,,,0.0
Purchase Of Business,,,,0.0
Net Investment Purchase And Sale,32000000.0,-100000000.0,88000000.0,-93000000.0
Purchase Of Investment,-248000000.0,-221000000.0,-65000000.0,-209000000.0
Sale Of Investment,280000000.0,121000000.0,153000000.0,116000000.0
Net Other Investing Changes,-11000000.0,,6000000.0,-6000000.0
Financing Cash Flow,-521000000.0,711000000.0,-237000000.0,-2020000000.0
Cash Flow From Continuing Financing Activities,-521000000.0,711000000.0,-237000000.0,-2020000000.0
Net Issuance Payments Of Debt,0.0,944000000.0,0.0,-1740000000.0
Net Long Term Debt Issuance,0.0,944000000.0,0.0,-1740000000.0
Long Term Debt Issuance,0.0,1994000000.0,0.0,0.0
Long Term Debt Payments,0.0,-1050000000.0,0.0,-1740000000.0
Net Common Stock Issuance,90000000.0,170000000.0,105000000.0,99000000.0
Common Stock Issuance,90000000.0,170000000.0,105000000.0,99000000.0
Cash Dividends Paid,-365000000.0,-316000000.0,-283000000.0,-259000000.0
Common Stock Dividend Paid,,-316000000.0,-283000000.0,-259000000.0
Net Other Financing Charges,-246000000.0,-87000000.0,-59000000.0,-120000000.0
End Cash Position,10438000000.0,8652000000.0,5798000000.0,4229000000.0
Changes In Cash,1834000000.0,2785000000.0,1572000000.0,-460000000.0
Effect Of Exchange Rate Changes,-48000000.0,69000000.0,-3000000.0,-31000000.0
Beginning Cash Position,8652000000.0,5798000000.0,4229000000.0,4720000000.0
Income Tax Paid Supplemental Data,468000000.0,806000000.0,,
Interest Paid Supplemental Data,109000000.0,82000000.0,,
Capital Expenditure,-80000000.0,-78000000.0,-116000000.0,-131000000.0
Issuance Of Capital Stock,90000000.0,170000000.0,105000000.0,99000000.0
Issuance Of Debt,0.0,1994000000.0,0.0,0.0
Repayment Of Debt,0.0,-1050000000.0,0.0,-1740000000.0
Free Cash Flow,2334000000.0,2174000000.0,1715000000.0,1659000000.0
