,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,1441000000.0,1426000000.0,1383000000.0,1386000000.0
Cash Flow From Continuing Operating Activities,1441000000.0,1426000000.0,1383000000.0,1386000000.0
Net Income From Continuing Operations,1263000000.0,709000000.0,621000000.0,565000000.0
Operating Gains Losses,-788000000.0,-14000000.0,51000000.0,3000000.0
Gain Loss On Sale Of Business,-747000000.0,0.0,34000000.0,-20000000.0
Pension And Employee Benefit Expense,-41000000.0,-14000000.0,17000000.0,23000000.0
Depreciation Amortization Depletion,636000000.0,604000000.0,582000000.0,545000000.0
Depreciation And Amortization,636000000.0,604000000.0,582000000.0,545000000.0
Deferred Tax,230000000.0,207000000.0,208000000.0,195000000.0
Deferred Income Tax,230000000.0,207000000.0,208000000.0,195000000.0
Asset Impairment Charge,,0.0,0.0,57000000.0
Provisionand Write Offof Assets,37000000.0,34000000.0,28000000.0,33000000.0
Other Non Cash Items,-63000000.0,-59000000.0,-72000000.0,-2000000.0
Change In Working Capital,126000000.0,-55000000.0,-35000000.0,-10000000.0
Change In Receivables,-74000000.0,-97000000.0,-25000000.0,-17000000.0
Changes In Account Receivables,,-97000000.0,-25000000.0,-17000000.0
Change In Payables And Accrued Expense,66000000.0,-2000000.0,66000000.0,25000000.0
Change In Other Working Capital,134000000.0,44000000.0,-76000000.0,-18000000.0
Investing Cash Flow,-1536000000.0,-2061000000.0,-1945000000.0,-2036000000.0
Cash Flow From Continuing Investing Activities,-1536000000.0,-2061000000.0,-1945000000.0,-2036000000.0
Capital Expenditure Reported,-1764000000.0,-1822000000.0,-1654000000.0,-1586000000.0
Net PPE Purchase And Sale,-109000000.0,-106000000.0,-104000000.0,-87000000.0
Purchase Of PPE,-109000000.0,-106000000.0,-104000000.0,-87000000.0
Net Business Purchase And Sale,-135000000.0,-135000000.0,-235000000.0,-398000000.0
Purchase Of Business,-135000000.0,-135000000.0,-235000000.0,-398000000.0
Net Other Investing Changes,472000000.0,2000000.0,48000000.0,35000000.0
Financing Cash Flow,-345000000.0,1120000000.0,494000000.0,726000000.0
Cash Flow From Continuing Financing Activities,-345000000.0,1120000000.0,494000000.0,726000000.0
Net Issuance Payments Of Debt,48000000.0,1487000000.0,857000000.0,892000000.0
Net Long Term Debt Issuance,246000000.0,1492000000.0,1035000000.0,832000000.0
Long Term Debt Issuance,1118000000.0,1834000000.0,1530000000.0,1358000000.0
Long Term Debt Payments,-872000000.0,-342000000.0,-495000000.0,-526000000.0
Net Short Term Debt Issuance,-198000000.0,-5000000.0,-178000000.0,60000000.0
Short Term Debt Issuance,,500000000.0,,60000000.0
Short Term Debt Payments,,-5000000.0,-178000000.0,
Net Common Stock Issuance,0.0,0.0,-36000000.0,138000000.0
Common Stock Issuance,,0.0,0.0,183000000.0
Common Stock Payments,0.0,0.0,-36000000.0,-45000000.0
Cash Dividends Paid,-428000000.0,-389000000.0,-353000000.0,-319000000.0
Common Stock Dividend Paid,,-389000000.0,-353000000.0,-319000000.0
Proceeds From Stock Option Exercised,-1000000.0,9000000.0,15000000.0,16000000.0
Net Other Financing Charges,36000000.0,13000000.0,11000000.0,-1000000.0
End Cash Position,136000000.0,576000000.0,91000000.0,159000000.0
Changes In Cash,-440000000.0,485000000.0,-68000000.0,76000000.0
Beginning Cash Position,576000000.0,91000000.0,159000000.0,83000000.0
Income Tax Paid Supplemental Data,1000000.0,7000000.0,12000000.0,38000000.0
Interest Paid Supplemental Data,389000000.0,382000000.0,383000000.0,332000000.0
Capital Expenditure,-1873000000.0,-1928000000.0,-1758000000.0,-1673000000.0
Issuance Of Capital Stock,,0.0,0.0,183000000.0
Issuance Of Debt,1118000000.0,1834000000.0,1530000000.0,1418000000.0
Repayment Of Debt,-872000000.0,-347000000.0,-673000000.0,-526000000.0
Repurchase Of Capital Stock,0.0,0.0,-36000000.0,-45000000.0
Free Cash Flow,-432000000.0,-502000000.0,-375000000.0,-287000000.0
