,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,1760000000.0,1432000000.0,1548000000.0,1566000000.0
Cash Flow From Continuing Operating Activities,1760000000.0,1432000000.0,1548000000.0,1566000000.0
Net Income From Continuing Operations,878000000.0,582000000.0,536000000.0,453000000.0
Depreciation Amortization Depletion,700000000.0,668000000.0,678000000.0,702000000.0
Depreciation And Amortization,700000000.0,668000000.0,678000000.0,702000000.0
Deferred Tax,35000000.0,17000000.0,-45000000.0,35000000.0
Deferred Income Tax,35000000.0,17000000.0,-45000000.0,35000000.0
Other Non Cash Items,27000000.0,271000000.0,143000000.0,286000000.0
Change In Working Capital,120000000.0,-106000000.0,236000000.0,90000000.0
Change In Receivables,-863000000.0,-135000000.0,49000000.0,-17000000.0
Change In Inventory,-464000000.0,-64000000.0,-45000000.0,-248000000.0
Change In Payables And Accrued Expense,1311000000.0,150000000.0,71000000.0,515000000.0
Change In Payable,1312000000.0,66000000.0,72000000.0,592000000.0
Change In Account Payable,1312000000.0,66000000.0,72000000.0,592000000.0
Change In Accrued Expense,-1000000.0,84000000.0,-1000000.0,-77000000.0
Change In Other Current Assets,-24000000.0,5000000.0,-18000000.0,-47000000.0
Change In Other Current Liabilities,159000000.0,-35000000.0,175000000.0,-140000000.0
Change In Other Working Capital,1000000.0,-27000000.0,4000000.0,27000000.0
Investing Cash Flow,-1639000000.0,-1181000000.0,-422000000.0,-206000000.0
Cash Flow From Continuing Investing Activities,-1639000000.0,-1181000000.0,-422000000.0,-206000000.0
Capital Expenditure Reported,-1726000000.0,-1113000000.0,-598000000.0,-816000000.0
Net Business Purchase And Sale,112000000.0,-86000000.0,160000000.0,539000000.0
Purchase Of Business,0.0,-86000000.0,,0.0
Sale Of Business,112000000.0,,160000000.0,539000000.0
Net Investment Purchase And Sale,,,,0.0
Purchase Of Investment,,,,0.0
Net Other Investing Changes,-25000000.0,18000000.0,16000000.0,71000000.0
Financing Cash Flow,-894000000.0,-602000000.0,-46000000.0,-1040000000.0
Cash Flow From Continuing Financing Activities,-894000000.0,-602000000.0,-46000000.0,-1040000000.0
Net Issuance Payments Of Debt,98000000.0,-262000000.0,1112000000.0,-178000000.0
Net Long Term Debt Issuance,100000000.0,-242000000.0,1295000000.0,-58000000.0
Long Term Debt Issuance,850000000.0,2552000000.0,2819000000.0,1475000000.0
Long Term Debt Payments,-750000000.0,-2794000000.0,-1524000000.0,-1533000000.0
Net Short Term Debt Issuance,-2000000.0,-20000000.0,-183000000.0,-120000000.0
Net Common Stock Issuance,-719000000.0,-75000000.0,-945000000.0,-711000000.0
Common Stock Issuance,47000000.0,,19000000.0,28000000.0
Common Stock Payments,-766000000.0,-75000000.0,-964000000.0,-739000000.0
Cash Dividends Paid,-229000000.0,-198000000.0,-182000000.0,-137000000.0
Common Stock Dividend Paid,,-198000000.0,-182000000.0,-137000000.0
Net Other Financing Charges,-44000000.0,-67000000.0,-31000000.0,-14000000.0
End Cash Position,579000000.0,1381000000.0,1806000000.0,728000000.0
Changes In Cash,-773000000.0,-351000000.0,1080000000.0,320000000.0
Effect Of Exchange Rate Changes,-29000000.0,-74000000.0,-2000000.0,-51000000.0
Beginning Cash Position,1381000000.0,1806000000.0,728000000.0,459000000.0
Capital Expenditure,-1726000000.0,-1113000000.0,-598000000.0,-816000000.0
Issuance Of Capital Stock,47000000.0,,19000000.0,28000000.0
Issuance Of Debt,850000000.0,2552000000.0,2819000000.0,1475000000.0
Repayment Of Debt,-750000000.0,-2794000000.0,-1524000000.0,-1533000000.0
Repurchase Of Capital Stock,-766000000.0,-75000000.0,-964000000.0,-739000000.0
Free Cash Flow,34000000.0,319000000.0,950000000.0,750000000.0
