,2022-01-31,2021-01-31,2020-01-31,2019-01-31
Operating Cash Flow,1492000000.0,2039000000.0,1236000000.0,1377000000.0
Cash Flow From Continuing Operating Activities,1492000000.0,2039000000.0,1236000000.0,1377000000.0
Net Income From Continuing Operations,1333000000.0,844000000.0,-366000000.0,644000000.0
Operating Gains Losses,195000000.0,-40000000.0,35000000.0,91000000.0
Gain Loss On Sale Of Business,0.0,-39000000.0,0.0,99000000.0
Gain Loss On Investment Securities,,,-5000000.0,-8000000.0
Earnings Losses From Equity Investments,0.0,-54000000.0,-5000000.0,-8000000.0
Depreciation Amortization Depletion,363000000.0,521000000.0,588000000.0,590000000.0
Depreciation And Amortization,363000000.0,521000000.0,588000000.0,590000000.0
Depreciation,363000000.0,521000000.0,588000000.0,590000000.0
Deferred Tax,45000000.0,33000000.0,-29000000.0,-52000000.0
Deferred Income Tax,45000000.0,33000000.0,-29000000.0,-52000000.0
Asset Impairment Charge,0.0,254000000.0,983000000.0,101000000.0
Unrealized Gain Loss On Investment Securities,,,0.0,6000000.0
Stock Based Compensation,46000000.0,50000000.0,87000000.0,97000000.0
Other Non Cash Items,,-39000000.0,37000000.0,-43000000.0
Change In Working Capital,-490000000.0,377000000.0,-99000000.0,-57000000.0
Change In Receivables,-64000000.0,38000000.0,31000000.0,-63000000.0
Changes In Account Receivables,-64000000.0,38000000.0,31000000.0,-63000000.0
Change In Inventory,-177000000.0,3000000.0,-40000000.0,-40000000.0
Change In Payables And Accrued Expense,-158000000.0,123000000.0,-75000000.0,-84000000.0
Change In Payable,-158000000.0,123000000.0,-75000000.0,-84000000.0
Change In Tax Payable,-72000000.0,-43000000.0,18000000.0,-113000000.0
Change In Income Tax Payable,-72000000.0,-43000000.0,18000000.0,-113000000.0
Change In Account Payable,-86000000.0,166000000.0,-93000000.0,29000000.0
Change In Other Working Capital,-91000000.0,213000000.0,-15000000.0,130000000.0
Investing Cash Flow,-259000000.0,-219000000.0,-480000000.0,-609000000.0
Cash Flow From Continuing Investing Activities,-259000000.0,-219000000.0,-480000000.0,-609000000.0
Capital Expenditure Reported,-270000000.0,-228000000.0,-458000000.0,-629000000.0
Net Business Purchase And Sale,,,,0.0
Purchase Of Business,,,,0.0
Net Investment Purchase And Sale,,,,0.0
Purchase Of Investment,,,,0.0
Sale Of Investment,,,,0.0
Dividends Received Cfi,,,,16000000.0
Net Other Investing Changes,11000000.0,9000000.0,-22000000.0,4000000.0
Financing Cash Flow,-3188000000.0,610000000.0,-666000000.0,-872000000.0
Cash Flow From Continuing Financing Activities,-3188000000.0,610000000.0,-666000000.0,-872000000.0
Net Issuance Payments Of Debt,-1728000000.0,703000000.0,-308000000.0,11000000.0
Net Long Term Debt Issuance,-1728000000.0,703000000.0,-308000000.0,11000000.0
Long Term Debt Issuance,0.0,2252000000.0,665000000.0,264000000.0
Long Term Debt Payments,-1728000000.0,-1549000000.0,-973000000.0,-253000000.0
Net Short Term Debt Issuance,0.0,0.0,5000000.0,63000000.0
Short Term Debt Issuance,0.0,950000000.0,167000000.0,172000000.0
Short Term Debt Payments,0.0,-950000000.0,-162000000.0,-109000000.0
Net Common Stock Issuance,-1964000000.0,0.0,0.0,-198000000.0
Common Stock Payments,-1964000000.0,0.0,0.0,-198000000.0
Cash Dividends Paid,-120000000.0,-83000000.0,-332000000.0,-666000000.0
Common Stock Dividend Paid,,-83000000.0,-332000000.0,-666000000.0
Proceeds From Stock Option Exercised,83000000.0,,1000000.0,1000000.0
Net Other Financing Charges,541000000.0,-10000000.0,-27000000.0,-20000000.0
End Cash Position,1979000000.0,3933000000.0,1499000000.0,1413000000.0
Changes In Cash,-1955000000.0,2430000000.0,90000000.0,-104000000.0
Effect Of Exchange Rate Changes,1000000.0,4000000.0,-4000000.0,2000000.0
Beginning Cash Position,3933000000.0,1499000000.0,1413000000.0,1515000000.0
Capital Expenditure,-270000000.0,-228000000.0,-458000000.0,-629000000.0
Issuance Of Debt,0.0,3202000000.0,665000000.0,264000000.0
Repayment Of Debt,-1728000000.0,-2499000000.0,-973000000.0,-253000000.0
Repurchase Of Capital Stock,-1964000000.0,0.0,0.0,-198000000.0
Free Cash Flow,1222000000.0,1811000000.0,778000000.0,748000000.0
