,2022-09-30,2021-09-30,2020-09-30,2019-09-30
Operating Cash Flow,1956700000.0,1245400000.0,1021400000.0,201600000.0
Cash Flow From Continuing Operating Activities,1956700000.0,1245400000.0,1021400000.0,201600000.0
Net Income From Continuing Operations,1333200000.0,2094600000.0,787100000.0,1205500000.0
Operating Gains Losses,134300000.0,-546200000.0,134900000.0,36700000.0
Gain Loss On Investment Securities,170500000.0,-391900000.0,36800000.0,26300000.0
Earnings Losses From Equity Investments,-36200000.0,-154300000.0,98100000.0,10400000.0
Depreciation Amortization Depletion,377800000.0,310600000.0,128500000.0,93400000.0
Depreciation And Amortization,377800000.0,310600000.0,128500000.0,93400000.0
Depreciation,95800000.0,78600000.0,74500000.0,
Amortization Cash Flow,282000000.0,232000000.0,54000000.0,
Amortization Of Intangibles,282000000.0,232000000.0,54000000.0,
Deferred Tax,98000000.0,3700000.0,-7100000.0,-1300000.0
Deferred Income Tax,98000000.0,3700000.0,-7100000.0,-1300000.0
Asset Impairment Charge,0.0,0.0,55400000.0,
Stock Based Compensation,208200000.0,171900000.0,122300000.0,111500000.0
Other Non Cash Items,-266000000.0,-686800000.0,-692700000.0,-1386700000.0
Change In Working Capital,71200000.0,-102400000.0,493000000.0,142500000.0
Change In Receivables,-86700000.0,-182500000.0,131500000.0,-68500000.0
Change In Payables And Accrued Expense,-120100000.0,-47500000.0,-183600000.0,-20900000.0
Change In Payable,-120100000.0,-47500000.0,-183600000.0,-20900000.0
Change In Tax Payable,-180100000.0,-12500000.0,-123000000.0,-210100000.0
Change In Income Tax Payable,-180100000.0,-12500000.0,-123000000.0,-210100000.0
Change In Account Payable,60000000.0,-26800000.0,-26800000.0,233100000.0
Change In Other Current Assets,-3700000.0,12800000.0,554700000.0,142500000.0
Change In Other Working Capital,281700000.0,114800000.0,-9600000.0,89400000.0
Investing Cash Flow,-3329200000.0,-2615900000.0,-3243100000.0,-1077100000.0
Cash Flow From Continuing Investing Activities,-3329200000.0,-2615900000.0,-3243100000.0,-1077100000.0
Net PPE Purchase And Sale,-90300000.0,-79300000.0,-103700000.0,-233700000.0
Purchase Of PPE,-90300000.0,-79300000.0,-103700000.0,-233700000.0
Net Business Purchase And Sale,-1354700000.0,-9000000.0,-3821400000.0,-684200000.0
Purchase Of Business,-1354700000.0,-9000000.0,-3821400000.0,-684200000.0
Net Investment Purchase And Sale,-1904100000.0,-2590600000.0,722600000.0,-159200000.0
Purchase Of Investment,-4918100000.0,-4808800000.0,-249400000.0,-502400000.0
Sale Of Investment,3014000000.0,2218200000.0,972000000.0,343200000.0
Net Other Investing Changes,19900000.0,63000000.0,-40600000.0,
Financing Cash Flow,1585000000.0,2030100000.0,194200000.0,-40500000.0
Cash Flow From Continuing Financing Activities,1585000000.0,2030100000.0,194200000.0,-40500000.0
Net Issuance Payments Of Debt,2138600000.0,2066100000.0,494100000.0,18100000.0
Net Long Term Debt Issuance,2138600000.0,2066100000.0,494100000.0,18100000.0
Long Term Debt Issuance,5184400000.0,4131800000.0,635400000.0,21600000.0
Long Term Debt Payments,-3045800000.0,-2065700000.0,-141300000.0,-3500000.0
Net Common Stock Issuance,-155700000.0,-185900000.0,-197600000.0,-731200000.0
Common Stock Issuance,25100000.0,22300000.0,20600000.0,23300000.0
Common Stock Payments,-180800000.0,-208200000.0,-218200000.0,-754500000.0
Cash Dividends Paid,-583100000.0,-559700000.0,-533200000.0,-518600000.0
Common Stock Dividend Paid,-583100000.0,-559700000.0,-533200000.0,-518600000.0
Net Other Financing Charges,185200000.0,709600000.0,430900000.0,1191200000.0
End Cash Position,4782500000.0,4647200000.0,3957500000.0,5957600000.0
Changes In Cash,212500000.0,659600000.0,-2027500000.0,-916000000.0
Effect Of Exchange Rate Changes,-77200000.0,-2200000.0,27400000.0,-37000000.0
Beginning Cash Position,4647200000.0,3989800000.0,5957600000.0,6910600000.0
Income Tax Paid Supplemental Data,467500000.0,498000000.0,359400000.0,520800000.0
Interest Paid Supplemental Data,281500000.0,219400000.0,28800000.0,29700000.0
Capital Expenditure,-90300000.0,-79300000.0,-103700000.0,-233700000.0
Issuance Of Capital Stock,25100000.0,22300000.0,20600000.0,23300000.0
Issuance Of Debt,5184400000.0,4131800000.0,635400000.0,21600000.0
Repayment Of Debt,-3045800000.0,-2065700000.0,-141300000.0,-3500000.0
Repurchase Of Capital Stock,-180800000.0,-208200000.0,-218200000.0,-754500000.0
Free Cash Flow,1866400000.0,1166100000.0,917700000.0,-32100000.0
