,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,2838000000.0,5038000000.0,96000000.0,5996000000.0
Cash Flow From Continuing Operating Activities,2838000000.0,5038000000.0,96000000.0,5996000000.0
Net Income From Continuing Operations,3759000000.0,3617000000.0,4441000000.0,4266000000.0
Operating Gains Losses,-11000000.0,-58000000.0,-27000000.0,-7000000.0
Gain Loss On Investment Securities,-5000000.0,-33000000.0,18000000.0,48000000.0
Pension And Employee Benefit Expense,-6000000.0,-25000000.0,-45000000.0,-55000000.0
Depreciation Amortization Depletion,1867000000.0,1630000000.0,1315000000.0,1339000000.0
Depreciation And Amortization,1867000000.0,1630000000.0,1315000000.0,1339000000.0
Deferred Tax,257000000.0,-193000000.0,-69000000.0,-525000000.0
Deferred Income Tax,257000000.0,-193000000.0,-69000000.0,-525000000.0
Change In Working Capital,-2803000000.0,-294000000.0,-5539000000.0,934000000.0
Change In Payables And Accrued Expense,,202000000.0,-372000000.0,1508000000.0
Change In Accrued Expense,,202000000.0,-372000000.0,1508000000.0
Change In Other Working Capital,-2803000000.0,-294000000.0,-5539000000.0,934000000.0
Investing Cash Flow,19672000000.0,-78455000000.0,-10548000000.0,3299000000.0
Cash Flow From Continuing Investing Activities,19672000000.0,-78455000000.0,-10548000000.0,3299000000.0
Capital Expenditure Reported,,-1222000000.0,-1210000000.0,-1108000000.0
Net PPE Purchase And Sale,-1181000000.0,-1222000000.0,-1210000000.0,-1085000000.0
Purchase Of PPE,-1215000000.0,-1222000000.0,-1210000000.0,-1108000000.0
Sale Of PPE,34000000.0,0.0,0.0,23000000.0
Net Business Purchase And Sale,-162000000.0,0.0,0.0,84000000.0
Purchase Of Business,-170000000.0,,,0.0
Sale Of Business,8000000.0,0.0,0.0,84000000.0
Net Investment Purchase And Sale,-6237000000.0,-30291000000.0,-529000000.0,-1711000000.0
Purchase Of Investment,-63160000000.0,-98081000000.0,-55257000000.0,-37400000000.0
Sale Of Investment,56923000000.0,67790000000.0,54728000000.0,35689000000.0
Net Other Investing Changes,1070000000.0,-728000000.0,676000000.0,-153000000.0
Financing Cash Flow,-21962000000.0,75508000000.0,9459000000.0,-8098000000.0
Cash Flow From Continuing Financing Activities,-21962000000.0,75508000000.0,9459000000.0,-8098000000.0
Net Issuance Payments Of Debt,933000000.0,-6436000000.0,-2888000000.0,521000000.0
Net Long Term Debt Issuance,536000000.0,-2207000000.0,-2257000000.0,1493000000.0
Long Term Debt Issuance,5186000000.0,2993000000.0,2993000000.0,5143000000.0
Long Term Debt Payments,-4650000000.0,-5200000000.0,-5250000000.0,-3650000000.0
Net Short Term Debt Issuance,397000000.0,-4229000000.0,-631000000.0,-972000000.0
Net Common Stock Issuance,-4554000000.0,-977000000.0,-3306000000.0,-3229000000.0
Common Stock Issuance,13000000.0,12000000.0,21000000.0,40000000.0
Common Stock Payments,-4567000000.0,-989000000.0,-3327000000.0,-3269000000.0
Net Preferred Stock Issuance,287000000.0,984000000.0,,0.0
Preferred Stock Issuance,1287000000.0,1567000000.0,,0.0
Preferred Stock Payments,-1000000000.0,-583000000.0,,
Cash Dividends Paid,-1323000000.0,-1296000000.0,-1289000000.0,-1221000000.0
Common Stock Dividend Paid,-1126000000.0,-1117000000.0,-1120000000.0,-1052000000.0
Preferred Stock Dividend Paid,-197000000.0,-179000000.0,-169000000.0,-169000000.0
Proceeds From Stock Option Exercised,50000000.0,46000000.0,65000000.0,80000000.0
Net Other Financing Charges,123000000.0,6025000000.0,-964000000.0,-455000000.0
End Cash Position,9883000000.0,9419000000.0,7267000000.0,8258000000.0
Changes In Cash,548000000.0,2091000000.0,-993000000.0,1197000000.0
Effect Of Exchange Rate Changes,-84000000.0,61000000.0,2000000.0,-72000000.0
Beginning Cash Position,9419000000.0,7267000000.0,8258000000.0,7133000000.0
Income Tax Paid Supplemental Data,473000000.0,1341000000.0,989000000.0,983000000.0
Interest Paid Supplemental Data,233000000.0,1236000000.0,4400000000.0,2711000000.0
Capital Expenditure,-1215000000.0,-1222000000.0,-1210000000.0,-1108000000.0
Issuance Of Capital Stock,1300000000.0,1579000000.0,21000000.0,40000000.0
Issuance Of Debt,5186000000.0,2993000000.0,2993000000.0,5143000000.0
Repayment Of Debt,-4650000000.0,-5200000000.0,-5250000000.0,-3650000000.0
Repurchase Of Capital Stock,-5567000000.0,-1572000000.0,-3327000000.0,-3269000000.0
Free Cash Flow,1623000000.0,3816000000.0,-1114000000.0,4888000000.0
