,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,2820000000.0,85000000.0,4865000000.0,5338000000.0
Cash Flow From Continuing Operating Activities,2820000000.0,85000000.0,4865000000.0,5338000000.0
Net Income From Continuing Operations,1165000000.0,59000000.0,4865000000.0,3998000000.0
Operating Gains Losses,676000000.0,-1611000000.0,,
Net Foreign Currency Exchange Gain Loss,-135000000.0,200000000.0,,
Gain Loss On Investment Securities,569000000.0,-1811000000.0,,
Depreciation Amortization Depletion,599000000.0,642000000.0,641000000.0,426000000.0
Depreciation And Amortization,599000000.0,642000000.0,641000000.0,426000000.0
Depreciation,599000000.0,642000000.0,641000000.0,248000000.0
Amortization Cash Flow,,,,178000000.0
Amortization Of Intangibles,,,,178000000.0
Deferred Tax,-445000000.0,213000000.0,122000000.0,-150000000.0
Deferred Income Tax,-445000000.0,213000000.0,122000000.0,-150000000.0
Asset Impairment Charge,0.0,1162000000.0,,0.0
Provisionand Write Offof Assets,109000000.0,319000000.0,138000000.0,163000000.0
Unrealized Gain Loss On Investment Securities,,,-745000000.0,367000000.0
Stock Based Compensation,376000000.0,255000000.0,325000000.0,331000000.0
Excess Tax Benefit From Stock Based Compensation,,,,0.0
Other Non Cash Items,71000000.0,66000000.0,58000000.0,78000000.0
Change In Working Capital,269000000.0,-1020000000.0,-539000000.0,125000000.0
Change In Receivables,-1002000000.0,891000000.0,-323000000.0,-319000000.0
Changes In Account Receivables,-1002000000.0,891000000.0,-323000000.0,-319000000.0
Change In Prepaid Assets,6000000.0,161000000.0,-263000000.0,-201000000.0
Change In Payables And Accrued Expense,,,480000000.0,635000000.0
Change In Other Working Capital,1265000000.0,-2072000000.0,-433000000.0,10000000.0
Investing Cash Flow,-998000000.0,2637000000.0,7050000000.0,2215000000.0
Cash Flow From Continuing Investing Activities,-998000000.0,2637000000.0,7050000000.0,2215000000.0
Net PPE Purchase And Sale,-304000000.0,-286000000.0,-368000000.0,-442000000.0
Purchase Of PPE,-304000000.0,-286000000.0,-368000000.0,-442000000.0
Net Intangibles Purchase And Sale,,,,0.0
Purchase Of Intangibles,,,,0.0
Net Business Purchase And Sale,-1185000000.0,0.0,-9000000.0,-273000000.0
Purchase Of Business,-1185000000.0,0.0,-9000000.0,-273000000.0
Net Investment Purchase And Sale,491000000.0,2923000000.0,7427000000.0,2930000000.0
Purchase Of Investment,-17000000.0,-74000000.0,-672000000.0,-2686000000.0
Sale Of Investment,508000000.0,2997000000.0,8099000000.0,5616000000.0
Financing Cash Flow,-1239000000.0,1528000000.0,-8220000000.0,-7431000000.0
Cash Flow From Continuing Financing Activities,-1239000000.0,1528000000.0,-8220000000.0,-7431000000.0
Net Issuance Payments Of Debt,-1053000000.0,4108000000.0,-25000000.0,-1462000000.0
Net Long Term Debt Issuance,-1053000000.0,4108000000.0,0.0,-1487000000.0
Long Term Debt Issuance,2015000000.0,4108000000.0,0.0,0.0
Long Term Debt Payments,-3068000000.0,0.0,0.0,-1487000000.0
Net Short Term Debt Issuance,0.0,0.0,-25000000.0,25000000.0
Short Term Debt Issuance,0.0,0.0,400000000.0,25000000.0
Short Term Debt Payments,0.0,0.0,-425000000.0,
Net Common Stock Issuance,-163000000.0,-1303000000.0,-8187000000.0,-5971000000.0
Common Stock Payments,-163000000.0,-1303000000.0,-8187000000.0,-5971000000.0
Proceeds From Stock Option Exercised,,,,2000000.0
Net Other Financing Charges,-23000000.0,-1277000000.0,-8000000.0,
End Cash Position,11152000000.0,10582000000.0,6332000000.0,2645000000.0
Changes In Cash,583000000.0,4250000000.0,3695000000.0,122000000.0
Effect Of Exchange Rate Changes,-13000000.0,0.0,-8000000.0,-40000000.0
Beginning Cash Position,10582000000.0,6332000000.0,2645000000.0,2563000000.0
Income Tax Paid Supplemental Data,735000000.0,319000000.0,1074000000.0,1169000000.0
Interest Paid Supplemental Data,318000000.0,278000000.0,221000000.0,219000000.0
Capital Expenditure,-304000000.0,-286000000.0,-368000000.0,-442000000.0
Issuance Of Debt,2015000000.0,4108000000.0,400000000.0,25000000.0
Repayment Of Debt,-3068000000.0,0.0,-425000000.0,-1487000000.0
Repurchase Of Capital Stock,-163000000.0,-1303000000.0,-8187000000.0,-5971000000.0
Free Cash Flow,2516000000.0,-201000000.0,4497000000.0,4896000000.0
