,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Operating Cash Flow,443500000.0,640100000.0,598200000.0,616900000.0
Cash Flow From Continuing Operating Activities,443400000.0,640000000.0,598200000.0,616900000.0
Net Income From Continuing Operations,539100000.0,547500000.0,462500000.0,482100000.0
Operating Gains Losses,,-66700000.0,,
Gain Loss On Investment Securities,,-66700000.0,,
Depreciation Amortization Depletion,332600000.0,221100000.0,196700000.0,172600000.0
Depreciation And Amortization,332600000.0,221100000.0,196700000.0,172600000.0
Depreciation,43300000.0,67400000.0,73800000.0,85200000.0
Amortization Cash Flow,289300000.0,153700000.0,122900000.0,87400000.0
Amortization Of Intangibles,289300000.0,153700000.0,122900000.0,87400000.0
Deferred Tax,50700000.0,52000000.0,29000000.0,-3500000.0
Deferred Income Tax,50700000.0,52000000.0,29000000.0,-3500000.0
Asset Impairment Charge,39500000.0,31400000.0,30400000.0,
Stock Based Compensation,68400000.0,58600000.0,60800000.0,58400000.0
Excess Tax Benefit From Stock Based Compensation,,,,0.0
Other Non Cash Items,113600000.0,82000000.0,75700000.0,49800000.0
Change In Working Capital,-700400000.0,-285800000.0,-256900000.0,-142500000.0
Change In Receivables,-85400000.0,-42400000.0,-33500000.0,-34900000.0
Changes In Account Receivables,-85400000.0,-42400000.0,-33500000.0,-34900000.0
Change In Payables And Accrued Expense,-26700000.0,144300000.0,58600000.0,-10900000.0
Change In Other Current Assets,-684700000.0,-484100000.0,-370600000.0,-195600000.0
Change In Other Current Liabilities,66200000.0,84000000.0,76400000.0,83800000.0
Change In Other Working Capital,30200000.0,12400000.0,12200000.0,15100000.0
Investing Cash Flow,-110400000.0,-2653700000.0,-441700000.0,-433500000.0
Cash Flow From Continuing Investing Activities,-110400000.0,-2653700000.0,-441700000.0,-433500000.0
Capital Expenditure Reported,-29000000.0,-51900000.0,-62700000.0,-50600000.0
Net Intangibles Purchase And Sale,-44100000.0,-48800000.0,-36000000.0,-22000000.0
Purchase Of Intangibles,-44100000.0,-48800000.0,-36000000.0,-22000000.0
Net Business Purchase And Sale,-13300000.0,-2603600000.0,-339100000.0,-354700000.0
Purchase Of Business,-13300000.0,-2603600000.0,-339100000.0,-354700000.0
Net Investment Purchase And Sale,0.0,66700000.0,,
Sale Of Investment,0.0,66700000.0,,
Net Other Investing Changes,-24000000.0,-16100000.0,-3900000.0,-6200000.0
Financing Cash Flow,-370800000.0,1797800000.0,51200000.0,-173000000.0
Cash Flow From Continuing Financing Activities,-370800000.0,1797800000.0,51200000.0,-173000000.0
Net Issuance Payments Of Debt,-95500000.0,2094300000.0,329100000.0,415700000.0
Net Long Term Debt Issuance,-95500000.0,2094300000.0,329100000.0,415700000.0
Long Term Debt Issuance,670000000.0,4325000000.0,1621900000.0,803100000.0
Long Term Debt Payments,-765500000.0,-2230700000.0,-1292800000.0,-387400000.0
Net Common Stock Issuance,-22800000.0,-21500000.0,-69300000.0,-397800000.0
Common Stock Payments,-22800000.0,-21500000.0,-69300000.0,-397800000.0
Cash Dividends Paid,-290700000.0,-261700000.0,-241000000.0,-211200000.0
Common Stock Dividend Paid,-290700000.0,-261700000.0,-241000000.0,-211200000.0
Proceeds From Stock Option Exercised,60200000.0,35300000.0,41800000.0,31100000.0
Net Other Financing Charges,-22000000.0,-48600000.0,-9400000.0,-10800000.0
End Cash Position,224700000.0,274500000.0,476600000.0,273200000.0
Changes In Cash,-37600000.0,-215900000.0,207700000.0,10400000.0
Effect Of Exchange Rate Changes,-12200000.0,13800000.0,-4300000.0,-1100000.0
Beginning Cash Position,274500000.0,476600000.0,273200000.0,263900000.0
Income Tax Paid Supplemental Data,77400000.0,98000000.0,100900000.0,119500000.0
Interest Paid Supplemental Data,82300000.0,56000000.0,58500000.0,43400000.0
Capital Expenditure,-73100000.0,-100700000.0,-98700000.0,-72600000.0
Issuance Of Debt,670000000.0,4325000000.0,1621900000.0,803100000.0
Repayment Of Debt,-765500000.0,-2230700000.0,-1292800000.0,-387400000.0
Repurchase Of Capital Stock,-22800000.0,-21500000.0,-69300000.0,-397800000.0
Free Cash Flow,370400000.0,539400000.0,499500000.0,544300000.0
