,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,1133227000.0,1156840000.0,1181165000.0,1150245000.0
Cash Flow From Continuing Operating Activities,1133227000.0,1156840000.0,1181165000.0,1150245000.0
Net Income From Continuing Operations,631932000.0,1018691000.0,651999000.0,712563000.0
Operating Gains Losses,-90034000.0,-539133000.0,-24941000.0,-166706000.0
Gain Loss On Sale Of Business,,,,0.0
Gain Loss On Investment Securities,-129286000.0,-624243000.0,-7126000.0,-180491000.0
Earnings Losses From Equity Investments,2570000.0,85110000.0,-46592000.0,-2222000.0
Depreciation Amortization Depletion,720852000.0,685985000.0,680176000.0,645649000.0
Depreciation And Amortization,720852000.0,685985000.0,680176000.0,645649000.0
Depreciation,720852000.0,685985000.0,680176000.0,
Asset Impairment Charge,0.0,0.0,24038000.0,11812000.0
Provisionand Write Offof Assets,-1207000.0,1849000.0,,
Stock Based Compensation,50860000.0,44142000.0,40958000.0,40117000.0
Other Non Cash Items,23368000.0,23384000.0,22254000.0,21303000.0
Change In Working Capital,-224086000.0,-109970000.0,-230474000.0,-121196000.0
Change In Receivables,-97273000.0,-74568000.0,-81689000.0,-14471000.0
Changes In Account Receivables,4820000.0,22550000.0,-24876000.0,29204000.0
Change In Prepaid Assets,-20811000.0,12488000.0,2965000.0,12472000.0
Change In Payables And Accrued Expense,9186000.0,12152000.0,13485000.0,6590000.0
Change In Payable,20025000.0,-4059000.0,12627000.0,1353000.0
Change In Account Payable,20025000.0,-4059000.0,12627000.0,1353000.0
Change In Accrued Expense,-10839000.0,16211000.0,858000.0,5237000.0
Change In Interest Payable,-10839000.0,16211000.0,858000.0,5237000.0
Change In Other Current Liabilities,-52338000.0,19730000.0,-47953000.0,4955000.0
Change In Other Working Capital,-62850000.0,-79772000.0,-117282000.0,-130742000.0
Dividend Received Cfo,21542000.0,31892000.0,17155000.0,6703000.0
Investing Cash Flow,-1039956000.0,-613719000.0,-1015091000.0,-1098876000.0
Cash Flow From Continuing Investing Activities,-1039956000.0,-613719000.0,-1015091000.0,-1098876000.0
Net Business Purchase And Sale,-80363000.0,-172436000.0,-87392000.0,-345717000.0
Purchase Of Business,-98152000.0,-172436000.0,-87392000.0,-345717000.0
Sale Of Business,17789000.0,,,0.0
Net Investment Properties Purchase And Sale,-971201000.0,-495729000.0,-1041806000.0,-652802000.0
Purchase Of Investment Properties,-1151088000.0,-1015032000.0,-1132630000.0,-1108211000.0
Sale Of Investment Properties,179887000.0,519303000.0,90824000.0,455409000.0
Net Investment Purchase And Sale,1451000.0,2551000.0,-2132000.0,-902000.0
Purchase Of Investment,,,-2132000.0,-902000.0
Sale Of Investment,,2551000.0,,
Dividends Received Cfi,122000.0,55298000.0,136807000.0,0.0
Net Other Investing Changes,10035000.0,-3403000.0,-20568000.0,-99455000.0
Financing Cash Flow,-1311442000.0,484322000.0,-113379000.0,82453000.0
Cash Flow From Continuing Financing Activities,-1311442000.0,484322000.0,-113379000.0,82453000.0
Net Issuance Payments Of Debt,-130162000.0,1230957000.0,802194000.0,730946000.0
Net Long Term Debt Issuance,-275162000.0,1230957000.0,802194000.0,775946000.0
Long Term Debt Issuance,2898634000.0,1248125000.0,1548106000.0,1496410000.0
Long Term Debt Payments,-3173796000.0,-17168000.0,-745912000.0,-720464000.0
Net Short Term Debt Issuance,145000000.0,0.0,0.0,-45000000.0
Short Term Debt Issuance,770000000.0,265000000.0,380000000.0,745000000.0
Short Term Debt Payments,-625000000.0,-265000000.0,-380000000.0,-790000000.0
Net Common Stock Issuance,24214000.0,3277000.0,13710000.0,-730000.0
Common Stock Issuance,24214000.0,3277000.0,13710000.0,
Common Stock Payments,,,,-730000.0
Net Preferred Stock Issuance,-200000000.0,,,
Preferred Stock Payments,-200000000.0,,,
Cash Dividends Paid,-683753000.0,-688904000.0,-666294000.0,-587628000.0
Net Other Financing Charges,-321741000.0,-61008000.0,-262989000.0,-60135000.0
End Cash Position,501158000.0,1719329000.0,691886000.0,639191000.0
Changes In Cash,-1218171000.0,1027443000.0,52695000.0,133822000.0
Beginning Cash Position,1719329000.0,691886000.0,639191000.0,505369000.0
Interest Paid Supplemental Data,465442000.0,433492000.0,439059000.0,416019000.0
Issuance Of Capital Stock,24214000.0,3277000.0,13710000.0,
Issuance Of Debt,3668634000.0,1513125000.0,1928106000.0,2241410000.0
Repayment Of Debt,-3798796000.0,-282168000.0,-1125912000.0,-1510464000.0
Repurchase Of Capital Stock,-200000000.0,,,-730000.0
Free Cash Flow,1133227000.0,1156840000.0,1181165000.0,1150245000.0
