,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,11149000000.0,9785000000.0,6342000000.0,5480000000.0
Cash Flow From Continuing Operating Activities,11149000000.0,9785000000.0,6342000000.0,5480000000.0
Net Income From Continuing Operations,8539000000.0,3533000000.0,4454000000.0,3962000000.0
Operating Gains Losses,-3585000000.0,498000000.0,530000000.0,652000000.0
Gain Loss On Investment Securities,-1152000000.0,498000000.0,530000000.0,652000000.0
Earnings Losses From Equity Investments,-2433000000.0,,,
Depreciation And Amortization,287000000.0,290000000.0,305000000.0,339000000.0
Amortization Cash Flow,287000000.0,290000000.0,305000000.0,339000000.0
Amortization Of Intangibles,287000000.0,290000000.0,305000000.0,339000000.0
Deferred Tax,-74000000.0,-333000000.0,-97000000.0,16000000.0
Deferred Income Tax,-74000000.0,-333000000.0,-97000000.0,16000000.0
Amortization Of Securities,332000000.0,367000000.0,395000000.0,592000000.0
Other Non Cash Items,-219000000.0,-260000000.0,38000000.0,-351000000.0
Change In Working Capital,5869000000.0,5690000000.0,717000000.0,270000000.0
Change In Receivables,-2937000000.0,-450000000.0,568000000.0,-2146000000.0
Changes In Account Receivables,-2937000000.0,-450000000.0,568000000.0,-2146000000.0
Change In Payables And Accrued Expense,1166000000.0,483000000.0,-516000000.0,1258000000.0
Change In Payable,1166000000.0,483000000.0,-516000000.0,1258000000.0
Change In Tax Payable,48000000.0,46000000.0,-7000000.0,161000000.0
Change In Income Tax Payable,48000000.0,46000000.0,-7000000.0,161000000.0
Change In Account Payable,1118000000.0,437000000.0,-509000000.0,1097000000.0
Investing Cash Flow,-6659000000.0,-7521000000.0,-5905000000.0,-2935000000.0
Cash Flow From Continuing Investing Activities,-6659000000.0,-7521000000.0,-5905000000.0,-2935000000.0
Net Business Purchase And Sale,-3655000000.0,-3547000000.0,-1344000000.0,-1337000000.0
Purchase Of Business,-3655000000.0,-3547000000.0,-1315000000.0,-1337000000.0
Sale Of Business,,907000000.0,1390000000.0,980000000.0
Net Investment Purchase And Sale,-4088000000.0,-4411000000.0,-4714000000.0,-2045000000.0
Purchase Of Investment,-32202000000.0,-33113000000.0,-28426000000.0,-25382000000.0
Sale Of Investment,28114000000.0,28702000000.0,23712000000.0,23337000000.0
Dividends Received Cfi,1421000000.0,907000000.0,1390000000.0,980000000.0
Net Other Investing Changes,-337000000.0,-470000000.0,-1237000000.0,-533000000.0
Financing Cash Flow,-4409000000.0,-2082000000.0,-151000000.0,-1991000000.0
Cash Flow From Continuing Financing Activities,-4409000000.0,-2082000000.0,-151000000.0,-1991000000.0
Net Issuance Payments Of Debt,1576000000.0,-313000000.0,2318000000.0,170000000.0
Net Long Term Debt Issuance,1576000000.0,-313000000.0,2318000000.0,170000000.0
Long Term Debt Issuance,1576000000.0,988000000.0,2828000000.0,2171000000.0
Long Term Debt Payments,0.0,-1301000000.0,-510000000.0,-2001000000.0
Net Common Stock Issuance,-4861000000.0,-523000000.0,-1530000000.0,-1044000000.0
Common Stock Payments,-4861000000.0,-523000000.0,-1530000000.0,-1044000000.0
Cash Dividends Paid,-1401000000.0,-1388000000.0,-1354000000.0,-1337000000.0
Common Stock Dividend Paid,-1401000000.0,-1388000000.0,-1354000000.0,-1337000000.0
Proceeds From Stock Option Exercised,300000000.0,145000000.0,204000000.0,115000000.0
Net Other Financing Charges,-23000000.0,-3000000.0,211000000.0,95000000.0
End Cash Position,1811000000.0,1836000000.0,1646000000.0,1340000000.0
Changes In Cash,81000000.0,182000000.0,286000000.0,554000000.0
Effect Of Exchange Rate Changes,-106000000.0,8000000.0,20000000.0,-65000000.0
Beginning Cash Position,1836000000.0,1646000000.0,1340000000.0,851000000.0
Income Tax Paid Supplemental Data,1298000000.0,902000000.0,912000000.0,503000000.0
Interest Paid Supplemental Data,492000000.0,524000000.0,512000000.0,621000000.0
Issuance Of Debt,1576000000.0,988000000.0,2828000000.0,2171000000.0
Repayment Of Debt,0.0,-1301000000.0,-510000000.0,-2001000000.0
Repurchase Of Capital Stock,-4861000000.0,-523000000.0,-1530000000.0,-1044000000.0
Free Cash Flow,11149000000.0,9785000000.0,6342000000.0,5480000000.0
