,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,993800000.0,990300000.0,864500000.0,763600000.0
Cash Flow From Continuing Operating Activities,993800000.0,990300000.0,864500000.0,763600000.0
Net Income From Continuing Operations,827500000.0,785900000.0,615900000.0,568600000.0
Operating Gains Losses,-9400000.0,-9700000.0,-6600000.0,-9200000.0
Gain Loss On Sale Of PPE,,-3000000.0,,
Earnings Losses From Equity Investments,-9400000.0,-6700000.0,-6600000.0,-9200000.0
Pension And Employee Benefit Expense,,,0.0,0.0
Depreciation Amortization Depletion,219100000.0,189700000.0,176400000.0,141100000.0
Depreciation And Amortization,219100000.0,189700000.0,176400000.0,141100000.0
Depreciation,68400000.0,66200000.0,63800000.0,64400000.0
Amortization Cash Flow,150700000.0,123500000.0,112600000.0,76700000.0
Amortization Of Intangibles,150700000.0,123500000.0,112600000.0,76700000.0
Deferred Tax,20300000.0,25700000.0,5600000.0,11100000.0
Deferred Income Tax,20300000.0,25700000.0,5600000.0,11100000.0
Asset Impairment Charge,14900000.0,1900000.0,13800000.0,3600000.0
Stock Based Compensation,23700000.0,21500000.0,20800000.0,23300000.0
Excess Tax Benefit From Stock Based Compensation,,,,0.0
Other Non Cash Items,-94400000.0,-91400000.0,100000.0,1000000.0
Change In Working Capital,-17300000.0,59300000.0,33200000.0,14000000.0
Change In Receivables,2400000.0,-13400000.0,-9200000.0,-3400000.0
Changes In Account Receivables,2400000.0,-13400000.0,-9200000.0,-3400000.0
Change In Inventory,-29100000.0,-61900000.0,-33800000.0,-55100000.0
Change In Payables And Accrued Expense,31500000.0,180200000.0,76200000.0,48800000.0
Change In Payable,31500000.0,180200000.0,76200000.0,48800000.0
Change In Tax Payable,-16000000.0,12200000.0,3400000.0,-6100000.0
Change In Income Tax Payable,-16000000.0,12200000.0,3400000.0,-6100000.0
Change In Account Payable,47500000.0,168000000.0,72800000.0,54900000.0
Change In Other Current Assets,-6100000.0,-10200000.0,4900000.0,18900000.0
Change In Other Working Capital,-16000000.0,-35400000.0,-4900000.0,4800000.0
Dividend Received Cfo,9400000.0,7400000.0,5300000.0,10100000.0
Investing Cash Flow,-682000000.0,-608100000.0,-553500000.0,-112100000.0
Cash Flow From Continuing Investing Activities,-682000000.0,-608100000.0,-553500000.0,-112100000.0
Capital Expenditure Reported,-118800000.0,-98900000.0,-73700000.0,-60400000.0
Net PPE Purchase And Sale,-118800000.0,-98900000.0,-73700000.0,-60400000.0
Purchase Of PPE,-118800000.0,-98900000.0,-73700000.0,-60400000.0
Net Business Purchase And Sale,-556000000.0,-512700000.0,-475000000.0,-49800000.0
Purchase Of Business,-556000000.0,-512700000.0,-475000000.0,-49800000.0
Net Other Investing Changes,-7200000.0,3500000.0,-4800000.0,-1900000.0
Financing Cash Flow,-252100000.0,-360100000.0,-472900000.0,-609000000.0
Cash Flow From Continuing Financing Activities,-252100000.0,-360100000.0,-472900000.0,-609000000.0
Net Issuance Payments Of Debt,400700000.0,99000000.0,-49000000.0,-268800000.0
Net Long Term Debt Issuance,499200000.0,0.0,-300000000.0,0.0
Long Term Debt Issuance,799200000.0,0.0,300000000.0,0.0
Long Term Debt Payments,-300000000.0,0.0,-600000000.0,0.0
Net Short Term Debt Issuance,-98500000.0,99000000.0,251000000.0,-268800000.0
Short Term Debt Issuance,,99000000.0,251000000.0,
Short Term Debt Payments,,,,-268800000.0
Net Common Stock Issuance,-500000000.0,-300000000.0,-250000000.0,-200000000.0
Common Stock Payments,-500000000.0,-300000000.0,-250000000.0,-200000000.0
Cash Dividends Paid,-247500000.0,-237300000.0,-224100000.0,-213300000.0
Common Stock Dividend Paid,-247500000.0,-237300000.0,-224100000.0,-213300000.0
Proceeds From Stock Option Exercised,98700000.0,93000000.0,52800000.0,76600000.0
Net Other Financing Charges,-4000000.0,-14800000.0,-2600000.0,-3500000.0
End Cash Position,240600000.0,183100000.0,155700000.0,316700000.0
Changes In Cash,59700000.0,22100000.0,-161900000.0,42500000.0
Effect Of Exchange Rate Changes,-2200000.0,5300000.0,900000.0,-4700000.0
Beginning Cash Position,183100000.0,155700000.0,316700000.0,278900000.0
Income Tax Paid Supplemental Data,202800000.0,162100000.0,134800000.0,116800000.0
Interest Paid Supplemental Data,51800000.0,58800000.0,70600000.0,74900000.0
Capital Expenditure,-118800000.0,-98900000.0,-73700000.0,-60400000.0
Issuance Of Debt,799200000.0,99000000.0,551000000.0,0.0
Repayment Of Debt,-300000000.0,0.0,-600000000.0,-268800000.0
Repurchase Of Capital Stock,-500000000.0,-300000000.0,-250000000.0,-200000000.0
Free Cash Flow,875000000.0,891400000.0,790800000.0,703200000.0
