,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,3325000000.0,3719000000.0,3133000000.0,3056000000.0
Cash Flow From Continuing Operating Activities,3325000000.0,3719000000.0,3133000000.0,3056000000.0
Net Income From Continuing Operations,2338000000.0,2860000000.0,2527000000.0,2558000000.0
Operating Gains Losses,75000000.0,23000000.0,-113000000.0,-67000000.0
Gain Loss On Sale Of PPE,,,,0.0
Pension And Employee Benefit Expense,0.0,0.0,-113000000.0,-67000000.0
Depreciation Amortization Depletion,556000000.0,539000000.0,519000000.0,511000000.0
Depreciation And Amortization,556000000.0,539000000.0,519000000.0,511000000.0
Deferred Tax,-132000000.0,-120000000.0,17000000.0,107000000.0
Deferred Income Tax,-132000000.0,-120000000.0,17000000.0,107000000.0
Asset Impairment Charge,571000000.0,,,
Stock Based Compensation,135000000.0,107000000.0,100000000.0,109000000.0
Other Non Cash Items,-21000000.0,-71000000.0,18000000.0,-7000000.0
Change In Working Capital,-197000000.0,381000000.0,65000000.0,-155000000.0
Change In Receivables,-84000000.0,138000000.0,19000000.0,-79000000.0
Change In Inventory,-72000000.0,-251000000.0,-77000000.0,-58000000.0
Change In Payables And Accrued Expense,14000000.0,520000000.0,36000000.0,18000000.0
Change In Other Working Capital,-55000000.0,-26000000.0,87000000.0,-36000000.0
Investing Cash Flow,-592000000.0,-779000000.0,-2099000000.0,-1170000000.0
Cash Flow From Continuing Investing Activities,-592000000.0,-779000000.0,-2099000000.0,-1170000000.0
Capital Expenditure Reported,-567000000.0,-410000000.0,-335000000.0,-436000000.0
Net PPE Purchase And Sale,,,1000000.0,1000000.0
Sale Of PPE,,,1000000.0,1000000.0
Net Business Purchase And Sale,0.0,-353000000.0,-1711000000.0,-728000000.0
Purchase Of Business,0.0,-353000000.0,-1711000000.0,-728000000.0
Net Investment Purchase And Sale,0.0,-19000000.0,-53000000.0,-13000000.0
Purchase Of Investment,-141000000.0,-143000000.0,-184000000.0,-169000000.0
Sale Of Investment,141000000.0,124000000.0,131000000.0,156000000.0
Net Other Investing Changes,-25000000.0,3000000.0,-1000000.0,6000000.0
Financing Cash Flow,-2774000000.0,-2919000000.0,-870000000.0,-2679000000.0
Cash Flow From Continuing Financing Activities,-2774000000.0,-2919000000.0,-870000000.0,-2679000000.0
Net Issuance Payments Of Debt,-175000000.0,-564000000.0,1448000000.0,-179000000.0
Net Long Term Debt Issuance,-4000000.0,-1061000000.0,1448000000.0,-179000000.0
Long Term Debt Issuance,699000000.0,0.0,8059000000.0,7176000000.0
Long Term Debt Payments,-703000000.0,-1061000000.0,-6611000000.0,-7355000000.0
Net Short Term Debt Issuance,-171000000.0,497000000.0,,
Net Common Stock Issuance,-1320000000.0,-1476000000.0,-1202000000.0,-1238000000.0
Common Stock Payments,-1320000000.0,-1476000000.0,-1202000000.0,-1238000000.0
Cash Dividends Paid,-1679000000.0,-1654000000.0,-1614000000.0,-1591000000.0
Common Stock Dividend Paid,-1679000000.0,-1654000000.0,-1614000000.0,-1591000000.0
Proceeds From Stock Option Exercised,424000000.0,874000000.0,498000000.0,329000000.0
Net Other Financing Charges,-24000000.0,-99000000.0,,
End Cash Position,832000000.0,888000000.0,883000000.0,726000000.0
Changes In Cash,-41000000.0,21000000.0,164000000.0,-793000000.0
Effect Of Exchange Rate Changes,-15000000.0,-16000000.0,-7000000.0,-16000000.0
Beginning Cash Position,888000000.0,883000000.0,726000000.0,1535000000.0
Income Tax Paid Supplemental Data,890000000.0,845000000.0,803000000.0,847000000.0
Interest Paid Supplemental Data,194000000.0,188000000.0,185000000.0,194000000.0
Capital Expenditure,-567000000.0,-410000000.0,-335000000.0,-436000000.0
Issuance Of Debt,699000000.0,0.0,8059000000.0,7176000000.0
Repayment Of Debt,-703000000.0,-1061000000.0,-6611000000.0,-7355000000.0
Repurchase Of Capital Stock,-1320000000.0,-1476000000.0,-1202000000.0,-1238000000.0
Free Cash Flow,2758000000.0,3309000000.0,2798000000.0,2620000000.0
