,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,29146000000.0,24737000000.0,25697000000.0,24297000000.0
Cash Flow From Continuing Operating Activities,29147000000.0,24737000000.0,25697000000.0,24297000000.0
Net Income From Continuing Operations,13833000000.0,10701000000.0,13323000000.0,11862000000.0
Operating Gains Losses,-1311000000.0,-970000000.0,-20000000.0,576000000.0
Gain Loss On Investment Securities,-1311000000.0,-970000000.0,-20000000.0,576000000.0
Depreciation Amortization Depletion,13804000000.0,13100000000.0,12953000000.0,10676000000.0
Depreciation And Amortization,13804000000.0,13100000000.0,12953000000.0,10676000000.0
Depreciation,13804000000.0,,,
Deferred Tax,1892000000.0,-550000000.0,563000000.0,290000000.0
Deferred Income Tax,1892000000.0,-550000000.0,563000000.0,290000000.0
Stock Based Compensation,1315000000.0,1193000000.0,1021000000.0,826000000.0
Other Non Cash Items,481000000.0,697000000.0,417000000.0,364000000.0
Change In Working Capital,-868000000.0,566000000.0,-2560000000.0,-297000000.0
Change In Receivables,-1335000000.0,-20000000.0,-57000000.0,-802000000.0
Change In Payables And Accrued Expense,765000000.0,-266000000.0,-347000000.0,-394000000.0
Change In Other Current Assets,-680000000.0,-244000000.0,-929000000.0,-395000000.0
Change In Other Working Capital,382000000.0,1096000000.0,-1227000000.0,1294000000.0
Investing Cash Flow,-13446000000.0,-12047000000.0,-14841000000.0,-50854000000.0
Cash Flow From Continuing Investing Activities,-13446000000.0,-12047000000.0,-14841000000.0,-50854000000.0
Capital Expenditure Reported,-9174000000.0,-9179000000.0,-9953000000.0,-9774000000.0
Net Intangibles Purchase And Sale,-2883000000.0,-2455000000.0,-2475000000.0,-1935000000.0
Purchase Of Intangibles,-2883000000.0,-2455000000.0,-2475000000.0,-1935000000.0
Net Business Purchase And Sale,-1666000000.0,608000000.0,-600000000.0,-38538000000.0
Purchase Of Business,-2350000000.0,-1731000000.0,-1486000000.0,-38679000000.0
Sale Of Business,684000000.0,2339000000.0,886000000.0,141000000.0
Net Investment Properties Purchase And Sale,0.0,-459000000.0,-54000000.0,-143000000.0
Purchase Of Investment Properties,0.0,-459000000.0,-54000000.0,-143000000.0
Net Investment Purchase And Sale,-174000000.0,-812000000.0,-1899000000.0,-1257000000.0
Purchase Of Investment,-174000000.0,-812000000.0,-1899000000.0,-1257000000.0
Sale Of Investment,,,,141000000.0
Net Other Investing Changes,451000000.0,250000000.0,140000000.0,793000000.0
Financing Cash Flow,-18618000000.0,-6513000000.0,-9181000000.0,27140000000.0
Cash Flow From Continuing Financing Activities,-18618000000.0,-6513000000.0,-9181000000.0,27140000000.0
Net Issuance Payments Of Debt,-8870000000.0,-133000000.0,-4988000000.0,36362000000.0
Net Long Term Debt Issuance,-8870000000.0,-133000000.0,-3700000000.0,35983000000.0
Long Term Debt Issuance,2628000000.0,18644000000.0,10654000000.0,44781000000.0
Long Term Debt Payments,-11498000000.0,-18777000000.0,-14354000000.0,-8798000000.0
Net Short Term Debt Issuance,0.0,0.0,-1288000000.0,379000000.0
Net Common Stock Issuance,,,,0.0
Common Stock Issuance,,,,0.0
Cash Dividends Paid,-4532000000.0,-4140000000.0,-3735000000.0,-3352000000.0
Common Stock Dividend Paid,,-4140000000.0,-3735000000.0,-3352000000.0
Proceeds From Stock Option Exercised,-4672000000.0,-534000000.0,-504000000.0,-5320000000.0
Net Other Financing Charges,-544000000.0,-1706000000.0,46000000.0,-550000000.0
End Cash Position,8778000000.0,11768000000.0,5589000000.0,3909000000.0
Changes In Cash,-2919000000.0,6177000000.0,1675000000.0,583000000.0
Effect Of Exchange Rate Changes,-71000000.0,2000000.0,5000000.0,-245000000.0
Beginning Cash Position,11768000000.0,5589000000.0,3909000000.0,3571000000.0
Capital Expenditure,-12057000000.0,-11634000000.0,-12428000000.0,-11709000000.0
Issuance Of Capital Stock,,,,0.0
Issuance Of Debt,2628000000.0,18644000000.0,10654000000.0,44781000000.0
Repayment Of Debt,-11498000000.0,-18777000000.0,-14354000000.0,-8798000000.0
Free Cash Flow,17089000000.0,13103000000.0,13269000000.0,12588000000.0
