,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,1819000000.0,1276000000.0,1790000000.0,1703000000.0
Cash Flow From Continuing Operating Activities,1930000000.0,1276000000.0,1790000000.0,1703000000.0
Net Income From Continuing Operations,1330000000.0,752000000.0,682000000.0,659000000.0
Operating Gains Losses,-657000000.0,-712000000.0,-10000000.0,-252000000.0
Gain Loss On Sale Of Business,-657000000.0,,,
Pension And Employee Benefit Expense,,-712000000.0,-10000000.0,-252000000.0
Depreciation Amortization Depletion,1114000000.0,1048000000.0,992000000.0,933000000.0
Depreciation And Amortization,1114000000.0,1048000000.0,992000000.0,933000000.0
Deferred Tax,249000000.0,170000000.0,150000000.0,182000000.0
Deferred Income Tax,249000000.0,170000000.0,150000000.0,182000000.0
Asset Impairment Charge,22000000.0,90000000.0,67000000.0,54000000.0
Provisionand Write Offof Assets,,,,54000000.0
Other Non Cash Items,-82000000.0,-734000000.0,-68000000.0,-230000000.0
Change In Working Capital,-46000000.0,-50000000.0,-33000000.0,105000000.0
Change In Receivables,-103000000.0,-12000000.0,45000000.0,15000000.0
Change In Inventory,-93000000.0,28000000.0,44000000.0,14000000.0
Change In Payables And Accrued Expense,153000000.0,54000000.0,-69000000.0,22000000.0
Change In Payable,,,-69000000.0,22000000.0
Change In Account Payable,,,-69000000.0,22000000.0
Change In Other Working Capital,-3000000.0,-120000000.0,-53000000.0,54000000.0
Cash From Discontinued Operating Activities,-111000000.0,,,
Investing Cash Flow,-1233000000.0,-2867000000.0,-2816000000.0,-2606000000.0
Cash Flow From Continuing Investing Activities,-1311000000.0,-2867000000.0,-2816000000.0,-2606000000.0
Capital Expenditure Reported,-2076000000.0,-2317000000.0,-2104000000.0,-2074000000.0
Net PPE Purchase And Sale,-133000000.0,-73000000.0,-35000000.0,-146000000.0
Purchase Of PPE,-133000000.0,-131000000.0,-132000000.0,-146000000.0
Sale Of PPE,0.0,58000000.0,97000000.0,
Net Business Purchase And Sale,898000000.0,,,
Sale Of Business,898000000.0,,,
Net Investment Purchase And Sale,,0.0,0.0,146000000.0
Sale Of Investment,,0.0,0.0,146000000.0
Net Other Investing Changes,,-477000000.0,-677000000.0,-532000000.0
Cash From Discontinued Investing Activities,78000000.0,,,
Financing Cash Flow,-295000000.0,1619000000.0,1008000000.0,874000000.0
Cash Flow From Continuing Financing Activities,-211000000.0,1619000000.0,1008000000.0,874000000.0
Net Issuance Payments Of Debt,100000000.0,1495000000.0,1490000000.0,1276000000.0
Net Long Term Debt Issuance,100000000.0,1495000000.0,1497000000.0,1276000000.0
Long Term Debt Issuance,335000000.0,3505000000.0,2782000000.0,3280000000.0
Long Term Debt Payments,-235000000.0,-2010000000.0,-1285000000.0,-2004000000.0
Net Short Term Debt Issuance,,,-7000000.0,
Net Common Stock Issuance,26000000.0,253000000.0,12000000.0,41000000.0
Common Stock Issuance,26000000.0,253000000.0,12000000.0,41000000.0
Net Preferred Stock Issuance,224000000.0,,,
Preferred Stock Issuance,224000000.0,,,
Cash Dividends Paid,-509000000.0,-467000000.0,-436000000.0,-407000000.0
Net Other Financing Charges,-52000000.0,338000000.0,-58000000.0,-36000000.0
Cash From Discontinued Financing Activities,-84000000.0,,,
End Cash Position,476000000.0,185000000.0,157000000.0,175000000.0
Changes In Cash,291000000.0,28000000.0,-18000000.0,-29000000.0
Beginning Cash Position,185000000.0,157000000.0,175000000.0,204000000.0
Income Tax Paid Supplemental Data,16000000.0,,,-123000000.0
Interest Paid Supplemental Data,489000000.0,549000000.0,498000000.0,458000000.0
Capital Expenditure,-2209000000.0,-2448000000.0,-2236000000.0,-2220000000.0
Issuance Of Capital Stock,250000000.0,253000000.0,12000000.0,41000000.0
Issuance Of Debt,335000000.0,3505000000.0,2782000000.0,3280000000.0
Repayment Of Debt,-235000000.0,-2010000000.0,-1285000000.0,-2004000000.0
Free Cash Flow,-390000000.0,-1172000000.0,-446000000.0,-517000000.0
