,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,760799000.0,546575000.0,480936000.0,441140000.0
Cash Flow From Continuing Operating Activities,760799000.0,546575000.0,480936000.0,441140000.0
Net Income From Continuing Operations,398837000.0,365306000.0,254061000.0,227218000.0
Operating Gains Losses,35358000.0,-100861000.0,-20706000.0,-15928000.0
Gain Loss On Sale Of Business,-25026000.0,,0.0,0.0
Earnings Losses From Equity Investments,30420000.0,-100861000.0,-20706000.0,-15928000.0
Depreciation Amortization Depletion,265540000.0,234924000.0,198095000.0,161779000.0
Depreciation And Amortization,265540000.0,234924000.0,198095000.0,161779000.0
Deferred Tax,-24006000.0,-133000.0,-21895000.0,-9702000.0
Deferred Income Tax,-24006000.0,-133000.0,-21895000.0,-9702000.0
Asset Impairment Charge,,,0.0,0.0
Stock Based Compensation,71474000.0,56341000.0,57271000.0,47346000.0
Other Non Cash Items,-29346000.0,17273000.0,7931000.0,15613000.0
Change In Working Capital,42942000.0,-26275000.0,6179000.0,14814000.0
Change In Receivables,-26633000.0,-85627000.0,-8323000.0,-21196000.0
Changes In Account Receivables,,-85627000.0,-8323000.0,-21196000.0
Change In Inventory,-25159000.0,-18379000.0,-21399000.0,-13338000.0
Change In Payables And Accrued Expense,44901000.0,748000.0,29775000.0,-12732000.0
Change In Payable,44901000.0,748000.0,29775000.0,-12732000.0
Change In Tax Payable,,,,-8974000.0
Change In Income Tax Payable,,,,-8974000.0
Change In Account Payable,44901000.0,748000.0,29775000.0,-12732000.0
Change In Other Working Capital,49833000.0,76983000.0,6126000.0,62080000.0
Investing Cash Flow,-1437932000.0,-601544000.0,-681502000.0,-955003000.0
Cash Flow From Continuing Investing Activities,-1437932000.0,-601544000.0,-681502000.0,-955003000.0
Capital Expenditure Reported,-228772000.0,-166560000.0,-140514000.0,-140054000.0
Net Business Purchase And Sale,-1170401000.0,-418628000.0,-515701000.0,-824868000.0
Purchase Of Business,-1293095000.0,-418628000.0,-515701000.0,-824868000.0
Sale Of Business,122694000.0,,0.0,0.0
Net Investment Purchase And Sale,-39023000.0,-15291000.0,-21399000.0,10724000.0
Purchase Of Investment,-45555000.0,-26692000.0,-22341000.0,-25125000.0
Sale Of Investment,6532000.0,11401000.0,942000.0,35849000.0
Net Other Investing Changes,264000.0,-1065000.0,-3888000.0,-805000.0
Financing Cash Flow,672598000.0,47248000.0,231937000.0,558059000.0
Cash Flow From Continuing Financing Activities,672598000.0,47248000.0,231937000.0,558059000.0
Net Issuance Payments Of Debt,708236000.0,30588000.0,233873000.0,554025000.0
Net Long Term Debt Issuance,708236000.0,30588000.0,233873000.0,554025000.0
Long Term Debt Issuance,6951113000.0,2230988000.0,3358461000.0,2755028000.0
Long Term Debt Payments,-6242877000.0,-2200400000.0,-3124588000.0,-2201003000.0
Net Common Stock Issuance,-40707000.0,-23979000.0,-18087000.0,-13846000.0
Common Stock Payments,-40707000.0,-23979000.0,-18087000.0,-13846000.0
Proceeds From Stock Option Exercised,45652000.0,46586000.0,34546000.0,37657000.0
Net Other Financing Charges,-40583000.0,-5947000.0,-18395000.0,-19777000.0
Cash Flow From Discontinued Operation,,0.0,0.0,-3735000.0
End Cash Position,246314000.0,233119000.0,240046000.0,197318000.0
Changes In Cash,-4535000.0,-7721000.0,31371000.0,40461000.0
Effect Of Exchange Rate Changes,17730000.0,794000.0,11357000.0,-9474000.0
Beginning Cash Position,233119000.0,240046000.0,197318000.0,166331000.0
Income Tax Paid Supplemental Data,75441000.0,60059000.0,54060000.0,67600000.0
Interest Paid Supplemental Data,70775000.0,72461000.0,67813000.0,47540000.0
Capital Expenditure,-228772000.0,-166560000.0,-140514000.0,-140054000.0
Issuance Of Debt,6951113000.0,2230988000.0,3358461000.0,2755028000.0
Repayment Of Debt,-6242877000.0,-2200400000.0,-3124588000.0,-2201003000.0
Repurchase Of Capital Stock,-40707000.0,-23979000.0,-18087000.0,-13846000.0
Free Cash Flow,532027000.0,380015000.0,340422000.0,301086000.0
