,2022-01-31,2021-01-31,2020-01-31,2019-01-31
Operating Cash Flow,6000000000.0,4801000000.0,4331000000.0,3398000000.0
Cash Flow From Continuing Operating Activities,6000000000.0,4801000000.0,4331000000.0,3398000000.0
Net Income From Continuing Operations,1444000000.0,4072000000.0,126000000.0,1110000000.0
Operating Gains Losses,-1211000000.0,-2170000000.0,-261000000.0,-542000000.0
Gain Loss On Sale Of Business,0.0,0.0,166000000.0,
Gain Loss On Investment Securities,-1211000000.0,-2170000000.0,-427000000.0,-542000000.0
Earnings Losses From Equity Investments,,,-427000000.0,-542000000.0
Depreciation Amortization Depletion,3298000000.0,2846000000.0,2135000000.0,962000000.0
Depreciation And Amortization,3298000000.0,2846000000.0,2135000000.0,962000000.0
Deferred Tax,0.0,-2003000000.0,,
Deferred Income Tax,0.0,-2003000000.0,,
Stock Based Compensation,2779000000.0,2190000000.0,1785000000.0,1283000000.0
Other Non Cash Items,1348000000.0,1058000000.0,876000000.0,757000000.0
Change In Working Capital,-1658000000.0,-1192000000.0,-330000000.0,-172000000.0
Change In Receivables,-1824000000.0,-1556000000.0,-1000000000.0,-923000000.0
Changes In Account Receivables,-1824000000.0,-1556000000.0,-1000000000.0,-923000000.0
Change In Prepaid Assets,114000000.0,-133000000.0,-119000000.0,-58000000.0
Change In Payables And Accrued Expense,507000000.0,1100000000.0,982000000.0,287000000.0
Change In Payable,507000000.0,1100000000.0,15000000.0,74000000.0
Change In Account Payable,507000000.0,1100000000.0,15000000.0,74000000.0
Change In Accrued Expense,,,967000000.0,213000000.0
Change In Other Current Liabilities,-801000000.0,-830000000.0,-728000000.0,
Change In Other Working Capital,346000000.0,227000000.0,535000000.0,522000000.0
Investing Cash Flow,-14536000000.0,-3971000000.0,-2980000000.0,-5308000000.0
Cash Flow From Continuing Investing Activities,-14536000000.0,-3971000000.0,-2980000000.0,-5308000000.0
Capital Expenditure Reported,-717000000.0,-710000000.0,-643000000.0,-595000000.0
Net Business Purchase And Sale,-14876000000.0,-1281000000.0,-369000000.0,-5115000000.0
Purchase Of Business,-14876000000.0,-1281000000.0,-369000000.0,-5115000000.0
Net Investment Purchase And Sale,1057000000.0,-1980000000.0,-1968000000.0,402000000.0
Purchase Of Investment,-7392000000.0,-5902000000.0,-4625000000.0,-1430000000.0
Sale Of Investment,8449000000.0,3922000000.0,2657000000.0,1832000000.0
Financing Cash Flow,7838000000.0,1194000000.0,164000000.0,2010000000.0
Cash Flow From Continuing Financing Activities,7838000000.0,1194000000.0,164000000.0,2010000000.0
Net Issuance Payments Of Debt,6549000000.0,-127000000.0,-676000000.0,1306000000.0
Net Long Term Debt Issuance,6549000000.0,-127000000.0,-676000000.0,1306000000.0
Long Term Debt Issuance,7906000000.0,,0.0,2966000000.0
Long Term Debt Payments,-1357000000.0,-127000000.0,-676000000.0,-1660000000.0
Proceeds From Stock Option Exercised,1289000000.0,1321000000.0,840000000.0,704000000.0
Net Other Financing Charges,-156000000.0,-103000000.0,,
End Cash Position,5464000000.0,6195000000.0,4145000000.0,2669000000.0
Changes In Cash,-698000000.0,2024000000.0,1515000000.0,100000000.0
Effect Of Exchange Rate Changes,-33000000.0,26000000.0,-39000000.0,26000000.0
Beginning Cash Position,6195000000.0,4145000000.0,2669000000.0,2543000000.0
Income Tax Paid Supplemental Data,196000000.0,216000000.0,129000000.0,83000000.0
Interest Paid Supplemental Data,187000000.0,96000000.0,106000000.0,94000000.0
Capital Expenditure,-717000000.0,-710000000.0,-643000000.0,-595000000.0
Issuance Of Debt,7906000000.0,,0.0,2966000000.0
Repayment Of Debt,-1357000000.0,-127000000.0,-676000000.0,-1660000000.0
Free Cash Flow,5283000000.0,4091000000.0,3688000000.0,2803000000.0
