,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,469731000.0,486106000.0,457780000.0,335458000.0
Cash Flow From Continuing Operating Activities,469731000.0,486106000.0,457780000.0,335458000.0
Net Income From Continuing Operations,292564000.0,227128000.0,314963000.0,238334000.0
Operating Gains Losses,,,105000.0,73000.0
Gain Loss On Sale Of PPE,,,105000.0,73000.0
Depreciation Amortization Depletion,139558000.0,116944000.0,81165000.0,77743000.0
Depreciation And Amortization,139558000.0,116944000.0,81165000.0,77743000.0
Deferred Tax,24165000.0,-11530000.0,8220000.0,3666000.0
Deferred Income Tax,24165000.0,-11530000.0,8220000.0,3666000.0
Asset Impairment Charge,10928000.0,25212000.0,10978000.0,6542000.0
Provisionand Write Offof Assets,,25212000.0,,
Stock Based Compensation,63709000.0,53450000.0,52255000.0,41214000.0
Other Non Cash Items,93549000.0,88788000.0,77045000.0,49189000.0
Change In Working Capital,-154742000.0,-13886000.0,-86951000.0,-81303000.0
Change In Receivables,-29630000.0,-36118000.0,-5014000.0,-29746000.0
Changes In Account Receivables,-29630000.0,-36118000.0,-5014000.0,-27819000.0
Change In Prepaid Assets,-14873000.0,1936000.0,-14244000.0,-1651000.0
Change In Payables And Accrued Expense,-24191000.0,111198000.0,17174000.0,-4500000.0
Change In Payable,-24191000.0,111198000.0,17174000.0,-4500000.0
Change In Tax Payable,5860000.0,10352000.0,-577000.0,9632000.0
Change In Income Tax Payable,5860000.0,10352000.0,-577000.0,9632000.0
Change In Account Payable,-30051000.0,100846000.0,17751000.0,-14132000.0
Change In Other Current Assets,-502000.0,1762000.0,-648000.0,
Change In Other Current Liabilities,-30904000.0,-30497000.0,-25442000.0,
Change In Other Working Capital,-54642000.0,-62167000.0,-58777000.0,-45406000.0
Investing Cash Flow,-381343000.0,-464163000.0,-483753000.0,-448001000.0
Cash Flow From Continuing Investing Activities,-381343000.0,-464163000.0,-483753000.0,-448001000.0
Net PPE Purchase And Sale,-64608000.0,-48347000.0,-46197000.0,-29632000.0
Purchase Of PPE,-65220000.0,-48347000.0,-46197000.0,-29632000.0
Sale Of PPE,612000.0,,,
Net Business Purchase And Sale,-192971000.0,-426075000.0,-437556000.0,-418369000.0
Purchase Of Business,-192971000.0,-426075000.0,-437556000.0,-418369000.0
Net Investment Purchase And Sale,0.0,10259000.0,,0.0
Sale Of Investment,0.0,10259000.0,,0.0
Net Other Investing Changes,-123764000.0,,,
Financing Cash Flow,-15679000.0,2662297000.0,-4154000.0,2744000.0
Cash Flow From Continuing Financing Activities,-15679000.0,2662297000.0,-4154000.0,2744000.0
Net Issuance Payments Of Debt,0.0,999210000.0,0.0,0.0
Net Long Term Debt Issuance,0.0,999210000.0,0.0,0.0
Long Term Debt Issuance,0.0,1744210000.0,,
Long Term Debt Payments,0.0,-745000000.0,0.0,0.0
Net Common Stock Issuance,0.0,1689971000.0,0.0,0.0
Common Stock Issuance,0.0,1689971000.0,0.0,0.0
Common Stock Payments,-33314000.0,-38867000.0,-27577000.0,-24327000.0
Proceeds From Stock Option Exercised,-15268000.0,-8587000.0,-2497000.0,2744000.0
Net Other Financing Charges,-411000.0,-18297000.0,-1657000.0,
End Cash Position,3827126000.0,3755912000.0,1070731000.0,1100416000.0
Changes In Cash,72709000.0,2684240000.0,-30127000.0,-109799000.0
Effect Of Exchange Rate Changes,-1495000.0,941000.0,442000.0,-1248000.0
Beginning Cash Position,3755912000.0,1070731000.0,1100416000.0,1211463000.0
Income Tax Paid Supplemental Data,82117000.0,45783000.0,68935000.0,35980000.0
Interest Paid Supplemental Data,31510000.0,5948000.0,1998000.0,1421000.0
Capital Expenditure,-65220000.0,-48347000.0,-46197000.0,-29632000.0
Issuance Of Capital Stock,0.0,1689971000.0,0.0,0.0
Issuance Of Debt,0.0,1744210000.0,,
Repayment Of Debt,0.0,-745000000.0,0.0,0.0
Repurchase Of Capital Stock,-33314000.0,-38867000.0,-27577000.0,-24327000.0
Free Cash Flow,404511000.0,437759000.0,411583000.0,305826000.0
