,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,1667000000.0,778235000.0,1445791000.0,1104903000.0
Cash Flow From Continuing Operating Activities,1667000000.0,778235000.0,1445791000.0,1104903000.0
Net Income From Continuing Operations,1158000000.0,200529000.0,681070000.0,557043000.0
Operating Gains Losses,223000000.0,-60854000.0,-159842000.0,-29242000.0
Gain Loss On Sale Of PPE,,,1462000.0,16327000.0
Gain Loss On Investment Securities,221000000.0,-61404000.0,-80808000.0,-44432000.0
Earnings Losses From Equity Investments,0.0,59000.0,-80496000.0,-1137000.0
Depreciation Amortization Depletion,693000000.0,390903000.0,405733000.0,417479000.0
Depreciation And Amortization,693000000.0,,,
Depreciation,693000000.0,,,
Depletion,0.0,,,
Deferred Tax,126000000.0,71777000.0,244418000.0,229603000.0
Deferred Income Tax,126000000.0,71777000.0,244418000.0,229603000.0
Asset Impairment Charge,,,0.0,0.0
Stock Based Compensation,52000000.0,40796000.0,29009000.0,31443000.0
Other Non Cash Items,-441000000.0,41811000.0,144652000.0,60741000.0
Change In Working Capital,-144000000.0,93273000.0,85026000.0,-163460000.0
Change In Receivables,-229000000.0,-5700000.0,153379000.0,-146921000.0
Changes In Account Receivables,-229000000.0,-5700000.0,153379000.0,-146921000.0
Change In Inventory,5000000.0,-1981000.0,-2856000.0,-3927000.0
Change In Payables And Accrued Expense,53000000.0,-32202000.0,-30342000.0,22991000.0
Change In Payable,47000000.0,-30040000.0,-30176000.0,30468000.0
Change In Account Payable,47000000.0,-30040000.0,-30176000.0,30468000.0
Change In Accrued Expense,6000000.0,-2162000.0,-166000.0,-7477000.0
Change In Interest Payable,6000000.0,-2162000.0,-166000.0,-7477000.0
Change In Other Current Assets,-4000000.0,34000.0,180000.0,934000.0
Change In Other Working Capital,31000000.0,133122000.0,-35335000.0,-36537000.0
Dividend Received Cfo,0.0,,15725000.0,1296000.0
Investing Cash Flow,313000000.0,-584478000.0,-543915000.0,-293383000.0
Cash Flow From Continuing Investing Activities,313000000.0,-584478000.0,-543915000.0,-293383000.0
Capital Expenditure Reported,-728000000.0,-575847000.0,-788368000.0,-894470000.0
Net PPE Purchase And Sale,,,2600000.0,678350000.0
Sale Of PPE,,,2600000.0,678350000.0
Net Business Purchase And Sale,1033000000.0,-9459000.0,240125000.0,-77263000.0
Purchase Of Business,0.0,-9459000.0,-9338000.0,-77263000.0
Sale Of Business,1033000000.0,,249463000.0,
Dividends Received Cfi,0.0,0.0,1728000.0,
Net Other Investing Changes,8000000.0,828000.0,2600000.0,678350000.0
Financing Cash Flow,-1086000000.0,-255849000.0,-690380000.0,-1289280000.0
Cash Flow From Continuing Financing Activities,-1086000000.0,-255849000.0,-690380000.0,-1289280000.0
Net Issuance Payments Of Debt,-190000000.0,-87000000.0,-7000000.0,-297000000.0
Net Long Term Debt Issuance,-190000000.0,-87000000.0,-7000000.0,-297000000.0
Long Term Debt Issuance,100000000.0,196000000.0,95000000.0,158000000.0
Long Term Debt Payments,-290000000.0,-283000000.0,-102000000.0,-455000000.0
Net Common Stock Issuance,0.0,0.0,-519863000.0,-872761000.0
Common Stock Issuance,,,,0.0
Common Stock Payments,0.0,0.0,-519863000.0,-872761000.0
Cash Dividends Paid,-780000000.0,-159390000.0,-145515000.0,-111369000.0
Common Stock Dividend Paid,-780000000.0,-159390000.0,-145515000.0,-111369000.0
Proceeds From Stock Option Exercised,2000000.0,,,
Net Other Financing Charges,-118000000.0,-9459000.0,-18002000.0,-8150000.0
End Cash Position,1046000000.0,151691000.0,213783000.0,2287000.0
Changes In Cash,894000000.0,-62092000.0,211496000.0,-477760000.0
Beginning Cash Position,152000000.0,213783000.0,2287000.0,480047000.0
Income Tax Paid Supplemental Data,,10964000.0,7808000.0,4635000.0
Interest Paid Supplemental Data,,57043000.0,57475000.0,80069000.0
Capital Expenditure,-728000000.0,-575847000.0,-788368000.0,-894470000.0
Issuance Of Capital Stock,,,,0.0
Issuance Of Debt,100000000.0,196000000.0,95000000.0,158000000.0
Repayment Of Debt,-290000000.0,-283000000.0,-102000000.0,-455000000.0
Repurchase Of Capital Stock,0.0,0.0,-519863000.0,-872761000.0
Free Cash Flow,939000000.0,202388000.0,657423000.0,210433000.0
