,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,29187000000.0,10577000000.0,27314000000.0,30618000000.0
Cash Flow From Continuing Operating Activities,29187000000.0,10577000000.0,27314000000.0,30618000000.0
Net Income From Continuing Operations,15689000000.0,-5561000000.0,2845000000.0,14860000000.0
Operating Gains Losses,-2005000000.0,2634000000.0,-1801000000.0,-3457000000.0
Net Foreign Currency Exchange Gain Loss,-7000000.0,619000000.0,272000000.0,123000000.0
Gain Loss On Investment Securities,3659000000.0,1543000000.0,-2073000000.0,-3580000000.0
Earnings Losses From Equity Investments,-5657000000.0,472000000.0,-2073000000.0,-3580000000.0
Depreciation Amortization Depletion,18043000000.0,20544000000.0,29390000000.0,20106000000.0
Depreciation And Amortization,17925000000.0,19508000000.0,29218000000.0,19419000000.0
Depreciation,17925000000.0,19508000000.0,29218000000.0,19419000000.0
Depletion,118000000.0,1036000000.0,172000000.0,687000000.0
Deferred Tax,700000000.0,-3604000000.0,-1966000000.0,1050000000.0
Deferred Income Tax,700000000.0,-3604000000.0,-1966000000.0,1050000000.0
Other Non Cash Items,-1879000000.0,-1784000000.0,-2648000000.0,-1223000000.0
Change In Working Capital,-1361000000.0,-1652000000.0,1494000000.0,-718000000.0
Change In Receivables,-7548000000.0,2423000000.0,1852000000.0,437000000.0
Changes In Account Receivables,-7548000000.0,2423000000.0,1852000000.0,437000000.0
Change In Inventory,-530000000.0,284000000.0,7000000.0,-424000000.0
Change In Prepaid Assets,19000000.0,-87000000.0,-323000000.0,-149000000.0
Change In Payables And Accrued Expense,6698000000.0,-4272000000.0,-42000000.0,-582000000.0
Change In Payable,6698000000.0,-4272000000.0,-42000000.0,-582000000.0
Change In Tax Payable,1223000000.0,-696000000.0,67000000.0,-88000000.0
Change In Income Tax Payable,1223000000.0,-696000000.0,67000000.0,-88000000.0
Change In Account Payable,5475000000.0,-3576000000.0,-109000000.0,-494000000.0
Change In Other Working Capital,,48000000.0,433000000.0,418000000.0
Investing Cash Flow,-5865000000.0,-6965000000.0,-11458000000.0,-12290000000.0
Cash Flow From Continuing Investing Activities,-5865000000.0,-6965000000.0,-11458000000.0,-12290000000.0
Capital Expenditure Reported,-8056000000.0,-8922000000.0,-14116000000.0,-13792000000.0
Net Business Purchase And Sale,439000000.0,450000000.0,142000000.0,392000000.0
Sale Of Business,439000000.0,450000000.0,142000000.0,392000000.0
Net Investment Purchase And Sale,-1000000.0,35000000.0,952000000.0,-1001000000.0
Purchase Of Investment,-4000000.0,0.0,-1000000.0,-1001000000.0
Sale Of Investment,3000000.0,35000000.0,953000000.0,0.0
Dividends Received Cfi,,,142000000.0,
Net Other Investing Changes,1753000000.0,1472000000.0,1564000000.0,2111000000.0
Financing Cash Flow,-23113000000.0,-3736000000.0,-19758000000.0,-13699000000.0
Cash Flow From Continuing Financing Activities,-23113000000.0,-3736000000.0,-19758000000.0,-13699000000.0
Net Issuance Payments Of Debt,-12936000000.0,7470000000.0,-7846000000.0,-4502000000.0
Net Long Term Debt Issuance,-7364000000.0,6819000000.0,-5025000000.0,-6523000000.0
Long Term Debt Issuance,0.0,12308000000.0,0.0,218000000.0
Long Term Debt Payments,-7364000000.0,-5489000000.0,-5025000000.0,-6741000000.0
Net Short Term Debt Issuance,-5572000000.0,651000000.0,-2821000000.0,2021000000.0
Short Term Debt Issuance,4448000000.0,10846000000.0,2586000000.0,6157000000.0
Short Term Debt Payments,-10020000000.0,-10195000000.0,-5407000000.0,-4136000000.0
Net Common Stock Issuance,0.0,-1500000000.0,-4039000000.0,-604000000.0
Common Stock Payments,,-1500000000.0,-4039000000.0,-604000000.0
Cash Dividends Paid,-10179000000.0,-9651000000.0,-8959000000.0,-8502000000.0
Common Stock Dividend Paid,-10179000000.0,-9651000000.0,-8959000000.0,-8502000000.0
Proceeds From Stock Option Exercised,38000000.0,-1531000000.0,-2935000000.0,
Net Other Financing Charges,-36000000.0,-24000000.0,-18000000.0,-91000000.0
End Cash Position,6795000000.0,6737000000.0,6911000000.0,10481000000.0
Changes In Cash,209000000.0,-124000000.0,-3902000000.0,4629000000.0
Effect Of Exchange Rate Changes,-151000000.0,-50000000.0,332000000.0,-91000000.0
Beginning Cash Position,6737000000.0,6911000000.0,10481000000.0,5943000000.0
Income Tax Paid Supplemental Data,4355000000.0,2987000000.0,4817000000.0,4748000000.0
Interest Paid Supplemental Data,699000000.0,720000000.0,810000000.0,736000000.0
Capital Expenditure,-8056000000.0,-8922000000.0,-14116000000.0,-13792000000.0
Issuance Of Debt,4448000000.0,23154000000.0,2586000000.0,6375000000.0
Repayment Of Debt,-17384000000.0,-15684000000.0,-10432000000.0,-10877000000.0
Repurchase Of Capital Stock,,-1500000000.0,-4039000000.0,-604000000.0
Free Cash Flow,21131000000.0,1655000000.0,13198000000.0,16826000000.0
