,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,6019000000.0,6196000000.0,6196000000.0,5191000000.0
Cash Flow From Continuing Operating Activities,6019000000.0,6196000000.0,6196000000.0,5191000000.0
Net Income From Continuing Operations,5449000000.0,1141000000.0,2957000000.0,2742000000.0
Operating Gains Losses,-382000000.0,-26000000.0,37000000.0,45000000.0
Depreciation Amortization Depletion,531000000.0,485000000.0,436000000.0,435000000.0
Depreciation And Amortization,531000000.0,485000000.0,436000000.0,435000000.0
Deferred Tax,327000000.0,-672000000.0,,
Deferred Income Tax,327000000.0,-672000000.0,,
Other Non Cash Items,257000000.0,200000000.0,-51000000.0,-107000000.0
Change In Working Capital,-86000000.0,254000000.0,7000000.0,-556000000.0
Change In Payables And Accrued Expense,410000000.0,136000000.0,209000000.0,-549000000.0
Change In Accrued Expense,410000000.0,136000000.0,209000000.0,-549000000.0
Change In Other Current Assets,-496000000.0,118000000.0,-202000000.0,-7000000.0
Investing Cash Flow,40000000.0,1514000000.0,-15274000000.0,-10579000000.0
Cash Flow From Continuing Investing Activities,40000000.0,1514000000.0,-15274000000.0,-10579000000.0
Net PPE Purchase And Sale,-194000000.0,-261000000.0,-284000000.0,-254000000.0
Purchase Of PPE,-194000000.0,-261000000.0,-284000000.0,-254000000.0
Net Investment Purchase And Sale,4808000000.0,-1270000000.0,-7146000000.0,-1845000000.0
Purchase Of Investment,-207000000.0,-8275000000.0,-8317000000.0,-2701000000.0
Sale Of Investment,5015000000.0,7005000000.0,1171000000.0,856000000.0
Financing Cash Flow,-8316000000.0,-1085000000.0,897000000.0,7146000000.0
Cash Flow From Continuing Financing Activities,-8316000000.0,-1085000000.0,897000000.0,7146000000.0
Net Issuance Payments Of Debt,-896000000.0,-4792000000.0,-1714000000.0,796000000.0
Net Long Term Debt Issuance,-2646000000.0,-4792000000.0,-1714000000.0,796000000.0
Long Term Debt Issuance,1727000000.0,494000000.0,4859000000.0,6999000000.0
Long Term Debt Payments,-4373000000.0,-5286000000.0,-6573000000.0,-6203000000.0
Net Short Term Debt Issuance,1750000000.0,,,
Net Common Stock Issuance,-2251000000.0,-338000000.0,-1761000000.0,-2059000000.0
Common Stock Issuance,9000000.0,10000000.0,7000000.0,6000000.0
Common Stock Payments,-2260000000.0,-348000000.0,-1768000000.0,-2065000000.0
Net Preferred Stock Issuance,0.0,493000000.0,0.0,0.0
Preferred Stock Issuance,0.0,493000000.0,0.0,0.0
Preferred Stock Payments,,,0.0,0.0
Cash Dividends Paid,-636000000.0,-576000000.0,-573000000.0,-552000000.0
End Cash Position,11332000000.0,13589000000.0,6964000000.0,15145000000.0
Changes In Cash,-2257000000.0,6625000000.0,-8181000000.0,1758000000.0
Beginning Cash Position,13589000000.0,6964000000.0,15145000000.0,13387000000.0
Income Tax Paid Supplemental Data,1305000000.0,901000000.0,1088000000.0,650000000.0
Interest Paid Supplemental Data,1077000000.0,1799000000.0,2407000000.0,1847000000.0
Capital Expenditure,-194000000.0,-261000000.0,-284000000.0,-254000000.0
Issuance Of Capital Stock,9000000.0,503000000.0,7000000.0,6000000.0
Issuance Of Debt,1727000000.0,494000000.0,4859000000.0,6999000000.0
Repayment Of Debt,-4373000000.0,-5286000000.0,-6573000000.0,-6203000000.0
Repurchase Of Capital Stock,-2260000000.0,-348000000.0,-1768000000.0,-2065000000.0
Free Cash Flow,5825000000.0,5935000000.0,5912000000.0,4937000000.0
