,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,1702228000.0,1706541000.0,1513817000.0,1385324000.0
Cash Flow From Continuing Operating Activities,1702228000.0,1706541000.0,1513817000.0,1385324000.0
Net Income From Continuing Operations,1747412000.0,362730000.0,599221000.0,341115000.0
Operating Gains Losses,-1424406000.0,-172887000.0,-349503000.0,-110340000.0
Gain Loss On Investment Securities,-1380795000.0,-333731000.0,-334101000.0,-78929000.0
Earnings Losses From Equity Investments,-62283000.0,57629000.0,-54559000.0,-32979000.0
Depreciation Amortization Depletion,1486632000.0,1366379000.0,809472000.0,770275000.0
Depreciation And Amortization,1486632000.0,1366379000.0,809472000.0,770275000.0
Depreciation,,1010538000.0,809472000.0,770275000.0
Amortization Cash Flow,,355841000.0,17097000.0,26530000.0
Amortization Of Intangibles,,355841000.0,17097000.0,26530000.0
Asset Impairment Charge,,6491000.0,16751000.0,2818000.0
Provisionand Write Offof Assets,,6480000.0,2159000.0,6304000.0
Unrealized Gain Loss On Investment Securities,,-577000.0,,-1631000.0
Stock Based Compensation,84083000.0,74577000.0,34905000.0,27159000.0
Other Non Cash Items,52109000.0,31888000.0,387021000.0,458226000.0
Change In Working Capital,-309834000.0,-8418000.0,-30502000.0,-130507000.0
Change In Receivables,-425983000.0,2432000.0,-8435000.0,-21318000.0
Changes In Account Receivables,-425983000.0,,,
Change In Payables And Accrued Expense,116149000.0,72280000.0,68155000.0,39192000.0
Change In Payable,116149000.0,,,
Change In Account Payable,116149000.0,,,
Change In Other Working Capital,,-83130000.0,-90222000.0,-148381000.0
Dividend Received Cfo,66232000.0,39878000.0,44293000.0,21905000.0
Investing Cash Flow,-1061721000.0,-2599347000.0,-274992000.0,-3035993000.0
Cash Flow From Continuing Investing Activities,-1061721000.0,-2599347000.0,-274992000.0,-3035993000.0
Net Business Purchase And Sale,-189350000.0,-23238000.0,1296699000.0,-1564503000.0
Purchase Of Business,-192015000.0,-144323000.0,-198182000.0,-1680503000.0
Sale Of Business,,121085000.0,1494881000.0,116000000.0
Net Investment Properties Purchase And Sale,-829700000.0,-2615990000.0,-1533278000.0,-1462924000.0
Purchase Of Investment Properties,-2520772000.0,-3180605000.0,-1533278000.0,-1749128000.0
Sale Of Investment Properties,1691072000.0,564615000.0,,286204000.0
Net Investment Purchase And Sale,,70019000.0,-2597000.0,0.0
Purchase Of Investment,,,-2597000.0,-13254000.0
Sale Of Investment,,70019000.0,,0.0
Dividends Received Cfi,,,,0.0
Net Other Investing Changes,-42671000.0,-30138000.0,-38413000.0,-8566000.0
Financing Cash Flow,-590630000.0,935689000.0,-1272021000.0,1757269000.0
Cash Flow From Continuing Financing Activities,-590630000.0,935689000.0,-1272021000.0,1757269000.0
Net Issuance Payments Of Debt,727385000.0,710183000.0,-493516000.0,2662653000.0
Net Long Term Debt Issuance,816939000.0,710183000.0,-493516000.0,2662653000.0
Long Term Debt Issuance,1824389000.0,7212052000.0,5968925000.0,5283173000.0
Long Term Debt Payments,-1007450000.0,-6501869000.0,-6462441000.0,-2620520000.0
Net Short Term Debt Issuance,-89554000.0,,,
Net Common Stock Issuance,172096000.0,1879957000.0,535620000.0,1194000.0
Common Stock Issuance,172096000.0,1879957000.0,535620000.0,1194000.0
Net Preferred Stock Issuance,-201250000.0,-500000000.0,-365050000.0,0.0
Preferred Stock Payments,-201250000.0,-500000000.0,-365050000.0,0.0
Cash Dividends Paid,-1379198000.0,-1239318000.0,-996766000.0,-930782000.0
Common Stock Dividend Paid,,-1162782000.0,-921776000.0,-849466000.0
Preferred Stock Dividend Paid,,-76536000.0,-74990000.0,-81316000.0
Proceeds From Stock Option Exercised,,6503000.0,5462000.0,5874000.0
Net Other Financing Charges,90337000.0,78364000.0,42229000.0,18330000.0
End Cash Position,151485000.0,123652000.0,97253000.0,135222000.0
Changes In Cash,49877000.0,42883000.0,-33196000.0,106600000.0
Effect Of Exchange Rate Changes,-22044000.0,-16484000.0,-4773000.0,15441000.0
Beginning Cash Position,123652000.0,97253000.0,135222000.0,13181000.0
Income Tax Paid Supplemental Data,,20055000.0,14607000.0,11224000.0
Interest Paid Supplemental Data,,301938000.0,312848000.0,288643000.0
Issuance Of Capital Stock,172096000.0,1879957000.0,535620000.0,1194000.0
Issuance Of Debt,1824389000.0,7212052000.0,5968925000.0,5283173000.0
Repayment Of Debt,-1007450000.0,-6501869000.0,-6462441000.0,-2620520000.0
Repurchase Of Capital Stock,-201250000.0,-500000000.0,-365050000.0,0.0
Free Cash Flow,1702228000.0,1706541000.0,1513817000.0,1385324000.0
