,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,1930876000.0,1979028000.0,2072355000.0,1771640000.0
Cash Flow From Continuing Operating Activities,1930876000.0,1979028000.0,2072355000.0,1771640000.0
Net Income From Continuing Operations,1211762000.0,994677000.0,1021294000.0,333040000.0
Operating Gains Losses,5215000.0,125035000.0,65006000.0,-59250000.0
Gain Loss On Sale Of Business,0.0,24248000.0,23022000.0,-85699000.0
Earnings Losses From Equity Investments,5215000.0,13830000.0,8582000.0,26449000.0
Depreciation Amortization Depletion,680615000.0,630435000.0,615152000.0,591035000.0
Depreciation And Amortization,680615000.0,630435000.0,615152000.0,591035000.0
Deferred Tax,60483000.0,240848000.0,41723000.0,273660000.0
Deferred Income Tax,60483000.0,240848000.0,41723000.0,273660000.0
Asset Impairment Charge,0.0,0.0,124892000.0,61981000.0
Stock Based Compensation,102209000.0,91458000.0,67850000.0,73061000.0
Other Non Cash Items,11231000.0,747000.0,49579000.0,399214000.0
Change In Working Capital,-140639000.0,-104172000.0,86859000.0,98899000.0
Change In Receivables,-9479000.0,-100364000.0,-77167000.0,155819000.0
Changes In Account Receivables,-138140000.0,-21087000.0,-79957000.0,-81176000.0
Change In Inventory,5720000.0,-12349000.0,10158000.0,73505000.0
Change In Payables And Accrued Expense,-30320000.0,37200000.0,-84539000.0,-35959000.0
Change In Payable,-30320000.0,37200000.0,-84539000.0,-35959000.0
Change In Account Payable,-30320000.0,37200000.0,-84539000.0,-35959000.0
Change In Other Current Assets,-26387000.0,-6123000.0,6965000.0,3497000.0
Change In Other Current Liabilities,-100377000.0,85786000.0,150494000.0,-158493000.0
Change In Other Working Capital,20204000.0,-108322000.0,80948000.0,60530000.0
Investing Cash Flow,-784733000.0,-825371000.0,2995340000.0,-1005643000.0
Cash Flow From Continuing Investing Activities,-784733000.0,-825371000.0,2995340000.0,-1005643000.0
Net PPE Purchase And Sale,-641465000.0,-674541000.0,-766546000.0,-987138000.0
Purchase Of PPE,-641465000.0,-674541000.0,-766546000.0,-987138000.0
Net Business Purchase And Sale,-200974000.0,-204354000.0,-110227000.0,-202333000.0
Purchase Of Business,-200974000.0,-204354000.0,-110227000.0,-202333000.0
Net Investment Purchase And Sale,-5957000.0,246000.0,-7868000.0,29977000.0
Purchase Of Investment,-33836000.0,-154458000.0,-106920000.0,-14411000.0
Sale Of Investment,27879000.0,154704000.0,99052000.0,44388000.0
Dividends Received Cfi,2944000.0,3139000.0,2589000.0,3646000.0
Net Other Investing Changes,60719000.0,50139000.0,3877392000.0,150205000.0
Financing Cash Flow,-1082966000.0,-1846777000.0,-4696450000.0,-625354000.0
Cash Flow From Continuing Financing Activities,-1082966000.0,-1846777000.0,-4696450000.0,-625354000.0
Net Issuance Payments Of Debt,754255000.0,-63529000.0,-2080191000.0,694777000.0
Net Long Term Debt Issuance,754255000.0,-63529000.0,-2080191000.0,694777000.0
Long Term Debt Issuance,1615370000.0,4046775000.0,38525850000.0,59934750000.0
Long Term Debt Payments,-861115000.0,-4110304000.0,-40606041000.0,-59239973000.0
Net Common Stock Issuance,-1598627000.0,-1459417000.0,-2383816000.0,-1161511000.0
Common Stock Payments,-1598627000.0,-1459417000.0,-2383816000.0,-1161511000.0
Proceeds From Stock Option Exercised,,,11382000.0,13577000.0
Net Other Financing Charges,-238594000.0,-323831000.0,-243825000.0,-172197000.0
Cash Flow From Discontinued Operation,0.0,0.0,423813000.0,-240793000.0
End Cash Position,554960000.0,501790000.0,1208718000.0,415420000.0
Changes In Cash,63177000.0,-693120000.0,795058000.0,-100150000.0
Effect Of Exchange Rate Changes,-10007000.0,-13808000.0,-1760000.0,-3350000.0
Beginning Cash Position,501790000.0,1208718000.0,415420000.0,518920000.0
Income Tax Paid Supplemental Data,,,157983000.0,92526000.0
Interest Paid Supplemental Data,,,473176000.0,488974000.0
Capital Expenditure,-641465000.0,-674541000.0,-766546000.0,-987138000.0
Issuance Of Debt,1615370000.0,4046775000.0,38525850000.0,59934750000.0
Repayment Of Debt,-861115000.0,-4110304000.0,-40606041000.0,-59239973000.0
Repurchase Of Capital Stock,-1598627000.0,-1459417000.0,-2383816000.0,-1161511000.0
Free Cash Flow,1289411000.0,1304487000.0,1305809000.0,784502000.0
