,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Operating Cash Flow,3040000000.0,3631000000.0,2280000000.0,2517000000.0
Cash Flow From Continuing Operating Activities,3040000000.0,3631000000.0,2280000000.0,2517000000.0
Net Income From Continuing Operations,2408000000.0,2875000000.0,696000000.0,1794000000.0
Operating Gains Losses,85000000.0,-729000000.0,-432000000.0,18000000.0
Gain Loss On Sale Of Business,,0.0,0.0,-71000000.0
Gain Loss On Sale Of PPE,8000000.0,23000000.0,20000000.0,17000000.0
Gain Loss On Investment Securities,,,-534000000.0,
Earnings Losses From Equity Investments,-1000000.0,-847000000.0,-534000000.0,
Pension And Employee Benefit Expense,78000000.0,95000000.0,82000000.0,72000000.0
Depreciation Amortization Depletion,727000000.0,651000000.0,611000000.0,557000000.0
Depreciation And Amortization,727000000.0,651000000.0,611000000.0,557000000.0
Deferred Tax,-149000000.0,-230000000.0,-143000000.0,-66000000.0
Deferred Income Tax,-149000000.0,-230000000.0,-143000000.0,-66000000.0
Asset Impairment Charge,241000000.0,188000000.0,1426000000.0,90000000.0
Stock Based Compensation,331000000.0,327000000.0,213000000.0,243000000.0
Excess Tax Benefit From Stock Based Compensation,,,,0.0
Other Non Cash Items,-49000000.0,-5000000.0,-80000000.0,-117000000.0
Change In Working Capital,-554000000.0,554000000.0,-11000000.0,-2000000.0
Change In Receivables,-10000000.0,-398000000.0,625000000.0,-169000000.0
Changes In Account Receivables,-10000000.0,-398000000.0,625000000.0,-169000000.0
Change In Inventory,-602000000.0,-140000000.0,-3000000.0,-375000000.0
Change In Payables And Accrued Expense,211000000.0,1135000000.0,-477000000.0,604000000.0
Change In Payable,210000000.0,440000000.0,-308000000.0,319000000.0
Change In Account Payable,210000000.0,440000000.0,-308000000.0,319000000.0
Change In Accrued Expense,1000000.0,695000000.0,-169000000.0,285000000.0
Change In Other Current Assets,-101000000.0,13000000.0,-212000000.0,-62000000.0
Change In Other Working Capital,-52000000.0,-56000000.0,56000000.0,
Investing Cash Flow,-945000000.0,-1864000000.0,-1698000000.0,473000000.0
Cash Flow From Continuing Investing Activities,-945000000.0,-1864000000.0,-1698000000.0,473000000.0
Capital Expenditure Reported,-1040000000.0,-637000000.0,-623000000.0,-744000000.0
Net PPE Purchase And Sale,,0.0,0.0,2000000.0
Sale Of PPE,,0.0,0.0,2000000.0
Net Business Purchase And Sale,-3000000.0,-1065000000.0,-1047000000.0,0.0
Purchase Of Business,-3000000.0,-1065000000.0,-1047000000.0,0.0
Net Investment Purchase And Sale,98000000.0,-194000000.0,-28000000.0,1215000000.0
Purchase Of Investment,-10000000.0,-194000000.0,-28000000.0,-14000000.0
Sale Of Investment,108000000.0,0.0,0.0,1229000000.0
Net Other Investing Changes,,32000000.0,,
Financing Cash Flow,-3036000000.0,-1892000000.0,1461000000.0,-2173000000.0
Cash Flow From Continuing Financing Activities,-3036000000.0,-1892000000.0,1461000000.0,-2173000000.0
Net Issuance Payments Of Debt,-22000000.0,-607000000.0,2723000000.0,-172000000.0
Net Long Term Debt Issuance,-18000000.0,137000000.0,1968000000.0,-1000000.0
Long Term Debt Issuance,0.0,596000000.0,2481000000.0,0.0
Long Term Debt Payments,-18000000.0,-459000000.0,-513000000.0,-1000000.0
Net Short Term Debt Issuance,-4000000.0,-744000000.0,755000000.0,-171000000.0
Short Term Debt Payments,,,,-171000000.0
Net Common Stock Issuance,-2309000000.0,-733000000.0,-893000000.0,-1555000000.0
Common Stock Payments,-2309000000.0,-733000000.0,-893000000.0,-1555000000.0
Cash Dividends Paid,-840000000.0,-753000000.0,-503000000.0,-609000000.0
Common Stock Dividend Paid,,,-503000000.0,-609000000.0
Proceeds From Stock Option Exercised,151000000.0,215000000.0,180000000.0,192000000.0
Net Other Financing Charges,-16000000.0,-14000000.0,-46000000.0,-29000000.0
End Cash Position,3957000000.0,4958000000.0,5022000000.0,2987000000.0
Changes In Cash,-941000000.0,-125000000.0,2043000000.0,817000000.0
Effect Of Exchange Rate Changes,-60000000.0,61000000.0,-8000000.0,-11000000.0
Beginning Cash Position,4958000000.0,5022000000.0,2987000000.0,2181000000.0
Capital Expenditure,-1040000000.0,-637000000.0,-623000000.0,-744000000.0
Issuance Of Debt,0.0,596000000.0,2481000000.0,0.0
Repayment Of Debt,-18000000.0,-459000000.0,-513000000.0,-1000000.0
Repurchase Of Capital Stock,-2309000000.0,-733000000.0,-893000000.0,-1555000000.0
Free Cash Flow,2000000000.0,2994000000.0,1657000000.0,1773000000.0
