,2022-09-30,2021-09-30,2020-09-30,2019-09-30
Operating Cash Flow,2922000000.0,3575000000.0,3083000000.0,3006000000.0
Cash Flow From Continuing Operating Activities,2922000000.0,3575000000.0,3083000000.0,3006000000.0
Net Income From Continuing Operations,3230000000.0,2327000000.0,1990000000.0,2328000000.0
Operating Gains Losses,-980000000.0,-13000000.0,1000000.0,-58000000.0
Gain Loss On Sale Of Business,-939000000.0,,,
Pension And Employee Benefit Expense,-41000000.0,-13000000.0,1000000.0,-58000000.0
Depreciation Amortization Depletion,1039000000.0,969000000.0,854000000.0,822000000.0
Depreciation And Amortization,1039000000.0,969000000.0,854000000.0,822000000.0
Depreciation,476000000.0,,,
Amortization Cash Flow,563000000.0,,,
Amortization Of Intangibles,563000000.0,,,
Stock Based Compensation,144000000.0,224000000.0,110000000.0,120000000.0
Other Non Cash Items,4000000.0,-135000000.0,-20000000.0,-56000000.0
Change In Working Capital,-515000000.0,203000000.0,148000000.0,-150000000.0
Change In Receivables,-214000000.0,-165000000.0,207000000.0,51000000.0
Change In Inventory,-469000000.0,-126000000.0,-6000000.0,-87000000.0
Change In Payables And Accrued Expense,233000000.0,593000000.0,-86000000.0,-27000000.0
Change In Payable,122000000.0,370000000.0,-196000000.0,-37000000.0
Change In Account Payable,122000000.0,370000000.0,-196000000.0,-37000000.0
Change In Accrued Expense,111000000.0,223000000.0,110000000.0,10000000.0
Change In Other Current Assets,-65000000.0,-99000000.0,33000000.0,-87000000.0
Cash From Discontinued Operating Activities,,,,0.0
Investing Cash Flow,-5334000000.0,-2120000000.0,-740000000.0,-1174000000.0
Cash Flow From Continuing Investing Activities,-5334000000.0,-2120000000.0,-740000000.0,-1174000000.0
Capital Expenditure Reported,-531000000.0,-581000000.0,-538000000.0,-594000000.0
Net Business Purchase And Sale,-4663000000.0,-1577000000.0,-126000000.0,-455000000.0
Purchase Of Business,-5702000000.0,-1611000000.0,-126000000.0,-469000000.0
Sale Of Business,1039000000.0,34000000.0,0.0,14000000.0
Net Other Investing Changes,-140000000.0,38000000.0,-76000000.0,-125000000.0
Cash From Discontinued Investing Activities,,,,0.0
Financing Cash Flow,2048000000.0,-2422000000.0,-509000000.0,-1391000000.0
Cash Flow From Continuing Financing Activities,2048000000.0,-2422000000.0,-509000000.0,-1391000000.0
Net Issuance Payments Of Debt,3691000000.0,-812000000.0,1640000000.0,1029000000.0
Net Long Term Debt Issuance,2453000000.0,-308000000.0,1730000000.0,1035000000.0
Long Term Debt Issuance,2975000000.0,0.0,2233000000.0,1691000000.0
Long Term Debt Payments,-522000000.0,-308000000.0,-503000000.0,-656000000.0
Net Short Term Debt Issuance,1238000000.0,-504000000.0,-90000000.0,-6000000.0
Short Term Debt Issuance,2403000000.0,71000000.0,1043000000.0,
Short Term Debt Payments,-1165000000.0,-575000000.0,-1133000000.0,-6000000.0
Net Common Stock Issuance,-500000000.0,-500000000.0,-942000000.0,-1250000000.0
Common Stock Payments,-500000000.0,-500000000.0,-942000000.0,-1250000000.0
Cash Dividends Paid,-1223000000.0,-1210000000.0,-1209000000.0,-1209000000.0
Common Stock Dividend Paid,-1223000000.0,-1210000000.0,-1209000000.0,-1209000000.0
Net Other Financing Charges,80000000.0,100000000.0,2000000.0,39000000.0
End Cash Position,1804000000.0,2354000000.0,3315000000.0,1494000000.0
Changes In Cash,-364000000.0,-967000000.0,1834000000.0,441000000.0
Effect Of Exchange Rate Changes,-186000000.0,6000000.0,-13000000.0,-40000000.0
Beginning Cash Position,2354000000.0,3315000000.0,1494000000.0,1093000000.0
Capital Expenditure,-531000000.0,-581000000.0,-538000000.0,-594000000.0
Issuance Of Debt,5378000000.0,71000000.0,3276000000.0,1691000000.0
Repayment Of Debt,-1687000000.0,-883000000.0,-1636000000.0,-662000000.0
Repurchase Of Capital Stock,-500000000.0,-500000000.0,-942000000.0,-1250000000.0
Free Cash Flow,2391000000.0,2994000000.0,2545000000.0,2412000000.0
