,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,8791000000.0,5007783000.0,8163180000.0,7768608000.0
Cash Flow From Continuing Operating Activities,8791000000.0,5007783000.0,8163180000.0,7768608000.0
Net Income From Continuing Operations,4664000000.0,-604572000.0,2734910000.0,3419040000.0
Operating Gains Losses,1135000000.0,-1097854000.0,-303888000.0,-8922000.0
Gain Loss On Sale Of PPE,-17000000.0,46883000.0,-123613000.0,-174562000.0
Gain Loss On Investment Securities,1152000000.0,-1144737000.0,-180275000.0,165640000.0
Depreciation Amortization Depletion,3651000000.0,3400353000.0,3749704000.0,3435408000.0
Deferred Tax,-122000000.0,-186390000.0,631658000.0,894156000.0
Deferred Income Tax,-122000000.0,-186390000.0,631658000.0,894156000.0
Asset Impairment Charge,376000000.0,2099780000.0,517896000.0,347021000.0
Stock Based Compensation,152000000.0,146396000.0,174738000.0,155337000.0
Excess Tax Benefit From Stock Based Compensation,,,,0.0
Other Non Cash Items,-547000000.0,1097910000.0,264688000.0,-243327000.0
Change In Working Capital,-518000000.0,152160000.0,393474000.0,-230105000.0
Change In Receivables,-821000000.0,466523000.0,-91792000.0,-368180000.0
Changes In Account Receivables,-821000000.0,466523000.0,-91792000.0,-368180000.0
Change In Inventory,-13000000.0,122647000.0,90284000.0,-395408000.0
Change In Payables And Accrued Expense,768000000.0,-844363000.0,208661000.0,346886000.0
Change In Payable,768000000.0,-844363000.0,208661000.0,346886000.0
Change In Tax Payable,312000000.0,-49096000.0,40122000.0,-92461000.0
Change In Income Tax Payable,312000000.0,-49096000.0,40122000.0,-92461000.0
Change In Account Payable,456000000.0,-795267000.0,168539000.0,439347000.0
Change In Other Current Assets,-136000000.0,324521000.0,358001000.0,-125435000.0
Change In Other Current Liabilities,-116000000.0,8098000.0,-56619000.0,10949000.0
Change In Other Working Capital,-200000000.0,74734000.0,-115061000.0,301083000.0
Investing Cash Flow,-3419000000.0,-3347506000.0,-6177173000.0,-6170162000.0
Cash Flow From Continuing Investing Activities,-3419000000.0,-3347506000.0,-6177173000.0,-6170162000.0
Net PPE Purchase And Sale,-3850000000.0,-3464700000.0,-6422526000.0,-6076475000.0
Purchase Of PPE,-3850000000.0,-3464700000.0,-6422526000.0,-6076475000.0
Net Business Purchase And Sale,,,,0.0
Sale Of Business,,,,0.0
Net Other Investing Changes,431000000.0,117194000.0,245353000.0,-93687000.0
Financing Cash Flow,-3493000000.0,-359025000.0,-1513321000.0,-839103000.0
Cash Flow From Continuing Financing Activities,-3493000000.0,-359025000.0,-1513321000.0,-839103000.0
Net Issuance Payments Of Debt,-787000000.0,464408000.0,-912899000.0,-358219000.0
Net Long Term Debt Issuance,-787000000.0,464408000.0,-912899000.0,-358219000.0
Long Term Debt Issuance,0.0,1483852000.0,,0.0
Long Term Debt Payments,-787000000.0,-1019444000.0,-912899000.0,-358219000.0
Net Common Stock Issuance,-41000000.0,-16130000.0,-25152000.0,-63456000.0
Common Stock Payments,-41000000.0,-16130000.0,-25152000.0,-63456000.0
Cash Dividends Paid,-2684000000.0,-820823000.0,-588200000.0,-438045000.0
Common Stock Dividend Paid,-2684000000.0,-820823000.0,-588200000.0,-438045000.0
Proceeds From Stock Option Exercised,19000000.0,16169000.0,17946000.0,20560000.0
Net Other Financing Charges,,-2649000.0,-5016000.0,57000.0
End Cash Position,5209000000.0,3328928000.0,2027972000.0,1555634000.0
Changes In Cash,1879000000.0,1301252000.0,472686000.0,759343000.0
Effect Of Exchange Rate Changes,1000000.0,-296000.0,-348000.0,-37937000.0
Beginning Cash Position,3329000000.0,2027972000.0,1555634000.0,834228000.0
Income Tax Paid Supplemental Data,,,,75634000.0
Interest Paid Supplemental Data,,,,243279000.0
Capital Expenditure,-3850000000.0,-3464700000.0,-6422526000.0,-6076475000.0
Issuance Of Debt,0.0,1483852000.0,,0.0
Repayment Of Debt,-787000000.0,-1019444000.0,-912899000.0,-358219000.0
Repurchase Of Capital Stock,-41000000.0,-16130000.0,-25152000.0,-63456000.0
Free Cash Flow,4941000000.0,1543083000.0,1740654000.0,1692133000.0
