,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Operating Cash Flow,572327000.0,544407000.0,287453000.0,292218000.0
Cash Flow From Continuing Operating Activities,572327000.0,544407000.0,287453000.0,292218000.0
Net Income From Continuing Operations,481652000.0,327160000.0,261057000.0,240256000.0
Depreciation Amortization Depletion,145151000.0,129243000.0,101176000.0,36640000.0
Depreciation And Amortization,145151000.0,129243000.0,101176000.0,36640000.0
Depreciation,145151000.0,129243000.0,101176000.0,
Deferred Tax,-46900000.0,-19994000.0,-7764000.0,-48000000.0
Deferred Income Tax,-46900000.0,-19994000.0,-7764000.0,-48000000.0
Asset Impairment Charge,2488000.0,2253000.0,1619000.0,848000.0
Stock Based Compensation,111655000.0,75238000.0,72036000.0,59188000.0
Excess Tax Benefit From Stock Based Compensation,,,,0.0
Other Non Cash Items,13137000.0,6796000.0,4764000.0,-1712000.0
Change In Working Capital,-134856000.0,23711000.0,-145435000.0,4998000.0
Change In Receivables,-211684000.0,4235000.0,-87174000.0,-46902000.0
Changes In Account Receivables,,,,-31005000.0
Change In Prepaid Assets,-16182000.0,6983000.0,-7155000.0,-8432000.0
Change In Payables And Accrued Expense,156822000.0,76946000.0,2313000.0,60332000.0
Change In Payable,1165000.0,16813000.0,-24812000.0,18403000.0
Change In Tax Payable,3568000.0,14385000.0,-23127000.0,17640000.0
Change In Income Tax Payable,3568000.0,14385000.0,-23127000.0,17640000.0
Change In Account Payable,-2403000.0,2428000.0,-1685000.0,-772000.0
Change In Accrued Expense,155657000.0,60133000.0,27125000.0,41929000.0
Change In Other Current Liabilities,-63812000.0,-64453000.0,-53419000.0,
Investing Cash Flow,-368924000.0,-167154000.0,-145369000.0,-112123000.0
Cash Flow From Continuing Investing Activities,-368924000.0,-167154000.0,-145369000.0,-112123000.0
Net PPE Purchase And Sale,-111501000.0,-68793000.0,-99308000.0,-37574000.0
Purchase Of PPE,-111501000.0,-68793000.0,-99308000.0,-37574000.0
Net Business Purchase And Sale,-314958000.0,-18888000.0,-39322000.0,-74268000.0
Purchase Of Business,-314958000.0,-18888000.0,-39322000.0,-74268000.0
Net Investment Purchase And Sale,57456000.0,-80491000.0,0.0,418000.0
Purchase Of Investment,-2544000.0,-140500000.0,,
Sale Of Investment,60000000.0,60009000.0,0.0,418000.0
Net Other Investing Changes,79000.0,1018000.0,-6739000.0,-699000.0
Financing Cash Flow,-59557000.0,-765000.0,20363000.0,23001000.0
Cash Flow From Continuing Financing Activities,-59557000.0,-765000.0,20363000.0,23001000.0
Net Issuance Payments Of Debt,55000.0,-18000.0,-9000.0,-3494000.0
Net Long Term Debt Issuance,55000.0,-18000.0,-9000.0,-3494000.0
Long Term Debt Issuance,31109000.0,,0.0,0.0
Long Term Debt Payments,-31054000.0,-18000.0,-9000.0,-3494000.0
Proceeds From Stock Option Exercised,26286000.0,26410000.0,37003000.0,34845000.0
Net Other Financing Charges,-85898000.0,-27157000.0,-16631000.0,-8350000.0
End Cash Position,1449347000.0,1323533000.0,937688000.0,771711000.0
Changes In Cash,143846000.0,376488000.0,162447000.0,203096000.0
Effect Of Exchange Rate Changes,-18032000.0,9357000.0,3530000.0,-14240000.0
Beginning Cash Position,1323533000.0,937688000.0,771711000.0,582855000.0
Income Tax Paid Supplemental Data,87317000.0,54520000.0,65306000.0,40437000.0
Interest Paid Supplemental Data,413000.0,425000.0,832000.0,777000.0
Capital Expenditure,-111501000.0,-68793000.0,-99308000.0,-37574000.0
Issuance Of Debt,31109000.0,,0.0,0.0
Repayment Of Debt,-31054000.0,-18000.0,-9000.0,-3494000.0
Free Cash Flow,460826000.0,475614000.0,188145000.0,254644000.0
